row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
row_1001,remote,Remote,"A compact gaming gamepad with a wide rectangular grip body, two thumbstick wells on the front face, and a D-pad face plate. Each thumbstick shaft rotates continuously about its vertical axis. Two trigger levers on the top edge each pivot on a revolute hinge about a horizontal axis.",openai,gpt-5.4,high,100,2.5,sdk,Gamepad — thumbsticks continuous triggers revolute,TRUE
row_1002,remote,Remote,An arcade fight stick controller with a wide flat rectangular case and a joystick shaft on the left half. The joystick shaft pivots on a revolute joint at the shaft base collar about a horizontal axis. Six large button housings are fixed to the right half of the top face.,openai,gpt-5.4,high,100,2.5,sdk,Arcade fight stick — joystick revolute fixed buttons,TRUE
row_1003,remote,Remote,A DJ MIDI pad controller with a flat rectangular housing and a 4x4 grid of square trigger pads. Each pad travels on a short prismatic joint along the vertical axis when pressed. Rotary encoder knobs along the bottom edge each spin continuously about a vertical axis.,openai,gpt-5.4,high,100,2.5,sdk,MIDI pad controller — pads prismatic encoders continuous,TRUE
row_1004,remote,Remote,A smart home puck remote with a round disc body and a rotating selector ring on the top face. The selector ring rotates continuously about the central vertical axis. A rectangular battery door on the flat underside slides prismatically along the disc diameter.,openai,gpt-5.4,high,100,2.5,sdk,Smart puck remote — ring continuous battery door prismatic,TRUE
row_1005,remote,Remote,A presentation laser clicker with a slim cylindrical body and a hinged thumb guard over the pointer button. The thumb guard flips on a revolute hinge at its long edge on the barrel. An end cap on the battery compartment rotates as a revolute joint about the body axis.,openai,gpt-5.4,high,100,2.5,sdk,Presentation clicker — thumb guard revolute end cap revolute,TRUE
row_1006,remote,Remote,A car key fob with a flat rounded rectangular body and a metal key blade stored in a slot in the body edge. The blade pivots on a revolute hinge at the top corner of the fob. A battery access plate on the rear face presses in on a short prismatic joint.,openai,gpt-5.4,high,100,2.5,sdk,Car key fob — flip key blade revolute battery plate prismatic,TRUE
row_1007,remote,Remote,A drone flight controller with a wide rectangular handle housing and two tall cylindrical joystick gimbals on the top face. Each joystick gimbal shaft rotates continuously about its vertical axis. A hinged battery cover on the rear compartment opens on a revolute hinge at the cover's top edge.,openai,gpt-5.4,high,100,2.5,sdk,Drone controller — joysticks continuous battery cover revolute,TRUE
row_1008,remote,Remote,"An industrial RF pendant controller with a ruggedized rectangular enclosure, a hinged safety guard over the emergency-stop cluster, and a telescoping whip antenna. The safety guard pivots on a revolute hinge at its top edge. The antenna extends prismatically from the enclosure top.",openai,gpt-5.4,high,100,2.5,sdk,Industrial RF pendant — guard revolute antenna prismatic,TRUE
row_1009,remote,Remote,"A programmable macro keypad with a flat rectangular housing, twelve keycaps, and two rotary encoder knobs. Each encoder knob spins continuously about its vertical axis. A tilt-leg bracket on the underside rotates on a revolute hinge at the bottom housing edge.",openai,gpt-5.4,high,100,2.5,sdk,Macro keypad — encoders continuous tilt-leg revolute,TRUE
row_1010,remote,Remote,A set-top box remote with a slim rectangular body and a sliding cover panel over the numeric keypad section. The cover panel moves prismatically along the body's long axis. A battery door on the rear slides prismatically on its own guide rail.,openai,gpt-5.4,high,100,2.5,sdk,STB remote — numeric slide cover prismatic battery door prismatic,TRUE
