row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
g55b_0001_prismaticrevoluterevolute_chain_316088c6,prismaticrevoluterevolute_chain,Prismatic-revolute-revolute chain,"A gantry-mounted arm where a prismatic slide positions a two-joint rotary linkage, using rectangular rails, joint hubs, and a compact tool plate.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0002_sewing_box_with_simple_hinged_lid_ff441f32,sewing_box_with_simple_hinged_lid,Sewing box with simple hinged lid,"A realistic, highly detailed sewing box with a compact storage body, practical carrying features, and a simple hinged lid. The lid and any standard organizer movement articulate naturally, and the object should feel like a useful real household craft item with believable joinery and finish.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0003_single_continuous_rotary_shaft_40118977,single_continuous_rotary_shaft,Single continuous rotary shaft,A pottery wheel with a circular rotating top plate driven by a single continuous vertical shaft.,openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0004_single_prismatic_slider_a40313ba,single_prismatic_slider,Single prismatic slider,A machine-tool linear stage with one carriage block moving along a single horizontal rail.,openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0005_vane_array_with_independent_pivots_da933688,vane_array_with_independent_pivots,Vane array with independent pivots,"A panel with multiple flap elements, each mounted on its own independent hinge axis, arranged in a uniform mechanical array.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0006_single_yaw_axis_module_b4bfc7c9,single_yaw_axis_module,Single yaw axis module,"A pan-only turntable mechanism with a low-profile rotary base, circular top plate, and rigid mounting pedestal for a sensor payload.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0007_dualcolumn_lift_carriage_f6f77b5c,dualcolumn_lift_carriage,Dual-column lift carriage,"A realistic dual-column lift carriage with two parallel guide columns, a rigid crosshead carriage, visible linear bearing blocks, and a clean machine-lift appearance. The carriage articulates naturally along the vertical columns, and the assembly should feel like real guided hardware with clear alignment and support.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0008_orthogonal_xy_stage_2210215a,orthogonal_xy_stage,Orthogonal XY stage,"An orthogonal XY stage with stacked linear rails, rectangular carriages, and a flat top plate, designed like a precision positioning table.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0009_mastmounted_fork_carriage_3336d11a,mastmounted_fork_carriage,Mast-mounted fork carriage,"A realistic mast-mounted fork carriage with a vertical guide mast, a sliding carriage frame, two rigid fork tines, and a compact material-handling appearance. The carriage lift articulates naturally, and the assembly should feel like real guided lifting hardware with visible support and attached motion.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0010_turntable_f6f92f64,turntable,Turntable,"A realistic, highly detailed turntable with a low rectangular plinth, a circular platter, a pivoted tonearm, a compact cartridge head, and convincing hi-fi equipment character. The platter rotation and tonearm motion articulate naturally, and the unit should feel like a real manufactured audio product with refined finish and believable construction.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0011_single_roll_axis_module_98303662,single_roll_axis_module,Single roll axis module,"A motorized roll stage for a sensor tube, with coaxial supports, a single roll joint, and minimal machined brackets.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0012_screwin_light_bulb_with_socket_6e182eb2,screwin_light_bulb_with_socket,Screw-in light bulb with socket,"A realistic, highly detailed screw-in light bulb with a glass bulb envelope, a metal Edison screw base, a rigid socket housing, and believable electrical-fixture character. The bulb-to-socket twisting motion articulates naturally, and the assembly should feel like real household hardware with clear attachment and clean proportions.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0013_sliding_window_156c39d5,sliding_window,Sliding window,"A realistic, highly detailed Sliding Window in a rugged utility variant, with a framed opening, one moving sash, guide channels, and realistic overlap and seal breaks. Add thicker sections, reinforced joints, exposed fasteners, and durable painted or molded material cues suited to heavy use. sliding travel should be guided by obvious rails, channels, or roller tracks rather than floating parts. Keep the object practical, serviceable, and mechanically legible.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0014_drawer_cabinet_with_sliding_drawers_adc20b9a,drawer_cabinet_with_sliding_drawers,Drawer cabinet with sliding drawers,"A realistic, highly detailed drawer cabinet with a sturdy outer carcass, multiple sliding drawers, and practical handles or pulls. The drawers articulate naturally on believable supports, and the furniture should feel solid, functional, and true to real cabinetry construction.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0015_dualrail_gantry_axis_65c13cfb,dualrail_gantry_axis,Dual-rail gantry axis,"A realistic dual-rail gantry axis with two parallel linear rails, a bridging carriage, exposed guide blocks, and a clean CNC or automation-stage appearance. The carriage articulates naturally along the rails, and the mechanism should feel like real precision motion hardware with rigid support and aligned structure.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0016_coaxial_rotary_stack_75b1a465,coaxial_rotary_stack,Coaxial rotary stack,"A nested rotary assembly with two or more coaxial joints, compact bearing rings, and a layered industrial turntable design.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0017_single_revolute_hinge_f514e84e,single_revolute_hinge,Single revolute hinge,"A wall-mounted cabinet with a single side-hinged door and a slim pull handle, modeled as one clean revolute hinge.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0018_threestage_telescoping_slide_05541b44,threestage_telescoping_slide,Three-stage telescoping slide,"A three-stage telescoping slide using three nested box rails and serial linear extension, with machined end brackets and stop features.",openai,gpt-5.5-2026-04-23,high,100,3,sdk,
g55b_0019_prismaticrevolute_chain_3679f6ca,prismaticrevolute_chain,Prismatic-revolute chain,A machine fixture with one horizontal prismatic carriage carrying a single rotating inspection flap.,openai,gpt-5.5-2026-04-23,high,100,3,sdk,
