row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
single_rotor_helicopter_plus10_01,single_rotor_helicopter,Single-rotor helicopter,"A utility helicopter with a compact fuselage, skid landing gear, a four-blade main rotor above the cabin roof, and a tail boom ending in a tail rotor. Two engine cowling doors sit on the upper fuselage behind the mast, and a small baggage door is mounted on the aft side of the body. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the cowling doors rotate upward on top hinges, and the baggage door rotates on a vertical side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Utility twin engine cowls
single_rotor_helicopter_plus10_02,single_rotor_helicopter,Single-rotor helicopter,"A medevac helicopter with a tall cabin, wheeled landing gear, a roof-mounted main rotor mast, and a tail boom with a tail rotor near the fin. One side of the cabin carries a wide sliding patient door, and the upper fuselage behind the mast has a hinged service hatch. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the patient door slides prismatically along a longitudinal side rail, and the service hatch rotates on a top hinge.",openai,gpt-5.4,high,150,3.0,sdk,Medevac wide loading door
single_rotor_helicopter_plus10_03,single_rotor_helicopter,Single-rotor helicopter,"A tour helicopter with a glazed cabin, skid landing gear, a three-blade main rotor, and a slender tail boom with a rear tail rotor. The left and right front cabin doors are separately hinged, and a luggage hatch sits on the aft fuselage behind the passenger area. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the two cabin doors rotate on vertical side hinges, and the luggage hatch rotates on a side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Tour front doors and rear hatch
single_rotor_helicopter_plus10_04,single_rotor_helicopter,Single-rotor helicopter,"A patrol helicopter with a streamlined fuselage, skid gear, a four-blade main rotor, and a tail boom carrying a tail rotor at the tip. A sliding observer door is mounted on one side of the cabin, and a small avionics access door is mounted in the nose below the cockpit. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the observer door slides prismatically along a side rail, and the avionics door rotates on a side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Patrol observer slider
single_rotor_helicopter_plus10_05,single_rotor_helicopter,Single-rotor helicopter,"An agricultural helicopter with a narrow cockpit, a large rear tank body, skid landing gear, a three-blade main rotor, and a tail boom with a tail rotor. A top fill lid is mounted on the tank body behind the mast, and one side of the engine bay has a hinged service panel. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the fill lid rotates on a top hinge, and the service panel rotates on a side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Agricultural top fill lid
single_rotor_helicopter_plus10_06,single_rotor_helicopter,Single-rotor helicopter,"An offshore transport helicopter with a long fuselage, wheeled landing gear, a five-blade main rotor on a tall mast, and a tail boom with a tail rotor on the fin. The cockpit has one hinged door on each side, and the passenger cabin has a separate sliding door behind the cockpit. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the cockpit doors rotate on vertical side hinges, and the cabin door slides prismatically along a side rail.",openai,gpt-5.4,high,150,3.0,sdk,Offshore cockpit doors and cabin slider
single_rotor_helicopter_plus10_07,single_rotor_helicopter,Single-rotor helicopter,"A training helicopter with a slim fuselage, skid landing gear, a two-blade main rotor above the cabin, and a long tail boom with a tail rotor. A transmission cover is mounted behind the mast on the roof spine, and a small baggage hatch is mounted on one aft side of the fuselage. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the transmission cover rotates upward on a top hinge, and the baggage hatch rotates on a side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Trainer transmission cover
single_rotor_helicopter_plus10_08,single_rotor_helicopter,Single-rotor helicopter,"A cargo helicopter with a tall cabin body, wheeled landing gear, a four-blade main rotor, and a tail boom ending in a tail rotor. A large sliding side cargo door opens along the cabin wall, and a roof maintenance hatch sits behind the main rotor mast. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the cargo door slides prismatically along a longitudinal side rail, and the maintenance hatch rotates on a top hinge.",openai,gpt-5.4,high,150,3.0,sdk,Cargo side door and roof hatch
single_rotor_helicopter_plus10_09,single_rotor_helicopter,Single-rotor helicopter,"A corporate helicopter with a broad cabin, retract-fixed wheeled landing gear, a four-blade main rotor, and a tapered tail boom with a tail rotor. The aft baggage bay is covered by a top-hinged hatch, and one passenger door is mounted on the side of the cabin. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the baggage hatch rotates upward on a top hinge, and the passenger door rotates on a vertical side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Corporate baggage clamshell
single_rotor_helicopter_plus10_10,single_rotor_helicopter,Single-rotor helicopter,"A fire utility helicopter with a robust fuselage, skid landing gear, a five-blade main rotor, and a tail boom carrying a tail rotor near the tip. The engine bay has one service door on each side behind the mast, and the cabin has a crew access door on one side. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the two service doors rotate on side hinges, and the crew door rotates on a vertical side hinge.",openai,gpt-5.4,high,150,3.0,sdk,Fire utility dual service doors
espresso_machine_with_articulated_components_plus10_01,espresso_machine_with_articulated_components,Espresso machine with articulated components,"A semi-automatic espresso machine with a front group head, a side steam wand, and a water tank carried in a pull-out rear drawer below a cup-warming deck. A shallow drip tray spans the lower front below the brew area. The portafilter rotates into the group head about the vertical brew axis, the steam wand rotates on a vertical side-support pivot, the water tank drawer slides prismatically along a longitudinal guide, and the drip tray slides prismatically forward along a base guide.",openai,gpt-5.4,high,150,3.0,sdk,Semi automatic top fill drawer
espresso_machine_with_articulated_components_plus10_02,espresso_machine_with_articulated_components,Espresso machine with articulated components,"An espresso machine with an integrated grinder, a single group head, a side steam wand, and a hinged bean hopper lid above the grinder section. A short brew paddle is mounted on the front face beside the group head. The portafilter rotates into the group head about the vertical brew axis, the steam wand rotates on a vertical support pivot, the hopper lid rotates on a rear hinge, and the brew paddle rotates on a short front pivot.",openai,gpt-5.4,high,150,3.0,sdk,Integrated grinder hopper lid and paddle
espresso_machine_with_articulated_components_plus10_03,espresso_machine_with_articulated_components,Espresso machine with articulated components,"A prosumer espresso machine with a boxy body, one front group head, a steam wand, and two small fold-down cup rests at different heights on the front face. A water reservoir lid is mounted on the rear top deck behind the cup rail. The portafilter rotates into the group head about the vertical brew axis, the steam wand rotates on a vertical side-support pivot, the two cup rests rotate on lower front hinges, and the reservoir lid rotates on a rear hinge.",openai,gpt-5.4,high,150,3.0,sdk,Prosumer dual fold cup rests
