row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
row_0179,air_purifier_with_filter_door,Air purifier with filter door,"A tall cylindrical tower air purifier with a round housing on a round base, a rear access panel that hinges open on two revolute knuckle hinges at the panel left edge, and a cylindrical HEPA filter cartridge inside that slides out on prismatic guide rails at the housing interior.",openai,gpt-5.4,high,50,2.0,sdk,Air purifier with filter door — tall cylindrical tower rear revolute panel filter cartridge prismatic
row_0180,air_purifier_with_filter_door,Air purifier with filter door,"A ceiling-cassette air purifier with a flat rectangular housing mounted flush to a ceiling plate, a drop-down front grille access panel on a revolute hinge at the panel front edge, and an internal filter block that slides out on prismatic guide rails at the housing base.",openai,gpt-5.4,high,50,2.0,sdk,Air purifier with filter door — ceiling cassette drop-down front panel revolute filter block prismatic
row_0181,air_purifier_with_filter_door,Air purifier with filter door,"A window-sill air purifier with a wide flat rectangular housing that fits a window sill, a hinged top access lid on two barrel revolute hinges at the lid rear edge, and a pre-filter panel that slides out on prismatic guide rails at the housing interior front face.",openai,gpt-5.4,high,50,2.0,sdk,Air purifier with filter door — window-sill flat housing top lid rear revolute pre-filter panel prismatic
row_0182,air_purifier_with_filter_door,Air purifier with filter door,"A bathroom wall-mount air purifier with a slim rectangular housing on a wall bracket, a hinged front cover that swings open on two revolute knuckle hinges at the cover right edge, and a washable filter tray inside on a prismatic slide at the housing base.",openai,gpt-5.4,high,50,2.0,sdk,Air purifier with filter door — bathroom wall-mount slim housing front cover revolute filter tray prismatic
row_0183,air_purifier_with_filter_door,Air purifier with filter door,"A desktop globe-form air purifier with a wide spherical upper housing on a disc base, a rotating top cap that spins on a continuous revolute joint at the housing equator for directional airflow, and a bottom drawer on a prismatic joint in the disc base for filter replacement.",openai,gpt-5.4,high,50,2.0,sdk,Air purifier with filter door — desktop globe spherical housing rotating top cap continuous revolute base filter drawer prismatic
row_0184,articulated_task_lamp,Articulated task lamp,"A classic architect's desk lamp with a weighted round base, a vertical post, a two-link arm with a revolute shoulder joint at the post top and a revolute elbow joint at the arm midpoint, and a conical shade that tilts on a horizontal revolute joint at the arm tip. Arm swivel at the post is also revolute about a vertical axis.",openai,gpt-5.4,high,50,2.0,sdk,Articulated task lamp — architect's desk lamp two-link arm revolute shoulder elbow shade tilt vertical swivel
row_0185,articulated_task_lamp,Articulated task lamp,"A wall-mount swing-arm task lamp with a rectangular wall plate, a single arm on a revolute joint at the wall plate boss, the arm extending on a prismatic joint for reach adjustment, and a cylindrical shade that tilts on a horizontal revolute joint at the arm tip.",openai,gpt-5.4,high,50,2.0,sdk,Articulated task lamp — wall-mount swing arm revolute wall plate prismatic reach cylindrical shade tilt revolute
row_0186,articulated_task_lamp,Articulated task lamp,"A floor-standing task lamp with a round weighted base, a vertical column, a revolute swivel joint at the column top on a vertical axis, a single arm link on a revolute shoulder joint at the swivel, and a cylindrical shade that tilts on a horizontal revolute joint at the arm tip.",openai,gpt-5.4,high,50,2.0,sdk,Articulated task lamp — floor-standing round base column vertical swivel single arm revolute shoulder cylindrical shade tilt
row_0187,articulated_task_lamp,Articulated task lamp,"A clamp-base monitor-mount task lamp with a C-clamp base, a short post on a revolute swivel joint at the clamp boss, a two-link arm with revolute shoulder and elbow joints, a telescoping forearm link on a prismatic joint, and a small LED head that tilts on a horizontal revolute joint at the forearm tip.",openai,gpt-5.4,high,50,2.0,sdk,Articulated task lamp — clamp-base monitor-mount two-link arm revolute shoulder elbow prismatic forearm LED head tilt
row_0188,articulated_task_lamp,Articulated task lamp,"A bench-clamp segmented task lamp with a C-clamp base, a three-link rigid arm with revolute shoulder, elbow, and wrist joints each on horizontal axes, and a cylindrical LED head that pans on a vertical revolute joint and tilts on a horizontal revolute joint at the wrist tip.",openai,gpt-5.4,high,50,2.0,sdk,Articulated task lamp — bench-clamp three-link arm revolute shoulder elbow wrist LED head pan vertical tilt horizontal
row_0189,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A long Newtonian reflector on a German equatorial mount. A tube sits in two ring clamps bolted to a declination bar that pivots on a horizontal revolute declination axis in the mount head; a counterweight rod extends opposite on the same axis. The mount head rotates on a continuous RA revolute axis in a polar wedge sitting on a three-leg aluminium tripod with fixed legs.,openai,gpt-5.4,high,50,2.0,sdk,Astronomical telescope on tripod — Newtonian reflector German equatorial mount Dec revolute RA continuous counterweight wedge tripod
row_0190,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A compact Schmidt-Cassegrain on a single-arm fork equatorial mount. A stubby tube pivots on declination on a horizontal revolute joint at the single fork arm tip. The fork arm rotates on a continuous RA revolute axis at the mount base. The mount base tilts on a polar-angle revolute at a wedge plate sitting on a three-leg fixed tripod.,openai,gpt-5.4,high,50,2.0,sdk,Astronomical telescope on tripod — compact SCT single-arm fork equatorial Dec revolute RA continuous polar wedge revolute
row_0191,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A short grab-and-go refractor on a compact alt-azimuth rocker box. The tube rides on altitude trunnion bearings on revolute joints at the rocker box side walls. The rocker box rotates on an azimuth continuous revolute joint on a flat circular base board. The base board rests on three adjustable-height pad feet each on a prismatic joint.,openai,gpt-5.4,high,50,2.0,sdk,Astronomical telescope on tripod — grab-and-go refractor alt-az rocker altitude revolute azimuth continuous adjustable pad feet prismatic
row_0192,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A spotting-scope refractor on a fluid pan-tilt head tripod. The scope body clamps in a dovetail saddle plate locked by a knob on a revolute joint. The pan-tilt head tilts on a horizontal revolute tilt axis and pans on a vertical revolute pan axis at the head ball bracket. Three aluminium tripod legs each extend on a prismatic joint from a central apex hub.,openai,gpt-5.4,high,50,2.0,sdk,Astronomical telescope on tripod — spotting-scope refractor dovetail saddle pan-tilt head revolute tilt pan prismatic legs
