row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,scaffold_mode,label
fidget_10_001,fidget_toy,Fidget toy,"A Newton's cradle desk toy with a rectangular metal frame, two horizontal top rails, and five steel ball pendulums. Each ball hangs from a rigid V-shaped rod pair that pivots on a revolute joint at the top rail. Compact executive-desk scale.",openai,gpt-5.4,high,35,2.0,sdk,strict,Newton's cradle — five ball pendulums revolute at top rail
fidget_10_002,fidget_toy,Fidget toy,"A carabiner spinner fidget keychain with a D-ring aluminum frame, a pivoting gate bar across the opening on a revolute hinge at the lower frame pin, and a spinning disc wheel mounted on a continuous revolute axle inside the upper loop. Keychain scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Carabiner spinner fidget — gate revolute disc continuous
fidget_10_003,fidget_toy,Fidget toy,"A fidget spinner pen with a cylindrical barrel, a fixed front ballpoint tip, and two broad flat counterbalanced wing lobes extending symmetrically from the barrel center. The wing-lobe assembly spins freely as a continuous revolute joint about the barrel's long axis. Handheld pen scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Fidget spinner pen — two wing lobes continuous revolute barrel axis
fidget_10_004,fidget_toy,Fidget toy,An acupressure finger-massage ring with a smooth oval inner finger band and a spiked textured outer roller ring encircling it. The outer roller ring spins continuously about the ring's central axis on the inner band. Ring-sized wearable scale.,openai,gpt-5.4,high,25,2.0,sdk,strict,Acupressure massage ring — spiked outer roller continuous on inner band
fidget_10_005,fidget_toy,Fidget toy,"A Wacky Tracks snap-and-click fidget with twelve trapezoidal plastic link segments joined sequentially by revolute hinge pins at the link ends, forming an open chain. Each segment connects to the next on a revolute joint about the transverse pin axis. Handheld open-chain scale.",openai,gpt-5.4,high,35,2.0,sdk,strict,Wacky Tracks — twelve trapezoidal links sequential revolute pins open chain
fidget_10_006,fidget_toy,Fidget toy,"A seat-belt buckle clicker fidget with a rectangular buckle housing, a flat tongue plate that inserts into the housing slot, and a release push button on the housing top. The tongue slides prismatically into and out of the buckle slot. The release button depresses prismatically into the housing top. Compact handheld scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Seatbelt buckle clicker — tongue prismatic release button prismatic
fidget_10_007,fidget_toy,Fidget toy,"A spinning-top fidget desk toy with a wide flat disc body, a rounded underside tapering to a blunt tip, and a short ribbed finger-grip stem at the top. The disc and stem spin continuously about the central vertical axis on the tip contact point. Small desktop scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Spinning top fidget — disc continuous vertical axis
fidget_10_008,fidget_toy,Fidget toy,"A retractable ballpoint click pen with a cylindrical barrel, a flat pocket clip fixed to the side, a push-button plunger at the top cap, and a retractable tip at the nose. The push button moves prismatically into the barrel top. The ballpoint tip extends and retracts prismatically from the nose socket. Handheld pen scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Retractable click pen — push button prismatic tip prismatic
fidget_10_009,fidget_toy,Fidget toy,"A handheld folding fan fidget with a flat rivet pivot at the handle end and eight narrow flat fan ribs extending from the pivot. Each rib rotates on a revolute joint about the shared pivot pin axis, spreading from fully closed to fully open. Small compact hand-fan scale.",openai,gpt-5.4,high,35,2.0,sdk,strict,Folding fan fidget — eight flat ribs shared pivot revolute
fidget_10_010,fidget_toy,Fidget toy,A miniature ratchet wrench fidget with a flat rectangular handle bar and a round ratchet head housing at one end. The ratchet head rotates continuously about the head joint axis in the advance direction. A pawl arm inside the housing engages the ring teeth on a small revolute pivot pin. Compact handheld scale.,openai,gpt-5.4,high,25,2.0,sdk,strict,Mini ratchet wrench fidget — ratchet head continuous pawl arm revolute
fidget_10_011,fidget_toy,Fidget toy,"A quad-lobe fidget spinner with a central round bearing hub and four equal weighted arms extending outward at 90-degree spacing, each arm widening to a rounded rectangular tip. The full lobe assembly spins freely as a continuous revolute joint about the central hub axis between two flat outer cap discs. Handheld palm scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Quad-lobe fidget spinner — four equal arms continuous revolute central hub
fidget_10_012,fidget_toy,Fidget toy,"A bi-wing fidget spinner with a central cylindrical bearing hub and two broad swept-back wing lobes extending symmetrically from the hub, each wing tapering to a rounded outer tip with a recessed weight pocket. The full wing assembly spins freely as a continuous revolute joint about the central hub axis between two flat cap plates. Handheld palm scale.",openai,gpt-5.4,high,25,2.0,sdk,strict,Bi-wing fidget spinner — two swept-back wings continuous revolute central hub
