row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label,design_audit
range_hood_with_articulated_controls_b2_01,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a rectangular lower canopy and a tall upper chimney cover. The front control strip carries three evenly spaced rotary knobs across the center. Only the three knobs articulate, and each rotates continuously about its own front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Three Center Knobs,true
range_hood_with_articulated_controls_b2_02,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad canopy and a narrow upper chimney cover. Four round push-buttons sit in a straight horizontal row across the front lip. Only the four buttons articulate, and each is a short prismatic plunger that moves normal to the panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Four Button Row,true
range_hood_with_articulated_controls_b2_03,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a gently flared canopy and a box chimney above. Two large rotary knobs sit near the left and right ends of the front strip with one small push-button centered between them. Only those controls articulate: the knobs rotate continuously about front-to-back revolute axes, and the button is a short prismatic plunger.",openai,gpt-5.4,high,50,sdk,Chimney Hood Two Knobs One Button,true
range_hood_with_articulated_controls_b2_04,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a tapered lower canopy and a tall rectangular chimney cover. Five small push-buttons span most of the front edge from left to right. Only the five buttons articulate, and each moves inward as a short prismatic joint normal to the front panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Five Buttons,true
range_hood_with_articulated_controls_b2_05,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a deep canopy and a short upper chimney section. One large selector knob sits at the far left of the front panel, with two smaller push-buttons grouped to its right. Only the knob and buttons articulate, with the knob rotating continuously about its axis and the two buttons moving as short prismatic plungers.",openai,gpt-5.4,high,50,sdk,Chimney Hood Left Knob Two Buttons,true
range_hood_with_articulated_controls_b2_06,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a boxy canopy and a centered chimney stack. Six square push-buttons are arranged as two rows of three on the front-right portion of the canopy face. Only the buttons articulate, and each is a short prismatic plunger into the housing.",openai,gpt-5.4,high,50,sdk,Chimney Hood Two By Three Buttons,true
range_hood_with_articulated_controls_b2_07,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a crisp front valance and a tall upper chimney cover. Four rotary knobs are grouped in a diamond pattern at the front center. Only the four knobs articulate, and each rotates continuously about its own front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Diamond Knobs,true
range_hood_with_articulated_controls_b2_08,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a flat lower canopy and a narrow chimney chase. Two push-buttons are stacked vertically near the left side of the front panel while one rotary knob sits alone on the right. Only those controls articulate: the two buttons move inward prismatically and the knob rotates continuously about its axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Stacked Buttons Right Knob,true
range_hood_with_articulated_controls_b2_09,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a straight canopy lip and a rectangular chimney cover above. Five round push-buttons form a gentle arc across the center of the front strip. Only the five buttons articulate, and each is a short prismatic plunger normal to the curved control line.",openai,gpt-5.4,high,50,sdk,Chimney Hood Arced Buttons,true
range_hood_with_articulated_controls_b2_10,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a deep front skirt and a square chimney column. Three rotary knobs are arranged vertically in a single column along the right front edge. Only the three knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Vertical Knob Stack,true
range_hood_with_articulated_controls_b2_11,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a faceted canopy and a plain upper chimney cover. Two large push-buttons sit side by side across the center of the front panel. Only the two buttons articulate, and each moves inward on a short prismatic axis normal to the panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Twin Buttons,true
range_hood_with_articulated_controls_b2_12,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad canopy face and a telescoping upper chimney shell. Four small rotary knobs are mounted in a straight row along the underside front edge. Only the four knobs articulate, and each rotates continuously about a vertical revolute axis through the underside panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Underside Knob Row,true
range_hood_with_articulated_controls_b2_13,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a rectangular canopy and a tall chimney chase. One large central rotary knob is flanked by two small push-buttons on the left and two on the right in a symmetric five-control layout. Only these controls articulate, with the knob rotating continuously and the four buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Chimney Hood Center Knob Four Buttons,true
range_hood_with_articulated_controls_b2_14,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with angled side cheeks and a narrow chimney cover. Four square push-buttons are arranged as a vertical pair on the left and a vertical pair on the right, leaving the center empty. Only the four buttons articulate, and each is a short prismatic plunger into the front panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Split Vertical Buttons,true
range_hood_with_articulated_controls_b2_15,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a flat front strip and a box chimney above. Three rotary knobs sit close together at the far right of the control panel with increasing diameter from left to right. Only the three knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Graduated Right Knobs,true
range_hood_with_articulated_controls_b2_16,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad lower canopy and a tall chimney box. Six small square push-buttons run in a single vertical column down the right front edge. Only the six buttons articulate, and each moves inward as a short prismatic plunger.",openai,gpt-5.4,high,50,sdk,Chimney Hood Vertical Button Column,true
range_hood_with_articulated_controls_b2_17,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a slightly curved canopy front and a straight chimney cover. Four circular push-buttons are grouped in a compact square at the front center. Only the four buttons articulate, and each is a short prismatic joint normal to the canopy face.",openai,gpt-5.4,high,50,sdk,Chimney Hood Square Button Cluster,true
range_hood_with_articulated_controls_b2_18,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a trapezoidal canopy and a slim chimney above. Two rotary knobs are stacked vertically on the left front cheek while two rectangular push-buttons line up horizontally across the lower-right front strip. Only the knobs and buttons articulate, with the knobs rotating continuously and the buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Chimney Hood Left Knob Stack Right Buttons,true
range_hood_with_articulated_controls_b2_19,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a straight canopy lip and a centered chimney section. Three push-buttons sit on the left in a row, and a single larger rotary knob sits isolated on the right. Only those controls articulate: the three buttons are short prismatic plungers and the knob rotates continuously about its axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Three Buttons One Large Knob,true
range_hood_with_articulated_controls_b2_20,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a clean rectangular canopy and a box chimney column. Two large rotary knobs sit side by side at center, with one small push-button above them and one below them in a cross layout. Only these controls articulate, with both knobs rotating continuously and the two buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Chimney Hood Cross Layout Controls,true
range_hood_with_articulated_controls_b2_21,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a slim canopy and a tall chimney shell. Three square push-buttons occupy the left half of the control strip while two rotary knobs occupy the right half. Only the controls articulate, with the buttons moving inward on short prismatic joints and the knobs rotating continuously about front-to-back revolute axes.",openai,gpt-5.4,high,50,sdk,Chimney Hood Three Buttons Two Knobs,true
range_hood_with_articulated_controls_b2_22,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad canopy face and a narrow upper chimney cover. One long rectangular push-button spans the center of the front panel, with a small rotary knob near each end. Only the center button and the two end knobs articulate, with the button moving inward prismatically and the knobs rotating continuously.",openai,gpt-5.4,high,50,sdk,Chimney Hood Long Center Button Two Knobs,true
range_hood_with_articulated_controls_b2_23,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a trapezoidal canopy and a square chimney stack. Six push-buttons are split into three closely spaced pairs with wider gaps between the pairs across the front strip. Only the six buttons articulate, and each is a short prismatic plunger into the front panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Three Button Pairs,true
range_hood_with_articulated_controls_b2_24,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a compact canopy and a tall rectangular chimney. Two rotary knobs are mounted vertically on the right front cheek, and two round push-buttons are mounted horizontally along the front lip on the left. Only these controls articulate, with the knobs rotating continuously and the buttons moving inward on short prismatic axes.",openai,gpt-5.4,high,50,sdk,Chimney Hood Right Knobs Left Buttons,true
range_hood_with_articulated_controls_b2_25,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad front valance and a centered chimney chase. Four circular rotary knobs are mounted near the corners of an invisible rectangle on the front panel, leaving the middle open. Only the four knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Corner Knobs,true
range_hood_with_articulated_controls_b2_26,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with faceted front surfaces and a narrow upper chimney cover. Three round push-buttons are stacked vertically at center, with one small push-button placed to each side of the middle button. Only the five buttons articulate, and each moves inward as a short prismatic plunger.",openai,gpt-5.4,high,50,sdk,Chimney Hood Center Button Stack,true
range_hood_with_articulated_controls_b2_27,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a flat canopy face and a tall chimney shell. Two rectangular push-buttons sit at the left, and three small round push-buttons form a triangular cluster at the right. Only the five buttons articulate, and each is a short prismatic joint normal to the front face.",openai,gpt-5.4,high,50,sdk,Chimney Hood Pair And Triangle Buttons,true
range_hood_with_articulated_controls_b2_28,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a box lower canopy and a tall nested chimney cover. One rotary knob is centered on the front face, and four push-buttons are arranged as a vertical column descending just to its right. Only the knob and buttons articulate, with the knob rotating continuously and the buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Chimney Hood Center Knob Side Buttons,true
range_hood_with_articulated_controls_b2_29,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a deep lower canopy and a rectangular chimney section above. Three rotary knobs sit along the lower front edge, and two square push-buttons sit directly above the outer two knobs. Only these controls articulate, with the knobs rotating continuously and the buttons moving inward on short prismatic axes.",openai,gpt-5.4,high,50,sdk,Chimney Hood Knobs With Upper Buttons,true
range_hood_with_articulated_controls_b2_30,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a flush front face and a simple upper chimney box. Six push-buttons form a 2 by 3 grid centered on the front face, but the lower-right button is offset slightly outward from the grid. Only the six buttons articulate, and each is a short prismatic plunger into the panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Offset Grid Buttons,true
range_hood_with_articulated_controls_b2_31,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad trapezoidal canopy and a narrow chimney cover. Two large push-buttons occupy the center of the front strip, with one small rotary knob tucked beneath each button. Only these controls articulate, with the buttons moving inward prismatically and the knobs rotating continuously.",openai,gpt-5.4,high,50,sdk,Chimney Hood Buttons Over Knobs,true
range_hood_with_articulated_controls_b2_32,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a tall chimney spine and a slim front rail on the canopy below. Four square push-buttons are placed on the front edge in a row angled slightly upward from left to right, and a single rotary knob sits isolated on the right side trim. Only the buttons and knob articulate, with the buttons moving inward prismatically and the knob rotating continuously about its own axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Angled Buttons Side Knob,true
range_hood_with_articulated_controls_b2_33,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a straight front valance and a rectangular chimney stack. Two rotary knobs are placed close together on the far left, and four push-buttons are arranged as a 2 by 2 block on the far right. Only the controls articulate, with the knobs rotating continuously about front-to-back revolute axes and the buttons moving inward on short prismatic joints.",openai,gpt-5.4,high,50,sdk,Chimney Hood Left Knob Pair Right Button Block,true
range_hood_with_articulated_controls_b2_34,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad canopy and a flush front panel. Five round push-buttons follow a descending stair-step from left high to right low across the front face. Only the five buttons articulate, and each is a short prismatic plunger normal to the front panel.",openai,gpt-5.4,high,50,sdk,Chimney Hood Stair Step Buttons,true
range_hood_with_articulated_controls_b2_35,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a central chimney cover and a slightly curved front strip on the canopy. Three rotary knobs are arranged in a triangular cluster on the left, while two round push-buttons are stacked vertically on the right. Only the knobs and buttons articulate, with the knobs rotating continuously and the buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Chimney Hood Knob Triangle Two Buttons,true
range_hood_with_articulated_controls_b2_36,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a deep rectangular canopy and a short upper chimney box. Four rotary knobs are placed in a left-heavy layout with three clustered on the left half and one isolated at the far right. Only the four knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Chimney Hood Left Heavy Knobs,true
range_hood_with_articulated_controls_b2_37,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a slim canopy front and a tall chimney cover. Six push-buttons wrap an inverted U around a single central rotary knob, with two buttons on each side and two above. Only the knob and buttons articulate, with the knob rotating continuously and all six buttons moving inward as short prismatic plungers.",openai,gpt-5.4,high,50,sdk,Chimney Hood Inverted U Buttons Around Knob,true
range_hood_with_articulated_controls_b2_38,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a boxy lower canopy and a rectangular chimney stack above. Two large rotary knobs sit at center, and three push-buttons form a horizontal row directly beneath them. Only those controls articulate, with the knobs rotating continuously about front-to-back revolute axes and the buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Chimney Hood Two Knobs Three Lower Buttons,true
range_hood_with_articulated_controls_b2_39,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a tapered canopy and a tall upper chimney shell. One rotary knob sits at each corner of the front strip, and two push-buttons sit closely spaced at the center. Only the corner knobs and center buttons articulate, with the knobs rotating continuously and the buttons moving inward on short prismatic axes.",openai,gpt-5.4,high,50,sdk,Chimney Hood Corner Knobs Center Buttons,true
range_hood_with_articulated_controls_b2_40,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style kitchen range hood with a broad flat canopy and a narrow chimney cover above. Seven small push-buttons form two staggered rows, with four above and three below. Only the seven buttons articulate, and each is a short prismatic plunger directed normal to the front face.",openai,gpt-5.4,high,50,sdk,Chimney Hood Seven Staggered Buttons,true
range_hood_with_articulated_controls_b2_41,range_hood_with_articulated_controls,Range hood with articulated controls,"An under-cabinet kitchen range hood with a shallow rectangular body tucked below a cabinet. Three evenly spaced rotary knobs run across the center of the front lip. Only the three knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Under Cabinet Hood Three Center Knobs,true
range_hood_with_articulated_controls_b2_42,range_hood_with_articulated_controls,Range hood with articulated controls,"An under-cabinet kitchen range hood with a flat front band and a simple box intake body. Four round push-buttons sit in a straight horizontal row near the right half of the front face. Only the four buttons articulate, and each is a short prismatic plunger normal to the panel.",openai,gpt-5.4,high,50,sdk,Under Cabinet Hood Four Right Buttons,true
range_hood_with_articulated_controls_b2_43,range_hood_with_articulated_controls,Range hood with articulated controls,"An under-cabinet kitchen range hood with rounded front corners and a shallow lower body. Two larger rotary knobs sit near the left and right ends of the control strip with one small push-button centered between them. Only the knobs and button articulate, with the knobs rotating continuously and the button moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Under Cabinet Hood Two Knobs Center Button,true
range_hood_with_articulated_controls_b2_44,range_hood_with_articulated_controls,Range hood with articulated controls,"An under-cabinet kitchen range hood with a slim rectangular shell and a flat front lip. Five narrow push-buttons span most of the front edge from left to right. Only the five buttons articulate, and each moves inward as a short prismatic joint normal to the face.",openai,gpt-5.4,high,50,sdk,Under Cabinet Hood Five Buttons,true
range_hood_with_articulated_controls_b2_45,range_hood_with_articulated_controls,Range hood with articulated controls,"An under-cabinet kitchen range hood with a broad shallow body and a clean front valance. One large selector knob sits at the far left of the control strip, with two small push-buttons grouped to its right. Only those controls articulate, with the knob rotating continuously and the two buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Under Cabinet Hood Left Knob Two Buttons,true
range_hood_with_articulated_controls_b2_46,range_hood_with_articulated_controls,Range hood with articulated controls,"An under-cabinet kitchen range hood with a straight front band and a compact underside capture body. Four small rotary knobs are grouped tightly in a diamond pattern at the front center. Only the four knobs articulate, and each rotates continuously about its own front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Under Cabinet Hood Diamond Knobs,true
