row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
single_revolute_hinge_001,single_revolute_hinge,Single revolute hinge,"Create a realistic plain butt hinge test block. Geometry/details required: two rectangular mounting leaves with countersunk screw bosses, a central pin barrel split into alternating knuckles, small bevels on all plates, and a visible pin cap at both ends. Articulation required: one revolute joint about the pin axis with realistic 0 to 135 degree swing; leaves must remain seated on the hinge barrel with no floating knuckles. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,plain butt hinge test block,false
single_revolute_hinge_002,single_revolute_hinge,Single revolute hinge,"Create a realistic compact cabinet hinge sample. Geometry/details required: a fixed cabinet-side plate, a moving door-side plate, three barrel loops, rounded plate corners, screw holes, and a thin spacer washer at the pivot. Articulation required: one revolute hinge axis through the barrel; the moving leaf opens like a small cabinet door with a believable stop. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,compact cabinet hinge sample,false
single_revolute_hinge_003,single_revolute_hinge,Single revolute hinge,"Create a realistic heavy strap hinge section. Geometry/details required: long strap leaves with tapered ends, raised ribs, bolt heads, a thick cylindrical barrel, and a visible pin running full height. Articulation required: one revolute joint around the vertical pin; the strap leaf should swing while the base leaf stays fixed. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,heavy strap hinge section,false
single_revolute_hinge_004,single_revolute_hinge,Single revolute hinge,"Create a realistic miniature box hinge. Geometry/details required: two small brass-colored leaves, a narrow central barrel, tiny screw heads, rounded chamfered edges, and slight separation between the leaves. Articulation required: one revolute joint with a limited opening range suitable for a small lid hinge. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,miniature box hinge,false
single_revolute_hinge_005,single_revolute_hinge,Single revolute hinge,"Create a realistic industrial piano hinge segment. Geometry/details required: a long narrow hinge strip with repeated alternating knuckles, many screw bosses, and a continuous steel pin visible at the top and bottom. Articulation required: one revolute joint along the full hinge length; moving half rotates cleanly without detached knuckles. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,industrial piano hinge segment,false
single_revolute_hinge_006,single_revolute_hinge,Single revolute hinge,"Create a realistic friction hinge display piece. Geometry/details required: two thick plates, a larger pivot barrel, side washers, a knurled tension knob fixed on one side, and clear layered hardware detail. Articulation required: one revolute joint with tight motion limits; tension knob is visual detail unless modeled as a supported rotating control. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,friction hinge display piece,false
single_revolute_hinge_007,single_revolute_hinge,Single revolute hinge,"Create a realistic gate hinge bracket. Geometry/details required: a wall mounting bracket, projecting hinge ear, moving gate tab, vertical pin, washers, and blocky welded support gussets. Articulation required: one vertical revolute joint; the moving tab must be physically captured between supported hinge ears. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,gate hinge bracket,false
single_revolute_hinge_008,single_revolute_hinge,Single revolute hinge,"Create a realistic laptop-style hinge sample. Geometry/details required: a base strip, screen strip, two small cylindrical hinge barrels, central axle, end caps, and subtle dark plastic/metal material contrast. Articulation required: one horizontal revolute joint with laptop-like 0 to 120 degree opening. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,laptop-style hinge sample,false
single_revolute_hinge_009,single_revolute_hinge,Single revolute hinge,"Create a realistic flush door hinge corner. Geometry/details required: a door-edge block and frame-edge block with recessed leaf plates, screw heads, a continuous barrel, and narrow clearance gaps. Articulation required: one revolute joint on the side edge; door-side block swings away from the fixed frame. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,flush door hinge corner,false
single_revolute_hinge_010,single_revolute_hinge,Single revolute hinge,"Create a realistic transparent teaching hinge. Geometry/details required: color-coded fixed leaf, moving leaf, pin, washers, screw bosses, and labeled-looking but geometry-only axis markers. Articulation required: one revolute joint; include exact tests for support, hinge-axis placement, and opening motion. Use believable real-world proportions, visible material/color contrast, chamfered or rounded edges where appropriate, and exact prompt-specific tests for the main mechanism, support/contact, and the most important visible details. Keep the URDF open-tree and make every moving link physically supported; classify any small intentional seated/nested overlaps with scoped allowances and exact proof checks instead of distorting valid geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,transparent teaching hinge,false
