row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
single_yaw_axis_module_weighted_easy_high_01,single_yaw_axis_module,Single yaw axis module,A split-cheek yaw stage. A grounded base plate carries two short side cheeks and a compact rectangular top plate on a central hub. One revolute joint turns the top plate about the vertical hub axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 1
single_yaw_axis_module_weighted_easy_high_02,single_yaw_axis_module,Single yaw axis module,A low-wafer yaw module. A broad circular base supports a thin rotating upper deck with a short center bearing body kept visible below the deck. One revolute joint turns the upper deck about the vertical centerline.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 2
single_yaw_axis_module_weighted_easy_high_03,single_yaw_axis_module,Single yaw axis module,A mast-top pan module. A short pedestal rises from a heavy foot and supports a compact rotary head with a square sensor plate at the top. One revolute joint turns the head about the vertical pedestal axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 3
single_yaw_axis_module_weighted_easy_high_04,single_yaw_axis_module,Single yaw axis module,A side-wall yaw head. A grounded backplate carries a forward rotary cartridge and a small faceplate at its nose so the support path stays easy to read. One revolute joint turns the faceplate about the supported vertical axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 4
single_yaw_axis_module_weighted_easy_high_05,single_yaw_axis_module,Single yaw axis module,"An under-slung pan stage. A top beam supports a hanging rotary head with a small tooling plate below it, making the fixed support read above the moving member. One revolute joint turns the tooling plate about the vertical support axis.",openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 5
single_yaw_axis_module_weighted_easy_high_06,single_yaw_axis_module,Single yaw axis module,A bridge-capped yaw module. A rigid lower saddle supports a short bridge over a compact rotating head and a narrow top plate. One revolute joint turns the top plate about the vertical head axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 6
single_yaw_axis_module_weighted_easy_high_07,single_yaw_axis_module,Single yaw axis module,A ring-base yaw platter. A wide annular base supports a smaller rotating center table with a round edge and a plain top face. One revolute joint turns the center table about the shared vertical axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 7
single_yaw_axis_module_weighted_easy_high_08,single_yaw_axis_module,Single yaw axis module,A turret-style yaw head. A squat rectangular body supports a short cylindrical turret with a compact square output pad. One revolute joint turns the output pad about the turret axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 8
single_yaw_axis_module_weighted_easy_high_09,single_yaw_axis_module,Single yaw axis module,A flange-mount yaw stage. A broad mounting flange supports a short rotary neck and a compact top faceplate that stays smaller than the flange below it. One revolute joint turns the faceplate about the vertical neck axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 9
single_yaw_axis_module_weighted_easy_high_10,single_yaw_axis_module,Single yaw axis module,A dual-plate yaw carriage. Two fixed side plates support a compact rotating top block between them with clear clearance around the center hub. One revolute joint turns the top block about the supported vertical axis.,openai,gpt-5.4,high,35,2.0,sdk,Single yaw axis module Weighted Easy 10
