row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
branching_tree_with_three_independent_rotary_branches_to7_high_06,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A three-branch inspection fixture head with a rectangular center spine, a low side arm, a forward arm, and a high arm ending in different mounting pads. The spine carries each branch on its own collar or trunnion housing so the three arms read as separate supported members rather than one hub. The lower arm revolves about a transverse axis, the forward arm revolves about a vertical stub axis, and the upper arm revolves about a longitudinal shaft axis.",openai,gpt-5.4,high,50,sdk,Branching tree with three independent rotary branches Backfill 6
branching_tree_with_three_independent_rotary_branches_to7_high_07,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A compact tooling tree with a boxed mast and three cantilever branches attached on different faces, using a forked branch, a plate-style branch, and a short yoke-ended branch for silhouette variety. Each branch is mounted from its own bearing block or clevis support at a different height on the mast. All three branches are independent revolute joints on their local support axes, with the branch directions kept visibly distinct.",openai,gpt-5.4,high,50,sdk,Branching tree with three independent rotary branches Backfill 7
branching_tree_with_two_independent_rotary_branches_to7_high_06,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A two-branch fixture tree built around a tall rectangular spine with one upper fork arm and one lower plate arm mounted on opposite sides. Each branch is carried by its own hub housing, with the upper branch on side cheeks near the spine top and the lower branch on a separate pedestal block below. The upper branch revolves about a horizontal cross-shaft and the lower branch revolves about an independent vertical stub axis.",openai,gpt-5.4,high,50,sdk,Branching tree with two independent rotary branches Backfill 6
branching_tree_with_two_independent_rotary_branches_to7_high_07,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A dual-arm positioning tree with a central mast, a short forward branch near the top, and a longer side branch mounted lower down, each ending in a small tooling pad. The two branches connect through separate supported shafts so the structure reads as two independent modules attached to the same mast. One branch is a revolute joint about a front-back axis and the other is a revolute joint about a left-right axis.",openai,gpt-5.4,high,50,sdk,Branching tree with two independent rotary branches Backfill 7
cantilever_articulated_arm_to7_high_06,cantilever_articulated_arm,Cantilever articulated arm,"A floor-pedestal service arm with a heavy root column, an offset shoulder yoke, a long upper link, a shorter forearm, and a compact circular tool flange. The links are boxed or ribbed and each joint is held in clear side plates or clevis cheeks so the support structure stays legible. Shoulder and elbow are revolute joints about parallel horizontal axes, and the wrist is a separate revolute joint about the forearm's tool axis.",openai,gpt-5.4,high,50,sdk,Cantilever articulated arm Backfill 6
cantilever_articulated_arm_to7_high_07,cantilever_articulated_arm,Cantilever articulated arm,"A wall-mounted transfer arm with a stout backplate, an angled shoulder bracket, a tapered first link, a deep elbow knuckle, and a square end plate. The arm should feel like a load-bearing reach mechanism with different link lengths and a visibly offset elbow package. The shoulder and elbow rotate about parallel horizontal pivots from supported knuckle blocks, and the end plate sits on its own wrist revolute axis.",openai,gpt-5.4,high,50,sdk,Cantilever articulated arm Backfill 7
coaxial_rotary_stack_to7_high_06,coaxial_rotary_stack,Coaxial rotary stack,"A drum-style rotary indexing head with a wide circular base, a raised middle collar, and a narrow top tooling nose all centered on one vertical core. The stack should show distinct diameters, spacers, and flange steps so the three stages do not blur into one cylinder. The base, middle collar, and top nose are separate revolute joints about the shared vertical shaft.",openai,gpt-5.4,high,50,sdk,Coaxial rotary stack Backfill 6
coaxial_rotary_stack_to7_high_07,coaxial_rotary_stack,Coaxial rotary stack,"A nested ring turntable with a low platter, a thick intermediate ring, and a compact upper fixture cup carried on the same upright centerline. The housings should read like concentric supported stages with visible breaks between the bearing lands. Each stage rotates independently as a revolute joint about the common vertical axis.",openai,gpt-5.4,high,50,sdk,Coaxial rotary stack Backfill 7
dual_independent_finger_chains_to7_high_05,dual_independent_finger_chains,Dual independent finger chains,"A two-finger manipulator core with a split palm block and two unequal finger chains mounted side by side on separate pedestals, one finger ending in a rounded pad and the other in a flat nib. Each finger uses three rigid phalanx links with exposed knuckle barrels and side plates instead of any soft organic form. Both fingers have their own base, middle, and distal revolute joints in one bending plane, and the two chains stay mechanically independent.",openai,gpt-5.4,high,50,sdk,Dual independent finger chains Backfill 5
dual_independent_finger_chains_to7_high_06,dual_independent_finger_chains,Dual independent finger chains,"A compact robot pinch hand with a central palm saddle, two slender finger chains, and offset root knuckles that give each finger its own support block. One finger can be longer and straighter while the other is shorter with a hooked tip so the pair is visibly asymmetric. Each finger is a serial three-joint revolute chain bending in one plane from a separate base pivot.",openai,gpt-5.4,high,50,sdk,Dual independent finger chains Backfill 6
