row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
branching_tree_with_three_independent_rotary_branches_mechanical_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A realistic, highly detailed branching tree with three independent rotary branches rendered as a heavy industrial automation module, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add boxed gussets, exposed cap screws, removable service plates, and powder-coated steel over machined aluminum, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep it as a mechanical structure or assembly rather than a finished consumer object, and make every articulation explicit, load-bearing, and believable for sdk_hybrid hard-surface modeling.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 1
branching_tree_with_three_independent_rotary_branches_mechanical_02,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Design a realistic, highly detailed branching tree with three independent rotary branches as a compact lab-instrument subassembly, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add fine adjustment scales, trim cable channels, knurled collars, and bead-blasted aluminum with black-oxide hardware, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep the result firmly in the realm of mechanical fixtures and assemblies, with crisp separations between every rigid moving element.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 2
branching_tree_with_three_independent_rotary_branches_mechanical_03,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Model a realistic, highly detailed branching tree with three independent rotary branches as a field-deployable utility rig, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add protective guards, locking pins, drainage slots, textured paint, and corrosion-resistant fasteners, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep the design structural, serviceable, and assembly-first rather than reading like a generic consumer product.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 3
branching_tree_with_three_independent_rotary_branches_mechanical_04,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Create a realistic, highly detailed branching tree with three independent rotary branches as a precision metrology fixture, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add thin but rigid platework, etched index marks, clamp blocks, satin anodized metal, and polished bearing faces, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep the whole object mechanically legible and grounded in explicit supports, guides, and joints.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 4
branching_tree_with_three_independent_rotary_branches_mechanical_05,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Build a realistic, highly detailed branching tree with three independent rotary branches as a maintenance-training demonstrator, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add open-frame inspection cutouts, color-banded subassemblies, oversized fasteners, matte industrial finishes, and simple removable covers, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep it looking like a study assembly meant to expose the mechanics instead of hiding them behind product styling.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 5
branching_tree_with_three_independent_rotary_branches_mechanical_06,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Develop a realistic, highly detailed branching tree with three independent rotary branches as a modular production-cell subassembly, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add repeating bolt patterns, datum pads, lift points, mixed cast-and-machined housings, and replaceable wear strips, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep the geometry disciplined, rigid, and clearly organized around real support paths and motion constraints.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 6
branching_tree_with_three_independent_rotary_branches_mechanical_07,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Interpret a realistic, highly detailed branching tree with three independent rotary branches as a low-profile installation mechanism, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add flat plate links, carefully managed seam breaks, concealed counterweight volumes, restrained matte metal-composite transitions, and compact mounting geometry, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep it assembly-oriented and mechanically convincing without drifting into another finished object category.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 7
branching_tree_with_three_independent_rotary_branches_mechanical_08,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Construct a realistic, highly detailed branching tree with three independent rotary branches as an overbuilt endurance-test assembly, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add thick side cheeks, shock stops, sacrificial wear pads, rugged painted housings, and urethane bumpers, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep the structure stout, over-supported, and easy to parse as real fabricated hardware.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 8
branching_tree_with_three_independent_rotary_branches_mechanical_09,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Conceive a realistic, highly detailed branching tree with three independent rotary branches as a weather-sealed outdoor mechanism, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add gland plates, gasketed covers, drainage paths, stainless hardware, and ceramic-coated or passivated surfaces, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep the result mechanical and infrastructural, with every moving relationship visibly supported.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 9
branching_tree_with_three_independent_rotary_branches_mechanical_10,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Imagine a realistic, highly detailed branching tree with three independent rotary branches as a premium instrument-grade mechanism, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Add tight seam management, knurled adjusters, split clamp collars, balanced matte-and-satin machined surfaces, and restrained accent detailing, plus a triangulated backbone, maintenance covers, limit stops, and cable-free branch interfaces. Keep it precise, buildable, and unmistakably a mechanical assembly rather than a household object.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with three independent rotary branches Mechanical 10
branching_tree_with_two_independent_rotary_branches_mechanical_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A realistic, highly detailed branching tree with two independent rotary branches rendered as a heavy industrial automation module, with a central structural node feeding two independently rotating branch arms from a shared backbone. Both branches should rotate from visibly separate hubs, shafts, and side supports so the independent axes are unmistakable. Add boxed gussets, exposed cap screws, removable service plates, and powder-coated steel over machined aluminum, plus split bearing carriers, brace ribs, stop tabs, and rigid branch-end mounting pads. Keep it as a mechanical structure or assembly rather than a finished consumer object, and make every articulation explicit, load-bearing, and believable for sdk_hybrid hard-surface modeling.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with two independent rotary branches Mechanical 1
branching_tree_with_two_independent_rotary_branches_mechanical_02,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"Design a realistic, highly detailed branching tree with two independent rotary branches as a compact lab-instrument subassembly, with a central structural node feeding two independently rotating branch arms from a shared backbone. Both branches should rotate from visibly separate hubs, shafts, and side supports so the independent axes are unmistakable. Add fine adjustment scales, trim cable channels, knurled collars, and bead-blasted aluminum with black-oxide hardware, plus split bearing carriers, brace ribs, stop tabs, and rigid branch-end mounting pads. Keep the result firmly in the realm of mechanical fixtures and assemblies, with crisp separations between every rigid moving element.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with two independent rotary branches Mechanical 2
branching_tree_with_two_independent_rotary_branches_mechanical_03,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"Model a realistic, highly detailed branching tree with two independent rotary branches as a field-deployable utility rig, with a central structural node feeding two independently rotating branch arms from a shared backbone. Both branches should rotate from visibly separate hubs, shafts, and side supports so the independent axes are unmistakable. Add protective guards, locking pins, drainage slots, textured paint, and corrosion-resistant fasteners, plus split bearing carriers, brace ribs, stop tabs, and rigid branch-end mounting pads. Keep the design structural, serviceable, and assembly-first rather than reading like a generic consumer product.",openai,gpt-5.4,high,20,sdk_hybrid,Branching tree with two independent rotary branches Mechanical 3
