row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
air_purifier_with_filter_door_backfill_1,air_purifier_with_filter_door,Air purifier with filter door,"A realistic, highly detailed air purifier with filter door in a premium flagship variant, with clear hinge knuckles, side plates, pivots, or hinge barrels tied to the main body, and a coherent housing with service lines, control interfaces, and realistic mounting breaks. Add layered grille or panel detailing, a dark control strip, sharp seam management, and brushed or painted metallic accents. hinged motion should read through real pivots and clearly framed openings. Keep the object polished and believable without relying on exotic surfacing.",openai,gpt-5.4,high,20,sdk,Air purifier with filter door Backfill 1
air_purifier_with_filter_door_backfill_2,air_purifier_with_filter_door,Air purifier with filter door,"A realistic, highly detailed air purifier with filter door in a service-friendly semi-commercial variant, with clear hinge knuckles, side plates, pivots, or hinge barrels tied to the main body, and a coherent housing with service lines, control interfaces, and realistic mounting breaks. Add chunkier bezels, obvious access lines, sturdy feet or side trim, and powder-coated or molded hard-surface panels. hinged motion should read through real pivots and clearly framed openings. Keep the object practical, durable, and easy to read structurally.",openai,gpt-5.4,high,20,sdk,Air purifier with filter door Backfill 2
articulated_task_lamp_backfill_1,articulated_task_lamp,Articulated task lamp,"A realistic, highly detailed articulated task lamp in a heavier utility variant, with a load-bearing frame, practical supports, and clearly mounted moving elements. Add boxed supports, visible brackets, tougher edge treatment, and durable painted or laminated surfaces. any drawers, recline joints, footrests, or swivel elements should be clearly mounted and mechanically believable. Keep the object solid, practical, and believable under load.",openai,gpt-5.4,high,20,sdk,Articulated task lamp Backfill 1
articulated_task_lamp_backfill_2,articulated_task_lamp,Articulated task lamp,"A realistic, highly detailed articulated task lamp in a more refined residential variant, with a load-bearing frame, practical supports, and clearly mounted moving elements. Add softer but still buildable profiles, layered material breaks, neat pivots or runners, and carefully scaled hardware. any drawers, recline joints, footrests, or swivel elements should be clearly mounted and mechanically believable. Keep the object credible, visually rich, and still mechanically clear.",openai,gpt-5.4,high,20,sdk,Articulated task lamp Backfill 2
astronomical_telescope_on_tripod_backfill_1,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A realistic, highly detailed astronomical telescope on tripod in a heavier institutional variant, with a tripod with spread legs and a rigid head, and a stable support body with brackets, collars, or yokes carrying the active head. Add thicker brackets, cast housings, service covers, and painted metal with a few machined accents. the head, optic, dish, or lamp should pan, tilt, swivel, or extend through obvious bearings, forks, and yokes. Keep the object stable, durable, and clearly engineered for real use.",openai,gpt-5.4,high,20,sdk,Astronomical telescope on tripod Backfill 1
astronomical_telescope_on_tripod_backfill_2,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A realistic, highly detailed astronomical telescope on tripod in a refined premium variant, with a tripod with spread legs and a rigid head, and a stable support body with brackets, collars, or yokes carrying the active head. Add clean seam lines, precise bezels, slim control details, and restrained metal-and-polymer material transitions. the head, optic, dish, or lamp should pan, tilt, swivel, or extend through obvious bearings, forks, and yokes. Keep the object polished, credible, and still easy to build with rigid geometry.",openai,gpt-5.4,high,20,sdk,Astronomical telescope on tripod Backfill 2
barrier_gate_backfill_1,barrier_gate,Barrier gate,"A realistic, highly detailed barrier gate in a rugged infrastructure variant, with a rigid post, hinge or pivot housing, and a clearly supported gate arm or leaf, and clear primary framing and secondary support members sized like real fabricated hardware. Add stouter supports, guard or brace details, riveted or bolted plates, and worn painted finishes. the gate leaf or barrier arm should pivot or slide from clear support hardware. Keep the object serviceable, durable, and easy to parse structurally.",openai,gpt-5.4,high,20,sdk,Barrier gate Backfill 1
barrier_gate_backfill_2,barrier_gate,Barrier gate,"A realistic, highly detailed barrier gate in a more historic or decorative variant, with a rigid post, hinge or pivot housing, and a clearly supported gate arm or leaf, and clear primary framing and secondary support members sized like real fabricated hardware. Add simple ornamental trim, layered openings, cast or timber-like hard-surface members, and restrained weathering cues. the gate leaf or barrier arm should pivot or slide from clear support hardware. Keep the object recognizable, grounded, and still buildable with rigid solids.",openai,gpt-5.4,high,20,sdk,Barrier gate Backfill 2
bell_tower_with_swinging_bell_backfill_1,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A realistic, highly detailed bell tower with swinging bell in a rugged infrastructure variant, with a tower body with framed openings, platforms, or brace work, and clear primary framing and secondary support members sized like real fabricated hardware. Add stouter supports, guard or brace details, riveted or bolted plates, and worn painted finishes. the canonical moving element should be tied to clear hinges, pivots, axles, or track hardware. Keep the object serviceable, durable, and easy to parse structurally.",openai,gpt-5.4,high,20,sdk,Bell tower with swinging bell Backfill 1
bell_tower_with_swinging_bell_backfill_2,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A realistic, highly detailed bell tower with swinging bell in a more historic or decorative variant, with a tower body with framed openings, platforms, or brace work, and clear primary framing and secondary support members sized like real fabricated hardware. Add simple ornamental trim, layered openings, cast or timber-like hard-surface members, and restrained weathering cues. the canonical moving element should be tied to clear hinges, pivots, axles, or track hardware. Keep the object recognizable, grounded, and still buildable with rigid solids.",openai,gpt-5.4,high,20,sdk,Bell tower with swinging bell Backfill 2
