row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
branching_tree_with_three_independent_rotary_branches_to20_detail_high_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A rack-style three-branch rotary tree. A grounded upright spine carries three branch modules on separate side saddles, with each branch ending in a different simple hard-face such as a pad, fork, or clamp tab. Each branch is an independent revolute joint about its own supported hub axis.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 1
branching_tree_with_three_independent_rotary_branches_to20_detail_high_02,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A ladder-frame three-branch fixture. A narrow central frame supports three stub arms on distinct cheek blocks, and the branch heights and reach lengths are intentionally uneven so the silhouette stays legible. The three arms rotate as separate revolute joints on independent supports.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 2
branching_tree_with_three_independent_rotary_branches_to20_detail_high_03,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A tower-mounted three-branch rotary stand. A heavy base and short tower carry three radial arms on separate collars, with each arm kept as a single rigid member rather than a coupled sub-linkage. Each arm is a revolute joint about a local supported axis on the tower.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 3
branching_tree_with_three_independent_rotary_branches_to20_detail_high_04,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A service-panel three-branch bracket. A grounded backplate supports three branch pods arranged around a vertical spine, with compact end plates at the branch tips. The branch pods carry three separate revolute joints with no shared drive member between them.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 4
branching_tree_with_three_independent_rotary_branches_to20_detail_high_05,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A hub-and-spoke three-branch motion rig. A vertical mast carries three short spoke arms on discrete hub blocks, and each hub block is visibly larger than the arm it supports. The spoke arms are independent revolute joints about supported hub axes.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 5
branching_tree_with_three_independent_rotary_branches_to20_detail_high_06,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A bridge-backed three-branch tooling tree. A rear frame and forward spine support three offset arms, giving each branch clear clearance from its neighbors and from the fixed support. The three branches articulate through independent revolute joints.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 6
branching_tree_with_three_independent_rotary_branches_to20_detail_high_07,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A compact pedestal three-branch fixture. A squat base carries a central post with three rotary tabs stacked vertically, each ending in a small rectangular output face. Each tab is a separate revolute joint carried by its own post-mounted support.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 7
branching_tree_with_three_independent_rotary_branches_to20_detail_high_08,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"An under-slung three-branch rotary frame. A top bridge supports three hanging branch arms on separate brackets, making the fixed support read differently from the moving arms used in the other variants. The hanging arms are independent revolute joints on their own supports.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 20 Detail 8
branching_tree_with_two_independent_rotary_branches_to20_detail_high_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A rack-style two-branch rotary tree. A grounded upright spine carries two branch modules on separate side saddles, with each branch ending in a different simple hard-face such as a pad, fork, or clamp tab. Each branch is an independent revolute joint about its own supported hub axis.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 20 Detail 1
branching_tree_with_two_independent_rotary_branches_to20_detail_high_02,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A ladder-frame two-branch fixture. A narrow central frame supports two stub arms on distinct cheek blocks, and the branch heights and reach lengths are intentionally uneven so the silhouette stays legible. The two arms rotate as separate revolute joints on independent supports.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 20 Detail 2
