row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
air_purifier_with_filter_door_new_1,air_purifier_with_filter_door,Air purifier with filter door,"A compact desktop air purifier with a cylindrical body, a front-access filter door hinged on two flush knuckle barrels at the door edge, and a top-mounted outlet grille with a recessed control strip. The filter door swings outward to expose a framed filter bay behind a molded lip, and the door carries a knurled pull tab set into the panel edge. The result should feel dense, workshop-credible, and true to real fabricated hardware.",openai,gpt-5.4,high,50,sdk,Air purifier with filter door New 1
air_purifier_with_filter_door_new_2,air_purifier_with_filter_door,Air purifier with filter door,"A wall-mounted medical-grade air purifier with a flat-back rectangular housing, a front-facing filter access panel hinged at the base on a continuous knuckle hinge, and a narrow vented face grille. The filter door folds downward on the base hinge to expose the filter cavity, and visible detent latches at the upper corners hold it shut. The result should feel solid and well-proportioned, with all motion tied to real mechanical supports.",openai,gpt-5.4,high,50,sdk,Air purifier with filter door New 2
air_purifier_with_filter_door_new_3,air_purifier_with_filter_door,Air purifier with filter door,A tall narrow tower-format outdoor-rated air purifier.,openai,gpt-5.4,high,50,sdk,Air purifier with filter door New 3
articulated_task_lamp_new_1,articulated_task_lamp,Articulated task lamp,A classic double-arm architect's desk.,openai,gpt-5.4,high,50,sdk,Articulated task lamp New 1
articulated_task_lamp_new_2,articulated_task_lamp,Articulated task lamp,"A wall-mounted swing-arm task lamp with a single cantilevered arm extending from a wall-plate pivot collar, a folding elbow joint at mid-span with a horizontal pin hinge, and a tiltable shade at the tip in a fork yoke.",openai,gpt-5.4,high,50,sdk,Articulated task lamp New 2
articulated_task_lamp_new_3,articulated_task_lamp,Articulated task lamp,"A floor-standing pole lamp on a broad tripod base with adjustable leg spread, carrying a single-arm extension on a collar clamp that pivots from the pole and terminates in a circular head housing tilting on a yoke hinge at the arm tip. The pole telescopes through a sleeve collar locked by a visible thumbscrew.",openai,gpt-5.4,high,50,sdk,Articulated task lamp New 3
astronomical_telescope_on_tripod_new_1,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A mid-range Newtonian reflector on a compact mount, with three adjustable-length tripod legs splaying from a central head casting, a fork-yoke carrying the telescope tube, and a focuser knob projecting from the tube side wall. ",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod New 1
astronomical_telescope_on_tripod_new_2,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A short-tube telescope on a German equatorial mount. The tube is a smooth cylinder with a dew shield ring at the objective end and a visual focuser barrel at the eyepiece end, and clutch lock stubs are implied by cylindrical bosses on the axis housings. ",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod New 2
astronomical_telescope_on_tripod_new_3,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A wide short-tube Dobsonian reflector in a rocker-box mount, with a rectangular base box carrying two curved side boards as the altitude trunnion bearing seats, and a tube cradle that rocks forward and back in the trunnion boards while the base rotates on a flat azimuth bearing pad. ",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod New 3
barrier_gate_new_1,barrier_gate,Barrier gate,"A parking lot automatic gate with a steel post housing carrying a horizontal counterbalanced boom arm pivoting from a hinge block at the post top. The arm is a rectangular tube with a reflective skirt strip and a rubber tip cap, connected to the post head by a pivot lug with a visible pin and lock nut, and a counterweight block attached to the short tail behind the pivot.",openai,gpt-5.4,high,50,sdk,Barrier gate New 1
barrier_gate_new_2,barrier_gate,Barrier gate,"A railway-crossing gate with a tall post on a concrete footing, a cast-iron hinge bracket near the post top carrying a long tapered striped boom arm on a pivot pin, and a short heavy counterweight tail on the opposite side. ",openai,gpt-5.4,high,50,sdk,Barrier gate New 2
barrier_gate_new_3,barrier_gate,Barrier gate,"A pedestrian swing gate with a single steel post set in a base flange, a flat rectangular gate leaf extending from a welded barrel hinge at the post side, and a vertical latch plate at the free leaf edge engaging a spring-loaded catch on a fixed stop post. The hinge barrel is clearly separated from the panel body with visible pin ends on both sides, and a horizontal push rail spans the leaf face.",openai,gpt-5.4,high,50,sdk,Barrier gate New 3
bell_tower_with_swinging_bell_new_1,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A tall rectangular stone-finish campanile with an arched belfry opening at the top, a shaped yoke seated in side-wall brackets carrying the bell on a horizontal through-bolt pivot pin, and a rope guide channel running down the tower face.",openai,gpt-5.4,high,50,sdk,Bell tower with swinging bell New 1
bell_tower_with_swinging_bell_new_2,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A four-post welded-steel frame tower on a square baseplate, with X-bracing between the uprights and a horizontal box-section crossbeam at the top carrying the bell pivot. The bell is a classic profile hung from a cast yoke on a through-bolt pivot at the beam ends, and the tower posts are round-tube sections with visible gusset plates at base and top.",openai,gpt-5.4,high,50,sdk,Bell tower with swinging bell New 2
bell_tower_with_swinging_bell_new_3,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A small octagonal rooftop cupola sitting on a flat roof plate, with louvered side panels in alternate faces and a cast yoke inside the cupola seating the bell on a horizontal pivot shaft running between two bracket ears on the interior frame ring. The clapper hangs from a rod inside the bell body, and the cupola housing has a center roof finial.",openai,gpt-5.4,high,50,sdk,Bell tower with swinging bell New 3
bench_vise_with_prismatic_jaw_new_1,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A traditional woodworking leg vise with a wide flat screw-threaded face jaw pivoting outward from a guide pin at the bottom, an iron parallel guide rod running through the jaw and a fixed block below the bench edge, and a large-diameter threaded screw with a turned wooden handle driving the jaw. The jaw slides on the parallel rod while the screw drives it open and closed, and the bench apron has a captured nut housing for the screw.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw New 1
bench_vise_with_prismatic_jaw_new_2,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A pipe-fitting mechanics vise with a heavy floor-mount yoke body, a fixed lower jaw with serrated cast-iron inserts, a sliding upper jaw driven by a buttress-threaded screw through a boss in the upper frame, and a cross-bar handle at the screw end. The sliding jaw travels on a rectangular-section guide integral to the base casting, and the jaw faces carry visible serrated inserts.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw New 2
bench_vise_with_prismatic_jaw_new_3,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A drill-press cross-slide vise with a base casting, an X-direction sliding stage riding on a dovetail rail cast into the base, and a Y-direction jaw on top with its own flat rail, each stage driven by a small threaded handwheel at one end. The jaw faces carry flat serrated gripping surfaces, and the dovetail geometry is visible on the base casting edge. Keep the base, X stage, Y jaw, and two handwheels as separate rigid parts with the rail geometry clear to view.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw New 3
bicycle_crankset_and_pedal_assembly_new_1,bicycle_crankset_and_pedal_assembly,Bicycle crankset and pedal assembly,"A BMX-style three-piece crankset with flat-arm cranks with drilled lightening holes on a square-taper spindle, a single large-toothed chainring bolted to the right crank face, and platform pedals with an alloy body and replaceable pin studs. Each pedal spins on a threaded spindle, and the cranks are fixed to the spindle ends with pinch bolts. The assembled object should look serviceable, durable, and ready for real use.",openai,gpt-5.4,high,50,sdk,Bicycle crankset and pedal assembly New 1
bicycle_crankset_and_pedal_assembly_new_2,bicycle_crankset_and_pedal_assembly,Bicycle crankset and pedal assembly,"A road-bike triple crankset with a forged-alloy spider crank carrying three concentric chainrings at different diameters on a hollowtech outboard-bearing spindle, a left crank arm clamping onto the spindle end with a pre-load cap, and lightweight clipless pedals with a cleat platform recess on the top face.",openai,gpt-5.4,high,50,sdk,Bicycle crankset and pedal assembly New 2
