row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
row_0001,air_purifier_with_filter_door,Air purifier with filter door,"A portable bedside air purifier with a compact cube-form housing, a front face grille panel, and a bottom-mounted filter tray that slides out on a prismatic joint at the housing base.",openai,gpt-5.4,high,50,sdk,Air purifier with filter door — portable bedside cube bottom filter tray prismatic
row_0002,air_purifier_with_filter_door,Air purifier with filter door,"An industrial floor-standing air scrubber with a tall rectangular cabinet on caster wheels, a large hinged front access door on two revolute hinge knuckles at the left edge, and a secondary hinged exhaust baffle at the cabinet top on a revolute hinge at the rear edge.",openai,gpt-5.4,high,50,sdk,Air purifier with filter door — industrial floor scrubber caster cabinet front door rear baffle
row_0003,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A Maksutov-Cassegrain telescope on a computerized equatorial fork mount. A compact stubby tube sits in a C-shaped fork that pivots on a polar hour-angle revolute axis; the fork tilts on a declination revolute axis in the mount head. The mount head sits on a three-leg non-folding steel tripod.",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — Maksutov-Cassegrain computerized equatorial C-fork
row_0004,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A wide-field short refractor on a manual alt-azimuth single-arm mount. A short fat tube rides on a horizontal altitude revolute axis on a single side arm; the side arm rotates for azimuth on a vertical revolute joint on a flat-top column. The column threads into a three-leg spreader-bar aluminium tripod.",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — wide-field short refractor manual alt-az single-arm column
row_0005,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"An astrograph imaging refractor on a belt-driven equatorial wedge mount. The tube clips onto a dovetail saddle plate locked by a knob on a revolute joint; the wedge head tilts on a latitude-adjust revolute joint and the RA axis rotates on a continuous revolute joint. Three adjustable tripod legs each extend on a prismatic joint.",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — astrograph belt-driven equatorial wedge saddle dovetail prismatic legs
row_0006,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A woodworking face vise with a wide flat hardwood jaw face on a wooden frame, a moving front jaw sliding on two parallel square guide bars on a prismatic joint, and a central acme-thread leadscrew with a turned wooden handwheel.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw — woodworking face vise hardwood jaw twin guide bars leadscrew handwheel
row_0007,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A welding positioner vise with a flat rectangular base plate, a fixed rear jaw block, a moving front jaw on dovetail prismatic guide ways driven by a central leadscrew with a bar handle, and a swivel turntable base on a continuous revolute joint at the base plate.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw — welding positioner vise swivel turntable base dovetail prismatic leadscrew
row_0008,bicycle_fork_and_handlebar_assembly,Bicycle fork and handlebar assembly,"A gravel bike carbon fork with a tapered bladed-section crown, two straight carbon blades, and a tapered threadless steerer clamped in a four-bolt ahead stem. Flared gravel handlebars clamp in the stem at a center pinch collar on the stem clamp face, enabling natural steering motion.",openai,gpt-5.4,high,50,sdk,Bicycle fork and handlebar assembly — gravel carbon fork tapered steerer ahead stem flared bars
row_0009,bicycle_fork_and_handlebar_assembly,Bicycle fork and handlebar assembly,"A road track bike fork with a slim oval-section steel crown, two straight tensioned blades, and a threaded steerer clamped in a quill stem with a center expander bolt. Dropped pursuit handlebars clamp at the stem extension tip on a pinch-bolt collar. Articulate the steering motion in a realistic way.",openai,gpt-5.4,high,50,sdk,Bicycle fork and handlebar assembly — road track fork steel crown threaded quill stem pursuit bars
row_0010,binoculars,Binoculars,"A compact 8x21 theatre binocular with two slim objective barrel housings joined on a central revolute hinge, a center focus knob on a revolute joint at the bridge, and twist-up eyecup sleeves on each eyepiece on revolute joints.",openai,gpt-5.4,high,50,sdk,Binoculars — compact 8x21 theatre slim barrels central hinge twist-up eyecups
row_0011,binoculars,Binoculars,"An image-stabilized 10x30 binocular with a wide ergonomic rubber-armored housing, two barrels on a central revolute hinge, a center focus knob on a revolute joint at the bridge, and a stabilizer activation lever on a revolute hinge at the right barrel body.",openai,gpt-5.4,high,50,sdk,Binoculars — image-stabilized 10x30 rubber-armored housing stabilizer lever revolute
row_0012,blender,Blender,"A personal single-serve blender with a compact motor base and a cylindrical blending cup that threads onto the base drive coupling, a crossed blade assembly on a revolute joint at the cup mouth, and a flip-spout lid on a revolute hinge at the cup rim.",openai,gpt-5.4,high,50,sdk,Blender — personal single-serve compact base threaded cup flip-spout lid revolute
row_0013,blender,Blender,"A high-performance vacuum blender with a wide rectangular motor base, a wide-mouth cylindrical jar that clamps into a bayonet collar at the base, a six-blade cross assembly on a revolute joint at the jar bottom, and a vacuum-seal lid with a hinged valve flap on a revolute hinge at the lid center.",openai,gpt-5.4,high,50,sdk,Blender — high-performance vacuum wide base bayonet jar six-blade hinged valve lid
row_0014,blender,Blender,"A tilt-head stand mixer with a blender bowl attachment: a wide pedestal base, a motor head on a revolute tilt hinge at the pedestal neck, a tall blending jar that clips onto the head hub, and a four-blade assembly on a revolute joint at the jar bottom.",openai,gpt-5.4,high,50,sdk,Blender — tilt-head stand mixer blender attachment pedestal tilt-neck jar four-blade revolute
row_0015,box_fan_with_control_knob,Box fan with control knob,"A clip-on desk fan with a small square housing gripped by a C-clamp bracket on a revolute swivel joint, a three-blade propeller behind a wire grille on a central revolute axle, and a rotary speed selector knob on the rear housing face on a revolute joint.",openai,gpt-5.4,high,50,sdk,Box fan with control knob — clip-on desk fan C-clamp swivel bracket three-blade knob
row_0016,camera_lens,Camera Lens,"A tilt-shift architecture lens with a compact outer barrel, a shift housing that slides laterally on a prismatic joint perpendicular to the optical axis for perspective correction, and a tilt stage that pivots the front element group on a horizontal revolute joint, with a bayonet rear mount plate.",openai,gpt-5.4,high,50,sdk,Camera lens — tilt-shift architecture lens shift prismatic stage tilt revolute bayonet mount
row_0017,cannon,Cannon,"A Swedish Regimental three-pounder field gun with a slim cast-iron barrel on trunnion revolute joints in a two-wheel wooden trail carriage, two large spoked wheels on revolute axles at the carriage cheeks, and a single wooden trail handle at the carriage rear.",openai,gpt-5.4,high,50,sdk,Cannon — Swedish Regimental three-pounder slim barrel trunnion revolute two-wheel trail carriage
row_0018,car_axles,Car Axles,"A swing axle rear suspension with a differential housing bolted to a center beam, two outer half-axle tubes pivoting on horizontal revolute joints at the differential housing end faces, and wheel hubs spinning on revolute joints at the outer tube ends.",openai,gpt-5.4,high,50,sdk,Car axles — swing axle rear differential housing horizontal revolute pivot half-axle tubes wheel hubs
row_0019,car_axles,Car Axles,"A tandem bogie rear axle pair with two parallel round-tube axle beams connected by a center balance beam, four wheel hubs spinning on revolute joints at the beam ends, and the center balance beam pivoting on a central revolute joint on a frame cross member.",openai,gpt-5.4,high,50,sdk,Car axles — tandem bogie rear pair parallel tube beams center balance beam revolute pivot wheel hubs
row_0020,car_sunroof_cassette,Car sunroof cassette,"A pop-up ventilation sunroof cassette with a rectangular aluminium frame and a glass panel that tilts upward at the rear edge on a horizontal revolute hinge at the front frame rail, with two side guide shoe blocks riding in channel tracks at the panel sides.",openai,gpt-5.4,high,50,sdk,Car sunroof cassette — pop-up ventilation glass panel rear tilt revolute front rail guide shoes channel
