row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
barrier_gate_new_01,barrier_gate,Barrier gate,A sliding-arm parking barrier with a horizontal arm that extends from a drive cabinet. A rectangular drive cabinet on a pad carries the arm internally; the arm extends prismatically from the cabinet face along the lane axis. A hinged warning flap at the arm tip pivots on a revolute joint to hang vertically when the arm is deployed.,openai,gpt-5.4,high,35,2.0,sdk,Sliding boom arm from cabinet — arm prismatic flap revolute
barrier_gate_new_02,barrier_gate,Barrier gate,An anti-ram rising wedge vehicle barrier. A flush rectangular steel wedge plate sits in a road-level channel frame; the plate lifts on a prismatic joint along the vertical axis to rise above the road surface and block vehicle passage.,openai,gpt-5.4,high,35,2.0,sdk,Rising wedge anti-ram plate — plate prismatic vertical
barrier_gate_new_03,barrier_gate,Barrier gate,A vehicle barrier arm with a fold-flat emergency breakout section. A round post carries the main boom on a revolute joint at the post head about a horizontal axis; the outer half of the arm is a breakout section that pivots flat against the inner arm on a revolute joint at the mid-arm knuckle for emergency through-access.,openai,gpt-5.4,high,35,2.0,sdk,Swing arm with breakout section — main boom revolute breakout revolute
barrier_gate_new_04,barrier_gate,Barrier gate,"A double bi-fold driveway gate that opens from the center to both sides. On each side, an outer leaf is hinged to a gate post on a revolute joint; an inner leaf folds back against the outer leaf on a revolute joint at the inter-leaf knuckle. The two inner leaves meet at the center when closed.",openai,gpt-5.4,high,35,2.0,sdk,Double bi-fold gate 4 leaves — outer post revolute inner knuckle revolute
barrier_gate_new_05,barrier_gate,Barrier gate,A fold-flat removable street bollard. A round steel post is pinned at a base flange set in a road-level receiver socket; the post pivots flat on a revolute joint at the base pin to allow vehicle passage when folded. A locking lever at the base pin latches the post upright on a short revolute.,openai,gpt-5.4,high,35,2.0,sdk,Fold-flat removable bollard — post revolute locking lever revolute
bell_tower_new_01,bell_tower_with_swinging_bell,Bell tower with swinging bell,A traditional English change-ringing installation with a cast bell fixed to a cast-iron wheel inside a timber headstock frame. The bell and wheel form a single rigid assembly carried on two end-bearing housings bolted to the headstock beams; the assembly rotates on a continuous joint about the horizontal headstock axis so the bell can pass over the balance point.,openai,gpt-5.4,high,35,2.0,sdk,English change-ringing bell on full wheel — bell+wheel continuous
bell_tower_new_02,bell_tower_with_swinging_bell,Bell tower with swinging bell,A Japanese bonshō temple bell suspended from a heavy timber post-and-beam hanging frame. A large straight-sided bronze bell hangs from the crossbeam on a revolute joint at its crown pin; a cylindrical log striker hangs from a pivot arm on the frame post and swings on a revolute joint at the pivot pin to strike the bell.,openai,gpt-5.4,high,35,2.0,sdk,Japanese bonshō bell with log striker — bell revolute striker revolute
bell_tower_new_03,bell_tower_with_swinging_bell,Bell tower with swinging bell,A two-bell open belfry with a ridge beam and two bells of different sizes hung side by side. A rectangular timber frame carries two headstock beams near the apex; each bell hangs on its own revolute joint at its headstock pin about its own horizontal axis and swings independently.,openai,gpt-5.4,high,35,2.0,sdk,Two-bell belfry — each bell independent revolute
bell_tower_new_04,bell_tower_with_swinging_bell,Bell tower with swinging bell,A fixed-mount church bell installation where the bell body is bolted rigid and only the clapper moves. A steel yoke bolts the bell crown rigidly to the belfry frame. The clapper inside the bell pivots on a revolute joint at the clapper crown pin about a horizontal axis.,openai,gpt-5.4,high,35,2.0,sdk,Fixed bell swinging clapper only — clapper revolute
bell_tower_new_05,bell_tower_with_swinging_bell,Bell tower with swinging bell,A bell tower with a swinging bell and a separate rope-guide pulley wheel at base level. A square masonry tower carries the bell on a revolute headstock pivot in the belfry stage; a rope-guide pulley wheel at the base is mounted on a continuous joint about its axle pin. The two joints are independent.,openai,gpt-5.4,high,35,2.0,sdk,Bell tower with rope pulley — bell revolute pulley continuous independent
