row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
single_revolute_hinge_001,single_revolute_hinge,Single revolute hinge,"Create a realistic plain two-leaf hinge. Geometry/details required: two flat rectangular leaves, a single central pin barrel, alternating hinge knuckles, screw bosses, bevels, and a visible pin cap. Articulation required: one revolute joint around the pin axis; one leaf fixed, one leaf swings 0 to 135 degrees. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,plain two-leaf hinge
single_revolute_hinge_002,single_revolute_hinge,Single revolute hinge,"Create a realistic small box lid hinge. Geometry/details required: two small brass-colored leaves, narrow barrel loops, tiny screw heads, rounded corners, and a slight seam between leaves. Articulation required: one revolute lid-style hinge with a modest 0 to 105 degree range. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,small box lid hinge
single_revolute_hinge_003,single_revolute_hinge,Single revolute hinge,"Create a realistic gate strap hinge sample. Geometry/details required: a wall-side plate, a long moving strap plate, vertical pin, washers, bolt heads, and simple gussets. Articulation required: one vertical revolute joint with the moving strap physically captured on the pin. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,gate strap hinge sample
single_revolute_hinge_004,single_revolute_hinge,Single revolute hinge,"Create a realistic cabinet door hinge block. Geometry/details required: fixed cabinet block, moving door block, hinge leaves recessed into both blocks, barrel cylinder, and screw heads. Articulation required: one vertical revolute joint; door block swings away from cabinet block. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,cabinet door hinge block
single_revolute_hinge_005,single_revolute_hinge,Single revolute hinge,"Create a realistic teaching hinge cutaway. Geometry/details required: color-coded fixed leaf, moving leaf, hinge pin, washers, screw bosses, and simple axis marker geometry. Articulation required: one revolute joint with exact tests for hinge support, closed pose, and open pose. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,teaching hinge cutaway
single_prismatic_slider_001,single_prismatic_slider,Single prismatic slider,"Create a realistic simple rail slider. Geometry/details required: fixed rectangular rail, sliding carriage block, side guide lips, end stops, and a small handle tab. Articulation required: one prismatic joint along the rail; carriage remains captured between guide lips. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,simple rail slider
single_prismatic_slider_002,single_prismatic_slider,Single prismatic slider,"Create a realistic vertical lift slider. Geometry/details required: upright guide frame, sliding center block, two guide rods, top and bottom stops, and colored travel mark. Articulation required: one vertical prismatic joint with limited up/down travel. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,vertical lift slider
single_prismatic_slider_003,single_prismatic_slider,Single prismatic slider,"Create a realistic sliding latch bolt. Geometry/details required: fixed latch housing, rectangular sliding bolt, guide slots, raised knob, strike-side receiver, and metal finish. Articulation required: one horizontal prismatic joint moving the bolt in and out. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,sliding latch bolt
single_prismatic_slider_004,single_prismatic_slider,Single prismatic slider,"Create a realistic control fader module. Geometry/details required: flat panel, long straight slot, sliding fader cap, tick marks as raised geometry, and end stops. Articulation required: one prismatic joint along the slot with short realistic travel. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,control fader module
single_prismatic_slider_005,single_prismatic_slider,Single prismatic slider,"Create a realistic drawer-slide teaching model. Geometry/details required: fixed outer sleeve, moving inner bar, visible channel rails, end caps, and pull tab. Articulation required: one prismatic joint; inner bar stays partly inserted at all poses. Keep the design intentionally simple and robust: one primary moving joint, a clearly fixed base or frame, and every moving link visibly supported. Use believable proportions, clear colors/materials, chamfered or rounded edges, and exact prompt-specific tests for the mechanism, support/contact, closed pose, open/extended pose, and the most important visible details. Keep the URDF open-tree; if small seated or nested overlaps are visually valid, use scoped overlap allowances with exact proof checks rather than distorting the geometry.",openrouter,tencent/hy3-preview:free,high,200,,sdk,drawer-slide teaching model
