row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,label
g55c_0001_single_prismatic_slider_7753c9b3,single_prismatic_slider,Single prismatic slider,A low-profile shuttle axis. A broad base plate supports a shallow rail set and a boxy moving shuttle with visible bearing length and stop hardware at both ends. The shuttle is one prismatic joint along the rail centerline.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0002_single_continuous_rotary_shaft_8cc75cef,single_continuous_rotary_shaft,Single continuous rotary shaft,"A dual-pedestal spindle module. A heavy foot supports two pedestals that carry one thick shaft, with the shaft projecting past one support to a plain faceplate. One continuous revolute joint spins the shaft about the axis set by the pedestals.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0003_single_yaw_axis_module_4e86e807,single_yaw_axis_module,Single yaw axis module,"A low-profile a vertical-axis rotary module with a broad mounting plate. The fixed portion is a squat housing with gusseted supports, and the moving portion is a smaller flange or cradle that reads as a single clean link. One revolute joint turns the head about the vertical column axis.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0004_sewing_box_with_simple_hinged_lid_138edf46,sewing_box_with_simple_hinged_lid,Sewing box with simple hinged lid,A small sewing box with a plain top lid. A rectangular box body supports one lid panel along the rear edge. Joints: the lid is a single revolute panel about a horizontal rear hinge axis. Break the body into a main shell plus a separate hinge-side reinforcement band.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0005_drawer_cabinet_with_sliding_drawers_31735724,drawer_cabinet_with_sliding_drawers,Drawer cabinet with sliding drawers,An industrial twenty-four-bin parts sorter cabinet with a narrow-tall rectangular steel body and twenty-four removable drawers in six rows of four. Each drawer pulls out prismatically on steel slides. The cabinet body mounts on two fixed floor feet.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0006_articulated_task_lamp_d7c4f13a,articulated_task_lamp,Articulated task lamp,"A floor-standing pole lamp on a broad tripod base with adjustable leg spread, carrying a single-arm extension on a collar clamp that pivots from the pole and terminates in a circular head housing tilting on a yoke hinge at the arm tip. The pole telescopes through a sleeve collar locked by a visible thumbscrew.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0007_sliding_window_23f00f53,sliding_window,Sliding window,A single-sash sliding window. A rectangular outer frame contains one fixed frame segment and one sliding sash. Joints: the sash translates prismatically along horizontal guide channels. Use one dominant fixed guide and a smaller moving carriage.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0008_single_roll_axis_module_711ad610,single_roll_axis_module,Single roll axis module,A tower-mounted roll-axis spindle module. A short pedestal rises from a heavy foot and ends in a compact axis package whose moving member is visually smaller than the support. One revolute joint spins the output flange about its own longitudinal shaft axis between fixed supports.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0009_single_revolute_hinge_7b83ec7c,single_revolute_hinge,Single revolute hinge,A barrel-and-leaf hinge. A grounded leaf and a moving leaf are joined by alternating hinge knuckles around a central pin. One revolute joint rotates the moving leaf about the hinge pin axis.,openai,gpt-5.5-2026-04-23,high,100,,
g55c_0010_swivel_bar_stool_a9b9de4c,swivel_bar_stool,Swivel bar stool,"A swivel stool with a trumpet base, a circular seat, a short backrest, and a damped height-adjustment lever under one side. The seat rotates continuously about the vertical pedestal axis, the lift column slides prismatically for height adjustment, the lever rotates on a short pivot, and the short backrest tilts on a small rear hinge. Bar seating scale.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0011_dualcolumn_lift_carriage_205828df,dualcolumn_lift_carriage,Dual-column lift carriage,"An open industrial lift carriage. Twin uprights, a top tie, and a front tooling plate define the shape, with the moving plate visibly guided at four points. One prismatic joint moves the front carriage along the grounded uprights.",openai,gpt-5.5-2026-04-23,high,100,,
g55c_0012_orthogonal_xy_stage_2ddeb12b,orthogonal_xy_stage,Orthogonal XY stage,"A service fixture built as an XY stage. A fixed base rail set supports a long moving carriage, and that carriage carries a compact orthogonal slide with a top pad. Two orthogonal prismatic joints provide the X and Y motions.",openai,gpt-5.5-2026-04-23,high,100,,
