row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label,design_audit
stapler_001,desktop_stapler_with_hinged_top_arm,Desktop stapler with hinged top arm,"A full-strip desktop stapler with a steel base, a long hinged top arm, an internal staple magazine, and a rear spring follower tab. The upper arm and magazine body are carried as one supported assembly from a rear horizontal revolute hinge above the base, the follower tab slides prismatically along the magazine channel, and the small clincher plate under the nose rotates on its own central pivot to switch between stapling modes. Keep the tool compact and believable for everyday office use at desk scale.",openai,gpt-5.4,high,150,,strict,Full strip stapler with follower and clincher,false
stapler_002,desktop_stapler_with_hinged_top_arm,Desktop stapler with hinged top arm,"A compact half-strip stapler with a molded base, a rounded top handle, a short staple track, and a sliding paper stop on the deck ahead of the throat. The top handle rotates on a rear horizontal revolute hinge, the staple follower moves prismatically inside the upper track, and the paper stop slides prismatically along the base to set insertion depth. Small office-tool scale.",openai,gpt-5.4,high,145,,strict,Compact stapler with paper stop,false
stapler_003,desktop_stapler_with_hinged_top_arm,Desktop stapler with hinged top arm,"A heavy-duty long-reach desktop stapler with an elongated base, a tall rear hinge tower, a long upper lever, and a front nose over a deep throat. The lever and staple rail rotate together on a rear horizontal revolute hinge, the rear loading follower slides prismatically along the rail, and the reversible anvil plate beneath the nose rotates on a small pivot in the base. The long throat and supported hinge structure should read as a real office machine rather than a toy.",openai,gpt-5.4,high,155,,strict,Long reach stapler with reversible anvil,false
stapler_004,desktop_stapler_with_hinged_top_arm,Desktop stapler with hinged top arm,"A metal desktop stapler with a low rectangular base, a flat top arm, a slide-out front-loading staple tray, and a rear release latch. The top arm rotates on a rear hinge above the base, the staple tray slides prismatically out from the front of the upper body on its guide rails, and the rear release latch moves prismatically into the housing to free the tray. Compact desk scale.",openai,gpt-5.4,high,150,,strict,Front loading stapler with release latch,false
stapler_005,desktop_stapler_with_hinged_top_arm,Desktop stapler with hinged top arm,"A premium desktop stapler with a die-cast base, a broad upper arm, a rear magazine follower, and a rotating front anvil for open and closed clinch. The upper arm pivots on a horizontal rear hinge, the follower block translates prismatically inside the staple channel, and the front anvil turns on a small vertical pivot under the stapling nose. Keep the silhouette dense and practical with clear mechanical support between base, hinge, and arm.",openai,gpt-5.4,high,150,,strict,Die cast stapler with rotating anvil,false
multimeter_001,digital_multimeter_with_tilt_stand_and_rotary_selector,Digital multimeter with tilt stand and rotary selector,"A handheld digital multimeter with a rubberized outer bumper, a large central rotary selector, a folding rear tilt stand, and four rectangular function buttons under the display. The selector dial rotates continuously about its center axis, the rear stand rotates outward on a lower horizontal revolute hinge, and each visible front-panel button is a separate small prismatic push button. Handheld electrician-tool scale.",openai,gpt-5.4,high,165,,strict,Handheld multimeter with four buttons,false
multimeter_002,digital_multimeter_with_tilt_stand_and_rotary_selector,Digital multimeter with tilt stand and rotary selector,"A rugged autoranging digital multimeter with a boxy main body, a broad LCD bezel, a central range dial, and a rear kickstand with a shallow angle stop. The range dial rotates continuously on the front face, the kickstand hinges from the lower back of the case, and the hold, min-max, and backlight buttons each move independently as prismatic push controls below the screen. Keep the body compact enough for one-hand use.",openai,gpt-5.4,high,165,,strict,Rugged multimeter with rear kickstand,false
multimeter_003,digital_multimeter_with_tilt_stand_and_rotary_selector,Digital multimeter with tilt stand and rotary selector,"A compact service digital multimeter with a tall narrow body, a large rotary selector below the display, a short flip-out stand on the back, and a row of three mode buttons above the input jacks. The selector rotates continuously, the rear stand swings on a horizontal hinge at the bottom of the housing, and all three mode buttons articulate independently as small prismatic push buttons. Small field-tool scale.",openai,gpt-5.4,high,160,,strict,Service multimeter with mode buttons,false
multimeter_004,digital_multimeter_with_tilt_stand_and_rotary_selector,Digital multimeter with tilt stand and rotary selector,"A professional digital multimeter with a thick protective shell, a deeply knurled selector knob, a folding tilt stand that spans much of the rear panel, and five visible soft keys across the front. The selector knob rotates continuously about its own axis, the long rear stand rotates on two matched lower pivots as one rigid support, and each soft key is an independent small prismatic push control. Handheld bench-service scale.",openai,gpt-5.4,high,170,,strict,Pro multimeter with long rear stand,false
multimeter_005,digital_multimeter_with_tilt_stand_and_rotary_selector,Digital multimeter with tilt stand and rotary selector,"A compact electronics multimeter with a rounded case, a central function dial, a rear stand, and a front control cluster made of two round buttons and two square buttons. The dial rotates continuously on the front panel, the stand rotates outward on a lower rear hinge, and each visible control button moves independently along its local prismatic press axis. Small desktop instrument scale.",openai,gpt-5.4,high,160,,strict,Compact electronics multimeter,false
