row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
"midi_001","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create 25-key portable controller with a compact two-octave keybed, two pitch/mod wheels on the left cheek, four velocity pads, and four small rotary encoders along the top edge. Use an open-tree URDF-safe articulation: piano keys depress independently as short prismatic plungers, the pitch wheel rotates on its transverse axle, the mod wheel rotates on its own parallel axle, the pads press vertically, and the encoders rotate continuously. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","25-key portable controller","false"
"midi_002","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create 49-key studio controller with a four-octave piano-style keybed, nine faders, eight rotary knobs, transport buttons, and a small angled display. Use an open-tree URDF-safe articulation: keys and transport buttons move as prismatic controls, each fader slides in a straight slot, knobs rotate continuously, and the pitch/mod wheels rotate on supported axles. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","49-key studio controller","false"
"midi_003","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create 61-key performance controller with a broad semi-weighted keybed, left-side wheels, a row of drum pads, and a bank of drawbar-like sliders. Use an open-tree URDF-safe articulation: the keys press independently, pads depress vertically, sliders translate in their tracks, and both wheels rotate without any coupled mechanism. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","61-key performance controller","false"
"midi_004","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create mini controller with arpeggiator controls with a shallow case, small keys, two touch-strip style sliders modeled as physical sliding tabs, eight pads, and three mode buttons. Use an open-tree URDF-safe articulation: keys, pads, and buttons use prismatic press joints while the two strip tabs slide along straight grooves. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","mini controller with arpeggiator controls","false"
"midi_005","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create pad-heavy beatmaking keyboard with a short keybed, sixteen square drum pads, four endless encoders, and a single pitch wheel at the left. Use an open-tree URDF-safe articulation: keys and pads depress independently, encoders rotate continuously, and the pitch wheel rotates on a simple axle. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","pad-heavy beatmaking keyboard","false"
"midi_006","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create weighted 88-key stage controller with a long stage-piano body, full-length keybed, two wheels, assignable knobs, and four long faders. Use an open-tree URDF-safe articulation: all visible keys press vertically, faders slide linearly, knobs rotate, and wheels rotate on fixed transverse shafts. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","weighted 88-key stage controller","false"
"midi_007","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create desktop synth-style controller with a compact keybed, a sloped control panel with filter knobs, a small joystick, and octave buttons. Use an open-tree URDF-safe articulation: keys and buttons depress, knobs rotate continuously, and the joystick is represented as pitch and roll revolute axes in a supported gimbal. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","desktop synth-style controller","false"
"midi_008","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create foldable travel MIDI keyboard with two hinged case halves forming one keybed, small keys, a latch tab, and compact pitch/mod wheels. Use an open-tree URDF-safe articulation: the right half folds on a single side hinge, keys depress independently, latch tab slides, and wheels rotate on their axles. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","foldable travel MIDI keyboard","false"
"midi_009","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create control-surface keyboard with a three-octave keybed, motorless fader bank, rotary encoders with indicator marks, and a tilting display panel. Use an open-tree URDF-safe articulation: keys depress vertically, faders slide, encoders rotate continuously, and the display tilts on a rear hinge. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","control-surface keyboard","false"
"midi_010","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create drum-pad controller keyboard with a two-octave keybed below a large 4x4 pad grid, two knobs, two faders, and side wheels. Use an open-tree URDF-safe articulation: keys and pads are prismatic, faders translate in straight slots, knobs and wheels rotate on their own supported axes. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","drum-pad controller keyboard","false"
"midi_011","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create organ-drawbar MIDI keyboard with a waterfall-style keybed, nine drawbar sliders, percussion buttons, and a rotary expression knob. Use an open-tree URDF-safe articulation: keys press downward, drawbars slide along shallow channels, buttons press, and the expression knob rotates continuously. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","organ-drawbar MIDI keyboard","false"
"midi_012","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create DJ-friendly controller keyboard with a small keybed, two jog-style encoder wheels, four pads, and a crossfader slot. Use an open-tree URDF-safe articulation: keys and pads depress, the crossfader slides left-right, and both jog encoders rotate continuously. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","DJ-friendly controller keyboard","false"
"midi_013","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create modular-rig controller with a narrow keybed, patch-label panel, eight knobs, two vertical faders, and wheel pair on the left. Use an open-tree URDF-safe articulation: keys move prismatically, faders translate vertically, knobs and wheels rotate independently. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","modular-rig controller","false"
"midi_014","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create composer desk controller with a low-profile 49-key layout, transport button row, two sliders, and a hinged tablet rest at the rear. Use an open-tree URDF-safe articulation: keys/buttons press, sliders translate, and the tablet rest rotates on a long rear hinge. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","composer desk controller","false"
"midi_015","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create live-looping keyboard controller with a compact body with keybed, loop pads, start-stop buttons, and three scene sliders. Use an open-tree URDF-safe articulation: keys/pads/buttons depress independently, scene sliders translate, and a master encoder rotates continuously. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","live-looping keyboard controller","false"
"midi_016","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create MPE-style controller keyboard with a shallow keybed with individual raised key surfaces, pitch/mod wheels, and pressure pads. Use an open-tree URDF-safe articulation: keys and pressure pads press as short prismatic sliders while pitch/mod wheels rotate on parallel axles. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","MPE-style controller keyboard","false"
"midi_017","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create rack-width MIDI keyboard with a compact rectangular case sized for a studio shelf, short keybed, eight knobs, and side-mounted pitch wheel. Use an open-tree URDF-safe articulation: keys depress, knobs rotate continuously, and the side wheel rotates on a supported axle. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","rack-width MIDI keyboard","false"
"midi_018","midi_keyboard_controller_with_pitch_wheel_and_sliders","MIDI keyboard controller with pitch wheel and sliders","Create controller with ribbon slider with a three-octave keybed, a long front ribbon represented as a sliding tab, pitch/mod wheels, and octave buttons. Use an open-tree URDF-safe articulation: the ribbon tab slides horizontally, keys/buttons depress, and wheels rotate independently. Keep all links visibly supported by parents, avoid closed loops and cable constraints, and make decorative springs, belts, strings, labels, or fabric fixed visual geometry only. Build the geometry with the base SDK/CadQuery style at believable real-world scale.","openai","gpt-5.5-2026-04-23","high","1000","","sdk","controller with ribbon slider","false"
