row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
stove_top_b2_01,stove_top,Stove top,"A flat four-burner gas cooktop set into a thin countertop cutout with no stove body below it. The cooktop slab is shallow and nearly flush with the counter, and four round rotary knobs run in a straight row along the front edge. Only the four knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Cooktop Four Front Knobs
stove_top_b2_02,stove_top,Stove top,"A flat induction cooktop with four circular zones mounted flush into a kitchen island top with no appliance base underneath. A compact control pod at the right front corner carries four small square push-buttons in a 2 by 2 grid. Only the four buttons articulate, and each is a short prismatic plunger normal to the panel.",openai,gpt-5.4,high,50,sdk,Cooktop Right Corner Buttons
stove_top_b2_03,stove_top,Stove top,"A five-zone glass cooktop installed in a thin counter slab above open knee space rather than a full base body. Two large rotary knobs sit at the left and right ends of the front lip with three small push-buttons centered between them. Only those controls articulate, with the knobs rotating continuously and the buttons moving inward on short prismatic joints.",openai,gpt-5.4,high,50,sdk,Cooktop Two Knobs Three Buttons
stove_top_b2_04,stove_top,Stove top,"A flat stainless gas cooktop with four burners mounted into a countertop over a simple two-door base cabinet. The top remains shallow with no stove chassis below, while four rotary knobs form a gentle arc along the front edge and the cabinet has two side-hinged doors below. The four knobs rotate continuously about front-to-back revolute axes, and the two cabinet doors swing on vertical revolute hinges.",openai,gpt-5.4,high,50,sdk,Cooktop Arced Knobs Cabinet Doors
stove_top_b2_05,stove_top,Stove top,"A shallow ceramic cooktop with four radiant zones set into a flat counter and no appliance body underneath. Five narrow push-buttons span most of the front control strip from left to right. Only the five buttons articulate, and each moves inward as a short prismatic plunger normal to the strip.",openai,gpt-5.4,high,50,sdk,Cooktop Five Button Row
stove_top_b2_06,stove_top,Stove top,"A flat gas hob with five burners mounted into a countertop over an open shelf frame with no enclosed stove body. One large selector knob sits at the far left of the front edge, with two smaller knobs grouped near the center and two more at the right. Only the five knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Cooktop Asymmetric Five Knobs
stove_top_b2_07,stove_top,Stove top,"A low-profile induction cooktop with four zones recessed into a thin stone worktop above a base cabinet with one wide flip-down access door. The control area has three rectangular push-buttons stacked vertically near the right front corner. The three buttons move inward on short prismatic joints, and the single wide cabinet door rotates downward on a lower horizontal revolute axis.",openai,gpt-5.4,high,50,sdk,Cooktop Vertical Buttons Drop Door
stove_top_b2_08,stove_top,Stove top,"A flat four-burner gas cooktop set into a countertop cutout with no stove body hanging below. Four circular rotary knobs are grouped in a compact square at the front center rather than a straight row. Only the four knobs articulate, and each rotates continuously about a front-to-back revolute axis.",openai,gpt-5.4,high,50,sdk,Cooktop Square Knob Cluster
stove_top_b2_09,stove_top,Stove top,"A shallow glass induction cooktop with five zones installed flush into a thin counter above a plain cabinet opening. Two push-buttons sit on the left, one large rotary knob sits at center, and two more push-buttons sit on the right. Only the center knob and four buttons articulate, with the knob rotating continuously and the buttons moving inward prismatically.",openai,gpt-5.4,high,50,sdk,Cooktop Buttons Around Center Knob
stove_top_b2_10,stove_top,Stove top,"A flat stainless cooktop with four gas burners mounted into a narrow counter over two small cabinet doors. The control strip carries three rotary knobs tightly grouped at the far right, while the cabinet doors sit beneath the counter with a center seam. The three knobs rotate continuously about front-to-back revolute axes, and the two doors swing on vertical revolute hinges.",openai,gpt-5.4,high,50,sdk,Cooktop Right Knob Cluster Doors
