row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label
overbed_table_001,overbed_table,Overbed table,"A hospital overbed table with a C-shaped rolling base, a single telescoping column, a rectangular tray top, and a squeeze-release lever under the front edge, plus locking casters at the base corners. the tray keeps a raised perimeter lip and a simple support head above the column, and the wheel forks remain individually visible under the base frame. The inner lift column slides prismatically within the outer post, the tray tilts on a horizontal hinge at the support head, and the four casters spin continuously on their fork axles, and the caster lock tabs rotate on their small local pivots. Hospital bedside scale.",openai,gpt-5.4,high,170,,strict,a hospital overbed table with a 1-1
overbed_table_002,overbed_table,Overbed table,"A hospital overbed table with a C-shaped rolling base, a single telescoping column, a rectangular tray top, and a squeeze-release lever under the front edge, plus a smaller reading wing beside the main top. the tray keeps a raised perimeter lip and a simple support head above the column, and the secondary wing is mounted on a short support bracket at the tray edge. The inner lift column slides prismatically within the outer post, the tray tilts on a horizontal hinge at the support head, and the four casters spin continuously on their fork axles, and the reading wing rotates on its own short hinge beside the main top. Hospital bedside scale.",openai,gpt-5.4,high,170,,strict,a hospital overbed table with a 1-2
overbed_table_003,overbed_table,Overbed table,"A hospital overbed table with a C-shaped rolling base, a single telescoping column, a rectangular tray top, and a squeeze-release lever under the front edge, plus a chart clip bar at the tray edge. the tray keeps a raised perimeter lip and a simple support head above the column, and the clip bar is carried by two short supports instead of being fused into the top surface. The inner lift column slides prismatically within the outer post, the tray tilts on a horizontal hinge at the support head, and the four casters spin continuously on their fork axles, and the clip bar rotates on a narrow hinge line along the tray rim. Hospital bedside scale.",openai,gpt-5.4,high,170,,strict,a hospital overbed table with a 1-3
overbed_table_004,overbed_table,Overbed table,"A hospital overbed table with a C-shaped rolling base, a single telescoping column, a rectangular tray top, and a squeeze-release lever under the front edge, plus a low foot-operated brake bar across the base. the tray keeps a raised perimeter lip and a simple support head above the column, and the brake bar bridges the lower frame rails as a real supported part. The inner lift column slides prismatically within the outer post, the tray tilts on a horizontal hinge at the support head, and the four casters spin continuously on their fork axles, and the brake bar rotates on short pivots at the base frame. Hospital bedside scale.",openai,gpt-5.4,high,170,,strict,a hospital overbed table with a 1-4
overbed_table_005,overbed_table,Overbed table,"A home-care overbed table with an offset pedestal base, a rectangular laminate top, a height collar, and twin front casters tucked under the patient side, plus locking casters at the base corners. the vertical post rises from one side of the base so the top can reach over a bed or recliner, and the wheel forks remain individually visible under the base frame. The post slides prismatically for height adjustment, the collar knob rotates continuously on its threaded hub, and the casters rotate continuously on their wheel axles, and the caster lock tabs rotate on their small local pivots. Home-care furniture scale.",openai,gpt-5.4,high,170,,strict,a home care overbed table with 2-1
overbed_table_006,overbed_table,Overbed table,"A home-care overbed table with an offset pedestal base, a rectangular laminate top, a height collar, and twin front casters tucked under the patient side, plus a smaller reading wing beside the main top. the vertical post rises from one side of the base so the top can reach over a bed or recliner, and the secondary wing is mounted on a short support bracket at the tray edge. The post slides prismatically for height adjustment, the collar knob rotates continuously on its threaded hub, and the casters rotate continuously on their wheel axles, and the reading wing rotates on its own short hinge beside the main top. Home-care furniture scale.",openai,gpt-5.4,high,170,,strict,a home care overbed table with 2-2
overbed_table_007,overbed_table,Overbed table,"A home-care overbed table with an offset pedestal base, a rectangular laminate top, a height collar, and twin front casters tucked under the patient side, plus a chart clip bar at the tray edge. the vertical post rises from one side of the base so the top can reach over a bed or recliner, and the clip bar is carried by two short supports instead of being fused into the top surface. The post slides prismatically for height adjustment, the collar knob rotates continuously on its threaded hub, and the casters rotate continuously on their wheel axles, and the clip bar rotates on a narrow hinge line along the tray rim. Home-care furniture scale.",openai,gpt-5.4,high,170,,strict,a home care overbed table with 2-3
overbed_table_008,overbed_table,Overbed table,"A home-care overbed table with an offset pedestal base, a rectangular laminate top, a height collar, and twin front casters tucked under the patient side, plus a low foot-operated brake bar across the base. the vertical post rises from one side of the base so the top can reach over a bed or recliner, and the brake bar bridges the lower frame rails as a real supported part. The post slides prismatically for height adjustment, the collar knob rotates continuously on its threaded hub, and the casters rotate continuously on their wheel axles, and the brake bar rotates on short pivots at the base frame. Home-care furniture scale.",openai,gpt-5.4,high,170,,strict,a home care overbed table with 2-4
overbed_table_009,overbed_table,Overbed table,"A bariatric overbed table with a wide H-base on casters, twin lift posts, a broad meal tray, and a release paddle below the work surface, plus locking casters at the base corners. the two lift posts clearly support the same tray assembly as matched members, and the wheel forks remain individually visible under the base frame. Both inner lift posts slide prismatically within their outer columns, the tray tilts on a transverse hinge at the top carriage, and all four casters spin continuously on their axles, and the caster lock tabs rotate on their small local pivots. Wide patient-room scale.",openai,gpt-5.4,high,170,,strict,a bariatric overbed table with a 3-1
overbed_table_010,overbed_table,Overbed table,"A bariatric overbed table with a wide H-base on casters, twin lift posts, a broad meal tray, and a release paddle below the work surface, plus a smaller reading wing beside the main top. the two lift posts clearly support the same tray assembly as matched members, and the secondary wing is mounted on a short support bracket at the tray edge. Both inner lift posts slide prismatically within their outer columns, the tray tilts on a transverse hinge at the top carriage, and all four casters spin continuously on their axles, and the reading wing rotates on its own short hinge beside the main top. Wide patient-room scale.",openai,gpt-5.4,high,170,,strict,a bariatric overbed table with a 3-2
