row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label,design_audit
cash_register_001,cash_register,Cash register,"A countertop cash register with a wedge-shaped control body, a front cash drawer, and a rear customer display on a short neck. The drawer slides prismatically out from the base, and the customer display tilts on a horizontal revolute hinge above the rear support. Retail checkout scale with a broad base and compact upper housing.",openai,gpt-5.4,high,120,,strict,Cash drawer with tilting customer display,false
cash_register_002,cash_register,Cash register,"A compact point-of-sale cash register with a rectangular base, an angled keypad housing, and a front bill drawer beneath the controls. The bill drawer moves on one prismatic axis along the body depth, and a small operator screen swivels on a vertical revolute joint at the back corner of the housing. Desktop checkout scale.",openai,gpt-5.4,high,120,,strict,POS register with swiveling rear screen,false
cash_register_003,cash_register,Cash register,"An older electronic cash register with a broad cash drawer, a stepped upper keypad body, and a tall customer display mounted behind it. The cash drawer slides forward on one prismatic axis, and the customer display head pitches on a simple revolute joint at the top of its support post. Countertop appliance scale with a boxy silhouette.",openai,gpt-5.4,high,120,,strict,Electronic register with pitched display head,false
rice_cooker_001,rice_cooker,Rice cooker,"A domestic rice cooker with a rounded body, a rear-hinged top lid, and a single front selector knob. The lid rotates upward on a horizontal revolute hinge along the back edge, and the selector knob rotates continuously about its central axis on the front panel. Compact kitchen-appliance scale.",openai,gpt-5.4,high,120,,strict,Rice cooker hinged lid and selector knob,false
rice_cooker_002,rice_cooker,Rice cooker,"A modern rice cooker with an oval housing, a top-opening lid, and a small steam vent cap near the rear of the lid. The lid opens on a rear revolute hinge, and the vent cap rotates on a short local hinge at the vent opening. Countertop scale with a low, wide body.",openai,gpt-5.4,high,120,,strict,Rice cooker lid with vent cap,false
rice_cooker_003,rice_cooker,Rice cooker,"A simple rice cooker with a cylindrical body, a hinged upper lid, and a rotary cook-warm control dial on the front face. The lid rotates on a horizontal hinge at the rear rim, and the control dial rotates continuously on its central axle. Small household appliance scale.",openai,gpt-5.4,high,120,,strict,Cylindrical rice cooker with front dial,false
zippo_lighter_001,zippo_lighter,Zippo lighter,"A classic flip-top lighter with a rectangular outer case, an exposed perforated chimney insert, and a striker wheel beside the wick. The lid rotates upward on a side-mounted revolute hinge, and the striker wheel spins continuously on a transverse axle between the chimney guards. Pocket-size metal object scale.",openai,gpt-5.4,high,120,,strict,Classic Zippo hinge and striker wheel,false
zippo_lighter_002,zippo_lighter,Zippo lighter,"A brushed-metal pocket lighter with a boxy lower shell, a fitted upper lid, and a visible inner chimney insert. The upper lid opens on a narrow side revolute hinge, and the spark wheel rotates continuously about its short axle above the insert body. Small handheld scale with crisp rectangular proportions.",openai,gpt-5.4,high,120,,strict,Brushed metal lighter with side hinge,false
zippo_lighter_003,zippo_lighter,Zippo lighter,"A windproof lighter with a rectangular case, a flip-top cap, and a thumb wheel set ahead of a perforated chimney. The cap rotates on a single side hinge axis, and the thumb wheel rotates continuously on its transverse shaft near the chimney opening. Pocket carry scale.",openai,gpt-5.4,high,120,,strict,Windproof lighter with thumb wheel,false
waffle_maker_001,waffle_maker,Waffle maker,"A countertop waffle maker with a lower cooking base, a hinged upper plate, and a browning-control knob on the side. The upper plate rotates upward on a rear horizontal revolute hinge, and the browning-control knob rotates continuously on its central axis. Compact kitchen-appliance scale.",openai,gpt-5.4,high,120,,strict,Waffle maker lid and browning knob,false
waffle_maker_002,waffle_maker,Waffle maker,"A square clamshell waffle maker with thick upper and lower cooking plates, a short front handle, and a rear hinge block. The top plate lifts on a single horizontal revolute hinge at the back, and a small temperature dial rotates on the side of the lower housing. Countertop scale with a broad, low body.",openai,gpt-5.4,high,120,,strict,Square waffle iron with side dial,false
waffle_maker_003,waffle_maker,Waffle maker,"A round Belgian waffle maker with a circular lower housing, a domed top plate, and a rear support bracket joining the two halves. The top half rotates open on a rear revolute hinge, and a front thermostat knob rotates continuously about its center axis on the base. Compact appliance scale.",openai,gpt-5.4,high,120,,strict,Round Belgian waffle maker,false
camera_flash_001,camera_flash,Camera flash,"A hot-shoe camera flash with a rectangular mounting foot, a tall body, and a boxy flash head carried on a short articulated neck. The neck swivels on a vertical revolute joint above the body, and the flash head tilts on a horizontal revolute joint at the top of the neck. Small camera-accessory scale.",openai,gpt-5.4,high,120,,strict,Speedlight swivel neck and tilt head,false
camera_flash_002,camera_flash,Camera flash,"A compact speedlight flash with a stepped battery body, a shoe mount, and a rectangular lamp head on a two-axis aiming mount. The lower aiming joint rotates about a vertical swivel axis, and the upper joint rotates about a horizontal tilt axis supporting the head. Handheld accessory scale with a narrow footprint.",openai,gpt-5.4,high,120,,strict,Compact speedlight two axis head,false
camera_flash_003,camera_flash,Camera flash,"A professional camera flash with a broad mounting foot, a tall rear control body, and a forward-facing flash head between short side yokes. The whole head assembly swivels on a vertical revolute joint at the top of the body, and the head pitches on a horizontal revolute joint between the yoke arms. Accessory scale sized for a DSLR or mirrorless camera.",openai,gpt-5.4,high,120,,strict,Pro flash swivel body and yoke tilt,false
blimp_001,blimp,Blimp,"A small advertising blimp with an elongated envelope, a suspended gondola, tail fins, and two side propeller pods. The left and right propellers spin continuously on their shaft axes, and the rudder and elevator panels hinge from the trailing edges of the tail fins. Airship scale with a simple streamlined silhouette and a compact gondola.",openai,gpt-5.4,high,140,,strict,Advertising blimp with tail controls,false
blimp_002,blimp,Blimp,"A utility blimp with a cigar-shaped envelope, a structural gondola hung below the centerline, and twin engine nacelles mounted to the sides of the gondola. Each propeller rotates continuously on its axle, the rudder panel rotates on a vertical tail hinge, and the two elevator panels rotate on horizontal hinges at the rear stabilizer. Large airship scale.",openai,gpt-5.4,high,140,,strict,Utility blimp nacelles rudder elevators,false
blimp_003,blimp,Blimp,"A passenger blimp with a streamlined main envelope, a long under-slung cabin, a cruciform tail, and one propeller pod on each side of the hull near the cabin. The propellers spin continuously on their local shaft axes, and the vertical and horizontal tail control surfaces move on simple revolute hinges at the tail trailing edges. Large lighter-than-air vehicle scale with a clean, recognizable form.",openai,gpt-5.4,high,140,,strict,Passenger blimp with cruciform tail,false
