row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
branching_tree_with_three_independent_rotary_branches_one_each_high_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"An under-slung three-branch rotary frame. A top bridge supports three hanging branch arms on separate brackets, making the fixed support read differently from the moving arms used in the other variants. The hanging arms are independent revolute joints on their own supports.",openai,gpt-5.4,high,50,2.0,sdk_hybrid,Branching tree with three independent rotary branches One Each 1,true
branching_tree_with_two_independent_rotary_branches_one_each_high_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A hub-and-spoke two-branch motion rig. A vertical mast carries two short spoke arms on discrete hub blocks, and each hub block is visibly larger than the arm it supports. The spoke arms are independent revolute joints about supported hub axes.",openai,gpt-5.4,high,40,2.0,sdk_hybrid,Branching tree with two independent rotary branches One Each 1,true
cantilever_articulated_arm_one_each_high_01,cantilever_articulated_arm,Cantilever articulated arm,"A compact bench cantilever arm. A short column base carries two rigid links and a compact wrist face, with the whole arm clearly overhanging one side of the base. The mechanism is a serial three-revolute arm.",openai,gpt-5.4,high,40,2.0,sdk_hybrid,Cantilever articulated arm One Each 1,true
coaxial_rotary_stack_one_each_high_01,coaxial_rotary_stack,Coaxial rotary stack,"An under-slung coaxial stage stack. A top support and center shaft carry multiple concentric stages below, giving the stack a hanging silhouette. The concentric stages rotate as separate revolute joints about one shared axis.",openai,gpt-5.4,high,40,2.0,sdk_hybrid,Coaxial rotary stack One Each 1,true
dual_independent_finger_chains_one_each_high_01,dual_independent_finger_chains,Dual independent finger chains,"An under-slung dual finger rig. A top support carries a common palm block and two finger chains hanging beneath it, giving the pair a different silhouette while keeping the rigid-link structure obvious. Each hanging finger uses three revolute joints and remains mechanically independent.",openai,gpt-5.4,high,50,2.0,sdk_hybrid,Dual independent finger chains One Each 1,true
dualcolumn_lift_carriage_one_each_high_01,dualcolumn_lift_carriage,Dual-column lift carriage,A narrow service lift on twin rails. Two fixed uprights support a compact moving saddle with a square work face and clear overlap on both guides. The saddle is a single vertical prismatic stage.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Dual-column lift carriage One Each 1,true
dualrail_gantry_axis_one_each_high_01,dualrail_gantry_axis,Dual-rail gantry axis,A compact service gantry. A fixed lower frame supports a moving bridge and a short cross-slide whose support hardware remains visibly larger than the tool face it carries. The moving bridge and cross-slide are orthogonal prismatic joints.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Dual-rail gantry axis One Each 1,true
fingerlike_phalanx_chain_one_each_high_01,fingerlike_phalanx_chain,Finger-like phalanx chain,"A fork-root digit assembly. A fixed fork captures the proximal phalanx, followed by two smaller phalanx links and a rounded tip pad. The proximal, middle, and distal links are connected by three revolute joints.",openai,gpt-5.4,high,40,2.0,sdk_hybrid,Finger-like phalanx chain One Each 1,true
folding_arm_chain_one_each_high_01,folding_arm_chain,Folding arm chain,A slim service folding arm chain. A narrow grounded spine supports a sequence of simple rigid links with compact joint cheeks and a small end pad at the end. The mechanism uses three serial revolute joints about parallel axes.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Folding arm chain One Each 1,true
fourjoint_revolute_chain_one_each_high_01,fourjoint_revolute_chain,Four-joint revolute chain,A slim service four-joint revolute chain. A narrow grounded spine supports a sequence of simple rigid links with compact joint cheeks and a compact end tab at the end. The mechanism uses four serial revolute joints about parallel axes.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Four-joint revolute chain One Each 1,true
gear_assemblies_one_each_high_01,gear_assemblies,Gear Assemblies,A vertical-input transfer gear assembly. A fixed base supports a vertical input shaft that passes through a right-angle stage into a horizontal reduction stage. The vertical and horizontal shafts are separate revolute joints carried by the grounded supports.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Gear Assemblies One Each 1,true
joystick_mechanism_one_each_high_01,joystick_mechanism,Joystick mechanism,A production-style exposed joystick gimbal. A grounded base block supports a nested gimbal set and a straight control stick with the support structure left open and legible. The gimbal provides two orthogonal revolute joints about intersecting axes.,openai,gpt-5.4,high,50,2.0,sdk_hybrid,Joystick mechanism One Each 1,true
lever_chain_one_each_high_01,lever_chain,Lever chain,A bridge-mounted lever chain. A fixed bridge support carries a root clevis and a sequence of links whose section sizes taper toward the distal small end tab. The chain has three revolute joints in series.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Lever chain One Each 1,true
linear_carriage_with_independent_rotary_endeffector_one_each_high_01,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,"A compact service shuttle with spindle tip. A grounded body supports a short carriage, and the carriage carries a visibly smaller spindle cartridge at one end. The carriage is one prismatic joint and the spindle is one revolute joint.",openai,gpt-5.4,high,40,2.0,sdk_hybrid,Linear carriage with independent rotary end-effector One Each 1,true
mastmounted_fork_carriage_one_each_high_01,mastmounted_fork_carriage,Mast-mounted fork carriage,A narrow service fork carriage. A compact fixed mast supports a smaller moving platen with a load guard and paired forks. The moving platen is one vertical prismatic joint on the mast.,openai,gpt-5.4,high,40,2.0,sdk_hybrid,Mast-mounted fork carriage One Each 1,true
monitor_mount_one_each_high_01,monitor_mount,Monitor mount,"A compact console monitor arm without the monitor. A grounded base bracket supports two short articulated links and a small head frame that can fold close to the base. Two revolute joints fold the arm, and the head adds separate swivel and tilt revolute joints.",openai,gpt-5.4,high,40,2.0,sdk_hybrid,Monitor mount One Each 1,true
