row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
garden_gate_01,garden_gate,Garden gate,"A single-leaf garden gate mounted between two square posts. A rectangular frame with vertical pickets hangs from one post on two strap hinges and closes against the opposite post with a thumb-latch assembly. The leaf swings on a vertical revolute axis at the hinge barrels, and the latch thumb piece rotates on a small transverse revolute pin in the latch housing.",openai,gpt-5.4,high,50,sdk,Garden Gate Single Latch
garden_gate_02,garden_gate,Garden gate,"A double-leaf garden gate with two framed leaves meeting at the center between side posts. Each leaf has perimeter rails and sparse infill, with hinges at the outer posts and a center latch area where one leaf carries a drop bolt into the ground. Each leaf rotates on its own vertical revolute hinge axis, and the drop bolt slides prismatically in its guide tubes.",openai,gpt-5.4,high,50,sdk,Garden Gate Double Cane Bolt
glasses_01,glasses,Glasses,"A pair of rectangular eyeglasses. The front frame has two lens rims joined by a bridge, and each outer corner carries a slender temple arm through a compact hinge block. The two temple arms fold inward on separate revolute hinge axes at the frame edges.",openai,gpt-5.4,high,50,sdk,Glasses Rectangular Temples
glasses_02,glasses,Glasses,"A pair of round wire-rim glasses with slightly curved temple arms and small nose-pad brackets. The front frame is a rigid bridge and rim assembly, and each temple is attached at the outer rim by a knuckle hinge. Each temple arm rotates on its own revolute hinge axis so the pair can fold flat.",openai,gpt-5.4,high,50,sdk,Glasses Round Wire
globe_01,globe,Globe,"A desktop world globe on a tilted meridian ring and round base. The sphere is supported between two polar pivots inside the meridian, and the meridian is carried by a yoke rising from the base. The globe spins on a polar revolute axis between the pivots, and the meridian rotates on a second revolute axis through the side supports.",openai,gpt-5.4,high,50,sdk,Globe Desktop Meridian
globe_02,globe,Globe,"A classroom globe on a pedestal stand with a full circular meridian. The sphere sits between top and bottom trunnions inside the ring, and the ring is held by a forked support from the base. The sphere rotates about its north-south revolute axis, and the meridian tilts on a horizontal revolute axis at the fork.",openai,gpt-5.4,high,50,sdk,Globe Pedestal Fork
glove_compartment_door_01,glove_compartment_door,Glove compartment door,"An automotive glove compartment integrated into a simple dashboard opening. A storage bin sits behind the opening, and a rectangular door hangs from the lower edge with a small push-button latch on the face. The door rotates downward on a lower revolute hinge axis, and the latch button moves as a short prismatic plunger into the door.",openai,gpt-5.4,high,50,sdk,Glove Door Push Release
glove_compartment_door_02,glove_compartment_door,Glove compartment door,"A passenger-side glove box with a curved outer door and an inner storage tub. The tub is fixed in the dashboard, while the door is carried by hinge arms near the lower corners and has a pull handle with a latch release. The door swings on a lower revolute axis at the hinge arms, and the latch release rotates on a small pivot inside the handle.",openai,gpt-5.4,high,50,sdk,Glove Door Side Arms
graphics_card_with_cooling_fans_01,graphics_card_with_cooling_fans,Graphics card with cooling fans,"A dual-slot desktop graphics card. A long PCB carries a shrouded heatsink and two axial fans on the front face, with an I/O bracket at one short end. Each fan rotor is supported in its own circular frame and rotates continuously about a central revolute axis normal to the card face.",openai,gpt-5.4,high,50,sdk,GPU Dual Fan
graphics_card_with_cooling_fans_02,graphics_card_with_cooling_fans,Graphics card with cooling fans,A large triple-fan graphics card with a rigid backplate and an angled outer shroud. The flat card body supports three evenly spaced fan openings over the heatsink stack and a bracket plate at one end. Each of the three fan rotors spins on its own axial revolute joint within the shroud.,openai,gpt-5.4,high,50,sdk,GPU Triple Fan
grill_with_hinged_lid_01,grill_with_hinged_lid,Grill with hinged lid,"A kettle-style charcoal grill on a small wheeled stand. A round lower bowl sits in a tubular frame, a domed lid is hinged at the rear, and a circular vent damper plate sits on top of the lid. The lid rotates upward on a rear revolute hinge axis, the two transport wheels spin on their axle, and the vent damper rotates on its center fastener above the lid.",openai,gpt-5.4,high,50,sdk,Grill Kettle Vent
grill_with_hinged_lid_02,grill_with_hinged_lid,Grill with hinged lid,"A barrel-style outdoor grill with a cart frame and side shelf. The lower half of the cooking chamber is fixed to the cart, the upper half forms the lid on a rear hinge line, and a side butterfly damper is mounted on a short shaft through the chamber wall. The lid swings on a rear longitudinal revolute axis, the cart wheels rotate on their axle, and the damper rotates on its small revolute shaft at the chamber side.",openai,gpt-5.4,high,50,sdk,Grill Barrel Damper
hand_truck_dolly_01,hand_truck_dolly,Hand truck dolly,"A stair-climber hand truck with an upright tubular frame and a toe plate. Each lower corner carries a triangular three-wheel cluster on a hub, so the frame rides on paired wheel assemblies rather than single wheels. Every wheel spins on its own axle within the cluster, and each cluster rotates on a larger revolute hub at the frame.",openai,gpt-5.4,high,50,sdk,Hand Truck Stair Climber
hand_truck_dolly_02,hand_truck_dolly,Hand truck dolly,"A convertible hand truck with a main frame, two large rear wheels, a primary nose plate, and a fold-out secondary toe section under the front edge. The extension plate nests below the main plate and is supported by side hinge ears. The two wheels rotate on their axle, and the secondary toe section folds on a transverse revolute hinge under the main plate.",openai,gpt-5.4,high,50,sdk,Hand Truck Convertible
hinged_window_or_hatch_01,hinged_window_or_hatch,Hinged window or hatch,"A top-hinged awning window in a rectangular outer frame. A glazed sash sits inside the frame on upper hinges and carries a small latch handle on the lower rail. The sash rotates outward on a horizontal upper revolute axis, and the latch handle rotates on its own small pivot at the sash edge.",openai,gpt-5.4,high,50,sdk,Hatch Awning Latch
hinged_window_or_hatch_02,hinged_window_or_hatch,Hinged window or hatch,"A marine deck hatch with a raised curb frame and a slightly domed lid. The lid overlaps the fixed frame on a rear hinge line, and two latch dogs sit near the front corners to clamp the lid shut. The lid lifts on a rear revolute hinge axis, and each latch dog rotates on a short local revolute pin at the front edge.",openai,gpt-5.4,high,50,sdk,Hatch Marine Dogs
hingeddoor_cabinet_01,hingeddoor_cabinet,Hinged-door cabinet,"A small wall cabinet with two side-hinged front doors. A rectangular box body with shelves supports one door from each outer side panel, and each door carries a pull at its free edge. The two doors rotate on separate vertical revolute hinge axes at the cabinet sides.",openai,gpt-5.4,high,50,sdk,Cabinet Double Doors
hingeddoor_cabinet_02,hingeddoor_cabinet,Hinged-door cabinet,"A tall utility cabinet with a single full-height door. The carcass is a rectangular enclosure on short feet, and the door panel is attached to one side wall through exposed hinges with a latch handle at the opposite edge. The door swings on a vertical revolute hinge axis, and the latch handle rotates on its own pivot in the door face.",openai,gpt-5.4,high,50,sdk,Cabinet Single Door
instrument_case_with_hinged_lid_01,instrument_case_with_hinged_lid,Instrument case with hinged lid,"A hard-shell violin case with a clamshell body. A shallow lower shell holds the cavity and a matching upper shell forms the lid, with toggle latches spaced along the front edge and a handle between them. The lid rotates on a long rear revolute hinge axis, and each front latch rotates on its own small pivot to hook and release the lid.",openai,gpt-5.4,high,50,sdk,Instrument Case Violin
instrument_case_with_hinged_lid_02,instrument_case_with_hinged_lid,Instrument case with hinged lid,"A rectangular hard equipment case for a compact instrument. The lower shell is a rounded box with a flat front face, the upper shell forms the lid on a back hinge line, and two snap latches sit along the front edge. The lid swings on a rear revolute axis, and the latch arms rotate on short local pivots at the case front.",openai,gpt-5.4,high,50,sdk,Instrument Case Equipment
internet_router_01,internet_router,Internet Router,"A desktop Wi-Fi router with four external antennas. A low rectangular housing carries four antenna stalks on hinge bases along the rear edge, and a small reset or pairing button is recessed into the body. Each antenna tilts on its own revolute root hinge, and the button moves as a short prismatic plunger into the housing.",openai,gpt-5.4,high,50,sdk,Router Four Antenna
internet_router_02,internet_router,Internet Router,"A flat home router with two fold-out paddle antennas and a small rocker power switch. The main body is a rounded rectangular slab, the antennas mount on short hinge pods at the back edge, and the switch is set into a side recess. The two antennas rotate on horizontal root hinges, and the rocker switch rotates on a local transverse pivot in the side wall.",openai,gpt-5.4,high,50,sdk,Router Paddle Switch
jet_engine_01,jet_engine,Jet Engine,"A turbofan jet engine nacelle on a short display stand. A cylindrical nacelle encloses a central spinner, a front fan stage, and a rear exhaust cone aligned on the same centerline. The fan rotor spins continuously about the main longitudinal revolute axis inside the intake.",openai,gpt-5.4,high,50,sdk,Jet Engine Turbofan
jet_engine_02,jet_engine,Jet Engine,"A compact turbojet engine module with an intake lip, cylindrical core body, and conical exhaust nozzle. The outer casing is supported by front struts around a visible compressor rotor near the intake. The visible rotor rotates continuously about the engine centerline revolute axis.",openai,gpt-5.4,high,50,sdk,Jet Engine Turbojet
keyboard_01,keyboard,Keyboard,"A compact mechanical keyboard with a rotary volume knob at one corner. A shallow rectangular case supports a grid of keycaps and the corner knob on the top plate. Every keycap is a short vertical prismatic slider into its switch opening, and the knob rotates about a front-to-back revolute axis through the case corner.",openai,gpt-5.4,high,50,sdk,Keyboard Compact Knob
keyboard_02,keyboard,Keyboard,"A full-size office keyboard with a main typing block, a numeric keypad, and flip-out rear feet under the back edge. The broad housing carries stepped key rows on the top plate and two folding support feet recessed underneath. The keys move as short prismatic plungers normal to the case top, and each rear foot rotates on a small revolute hinge at the underside of the housing.",openai,gpt-5.4,high,50,sdk,Keyboard Full Fold Feet
kick_scooter_01,kick_scooter,Kick scooter,"A folding commuter kick scooter with a narrow deck and upright handlebar stem. The front wheel sits in a steerable fork, the rear wheel mounts under the deck tail, and the stem is connected to the deck nose by a folding hinge block. The two wheels rotate on their axles, the front fork steers on a vertical revolute axis at the head tube, and the stem folds on a transverse revolute hinge near the deck.",openai,gpt-5.4,high,50,sdk,Kick Scooter Folding
kick_scooter_02,kick_scooter,Kick scooter,"A rigid kick scooter with a long deck, a T-bar handle, and a rear fender brake above the back wheel. The front wheel is carried by a fork and steering column, while the rear wheel sits at the tail under the springy brake fender. The wheels spin on their axles, the front fork yaws on a vertical steering revolute axis, and the brake fender rotates downward on a hinge at the rear deck.",openai,gpt-5.4,high,50,sdk,Kick Scooter Brake Fender
knee_scooter_01,knee_scooter,Knee scooter,"A medical knee scooter with a padded knee platform and bicycle-style handlebars. A lower frame carries four small wheels, with the front pair in a steerable fork assembly and the rear pair on fixed supports under the frame. The four wheels rotate on their axles, and the front steering assembly yaws on a vertical revolute axis at the head tube.",openai,gpt-5.4,high,50,sdk,Knee Scooter Steering
knee_scooter_02,knee_scooter,Knee scooter,"A compact knee scooter with a central frame, a knee pad platform, and a front steering column with brake levers on the handlebar. Two rear wheels sit on fixed supports and two front wheels are carried by the steering fork. The four wheels spin on their axles, the fork steers about a vertical revolute axis, and each brake lever rotates on a small pivot at the handlebar.",openai,gpt-5.4,high,50,sdk,Knee Scooter Brake Levers
laptop_clamshell_01,laptop_clamshell,Laptop clamshell,"A thin laptop computer in clamshell form. A flat base contains the keyboard deck and touchpad, and a thin display lid is attached along the rear edge by two compact hinges. The lid rotates on the rear revolute hinge axis, and the keyboard keys move as short prismatic plungers into the top deck.",openai,gpt-5.4,high,50,sdk,Laptop Thin Keys
laptop_clamshell_02,laptop_clamshell,Laptop clamshell,"A rugged laptop with a thick lower chassis and a reinforced display housing. The base carries a keyboard and a large clickpad, and the screen panel is joined to the rear spine by a pair of hinges. The display lid swings on the rear revolute axis, the keyboard keys move as short vertical prismatic sliders, and the clickpad front edge rocks on a shallow local pivot for click motion.",openai,gpt-5.4,high,50,sdk,Laptop Rugged Clickpad
lazy_susan_01,lazy_susan,Lazy Susan,A round tabletop lazy Susan serving tray. A circular upper tray sits above a slightly smaller base on a central bearing stack with a visible shadow gap between the two discs. The upper tray rotates continuously about the vertical center revolute axis relative to the base.,openai,gpt-5.4,high,50,sdk,Lazy Susan Tabletop
lazy_susan_02,lazy_susan,Lazy Susan,"A corner-cabinet lazy Susan with two round shelves on a central post. The post is anchored between a base plate and a top support, and the shelves are fixed to the rotating center shaft. The shelf assembly rotates about the vertical revolute axis of the central shaft relative to the cabinet base.",openai,gpt-5.4,high,50,sdk,Lazy Susan Cabinet
lighthouse_with_rotating_beacon_assembly_01,lighthouse_with_rotating_beacon_assembly,Lighthouse with rotating beacon assembly,"A lighthouse lantern assembly with a cylindrical glass enclosure on a tapered tower top. Inside the lantern room, a central vertical shaft carries a beacon frame with lamp and reflector elements. The beacon carriage rotates continuously about the vertical shaft revolute axis inside the enclosure.",openai,gpt-5.4,high,50,sdk,Lighthouse Beacon Carriage
