row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label
ac_machine_001,air_conditioning_machine,Air conditioning machine,"A portable floor air conditioner with a tall rectangular body on four caster wheels, a top exhaust grille, and a front outlet with one horizontal louver and several vertical vanes. The caster wheels spin continuously and swivel on vertical caster pivots, the horizontal louver rotates on a transverse revolute hinge, the vertical outlet vanes rotate on their own vertical pivots, and the top control buttons articulate independently as small push controls. Household appliance scale.",openai,gpt-5.4,high,180,,lite,Portable floor AC caster outlet controls
ac_machine_002,air_conditioning_machine,Air conditioning machine,"A window air conditioner with a wide rectangular chassis, side accordion panels, a front discharge grille, and two rotary control dials on the right face. The front horizontal discharge flap rotates on a horizontal revolute hinge, the vertical grille vanes rotate on individual vertical pivots, and the two front control dials rotate continuously about their own axes. Window-mounted appliance scale.",openai,gpt-5.4,high,170,,lite,Window AC discharge flap twin dials
ac_machine_003,air_conditioning_machine,Air conditioning machine,"A wall-mounted mini-split indoor air conditioner with a long curved front shell, a lower outlet slot, and a small indicator/control cluster on one end. The long outlet flap rotates downward on a rear horizontal hinge along the slot, the internal vertical direction vanes rotate on their own pivots behind the flap, and the visible control buttons on the end cluster articulate independently as push controls. Residential room-unit scale.",openai,gpt-5.4,high,180,,lite,Mini split indoor unit flap vanes buttons
ac_machine_004,air_conditioning_machine,Air conditioning machine,"A through-wall air conditioner with a boxy sleeve-mounted body, a front face grille, and a control panel with a central knob flanked by distinct buttons. The discharge flap rotates on a horizontal hinge across the outlet opening, the directional vanes rotate on vertical pivots, the central knob rotates continuously, and each visible front-panel button is a separate prismatic push button. Appliance scale sized for a small room.",openai,gpt-5.4,high,180,,lite,Through wall AC knob and buttons
ac_machine_005,air_conditioning_machine,Air conditioning machine,"A floor-standing console air conditioner with a low wide cabinet, a top discharge opening, and a front panel carrying a row of distinct mode buttons. The top outlet flap rotates on a horizontal revolute hinge, the internal vertical guide vanes rotate on separate pivots, and each front-panel mode button articulates independently as a push control. Room console scale with a broad front intake grille.",openai,gpt-5.4,high,170,,lite,Console AC top outlet row buttons
ac_machine_006,air_conditioning_machine,Air conditioning machine,"A commercial portable spot cooler with a wheeled rectangular cabinet, two flexible outlet trunks replaced here by rigid circular nozzle heads on short supports, and a side control panel. Each circular nozzle head pitches on a horizontal revolute joint at its support collar, the cabinet caster wheels spin and swivel, and the visible side-panel buttons articulate independently while the selector dial rotates continuously. Medium industrial appliance scale.",openai,gpt-5.4,high,190,,lite,Spot cooler nozzle heads wheels controls
ac_machine_007,air_conditioning_machine,Air conditioning machine,"A hotel-style packaged terminal air conditioner with a long low rectangular body under a window, a front discharge grille, and a top-right thermostat knob with several adjacent push buttons. The main discharge flap rotates on a horizontal hinge at the grille opening, the directional vanes rotate on their own pivots, the thermostat knob rotates continuously, and the visible push buttons articulate independently. Under-window room-unit scale.",openai,gpt-5.4,high,180,,lite,PTAC flap vanes thermostat buttons
ac_machine_008,air_conditioning_machine,Air conditioning machine,"A compact desktop personal air conditioning machine with a small boxy housing, a front vent outlet, and a top control cluster with two raised buttons and one dial. The front louver rotates on a horizontal hinge, the inner vertical vanes rotate on small vertical pivots, the top dial rotates continuously, and both top buttons articulate independently as push controls. Small tabletop appliance scale.",openai,gpt-5.4,high,160,,lite,Desktop AC louver vanes top controls
ac_machine_009,air_conditioning_machine,Air conditioning machine,"A tower-style portable air conditioner with a tall slim body, a front vertical outlet slot, and a top control panel with a ring of distinct buttons around a central knob. The front outlet flap rotates on a horizontal hinge near the slot edge, the internal guide vanes rotate on individual pivots, the central knob rotates continuously, and every visible top-panel button articulates independently as a push control. Floor-standing home appliance scale.",openai,gpt-5.4,high,190,,lite,Tower AC top control ring
ac_machine_010,air_conditioning_machine,Air conditioning machine,"A retro window air conditioner with a rounded front fascia, a left-side outlet grille, and two large mechanical control knobs plus a small rocker-style power switch. The outlet flap rotates on a horizontal hinge, the directional vanes rotate on vertical pivots, the two control knobs rotate continuously, and the rocker switch rotates on its short central pivot. Mid-century appliance proportions.",openai,gpt-5.4,high,170,,lite,Retro window AC knobs rocker
ac_machine_011,air_conditioning_machine,Air conditioning machine,"A ceiling-suspended cassette air conditioning machine shown as the visible room-side unit with a square panel, central intake, and four directional outlet flaps around the perimeter. Each outlet flap rotates on its own horizontal hinge at the panel edge, and the small service buttons on one side of the panel articulate independently as push controls. Commercial ceiling-unit scale.",openai,gpt-5.4,high,180,,lite,Cassette AC four flaps service buttons
ac_machine_012,air_conditioning_machine,Air conditioning machine,"A floor portable air conditioner with a rectangular cabinet, a front vent opening, a pull handle at the rear, and a top touch-control array rendered as distinct raised buttons. The front discharge louver rotates on a horizontal hinge, the inner vertical vanes rotate on their own pivots, the rear wheels spin continuously on a fixed axle while the front casters swivel and roll, and every visible top control button articulates independently. Domestic portable-unit scale.",openai,gpt-5.4,high,190,,lite,Portable AC pull handle wheel mix
ac_machine_013,air_conditioning_machine,Air conditioning machine,"A wall console air conditioner with a shallow rectangular housing, a long lower discharge slot, and a right-end control panel with a dial and several distinct keys. The lower discharge flap rotates on a horizontal hinge, the vertical direction vanes rotate on their own pivots, the dial rotates continuously, and the visible keys articulate independently as push controls. Room-mounted appliance scale.",openai,gpt-5.4,high,180,,lite,Wall console AC dial and keys
ac_machine_014,air_conditioning_machine,Air conditioning machine,"A heavy-duty industrial air conditioning machine with a wheeled rectangular cabinet, a front outlet plenum with adjustable vanes, and a recessed control panel with separated buttons and one selector knob. The front outlet flap rotates on a horizontal hinge, the vertical vanes rotate on individual pivots, the cabinet wheels roll continuously with front caster swivels, the selector knob rotates continuously, and the recessed buttons articulate independently as push controls. Workshop cooling-unit scale.",openai,gpt-5.4,high,190,,lite,Industrial AC plenum wheels controls
ac_machine_015,air_conditioning_machine,Air conditioning machine,"A slim wall-hung indoor air conditioner with a gently curved fascia, a continuous outlet slot, and a discrete side control strip with several visible buttons. The long outlet flap rotates downward on a horizontal hinge spanning the slot, the internal guide vanes rotate on separate pivots behind it, and the visible side-strip buttons articulate independently as push controls. Residential mini-split scale with a long horizontal silhouette.",openai,gpt-5.4,high,180,,lite,Wall hung AC side control strip
