row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label,design_audit
branching_tree_with_three_independent_rotary_branches_realism_high_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A three-branch fixture head for a bench machine. A central mast carries three radial arms on separate hub blocks at staggered heights, each ending in a small mounting pad. Each arm is supported by its own revolute joint about a local hub axis, with the three branches arranged so their swept volumes stay distinct.",openai,gpt-5.4,high,50,sdk_hybrid,Branching tree with three independent rotary branches Realism 1,false
branching_tree_with_two_independent_rotary_branches_realism_high_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A two-branch positioning fixture. A rigid central spine carries an upper branch arm and a lower branch arm on separate side-supported hubs, with a small tooling pad at each tip. The two branches are independent revolute joints about parallel axes, and each joint should read as its own supported shaft and bearing set.",openai,gpt-5.4,high,50,sdk_hybrid,Branching tree with two independent rotary branches Realism 1,false
cantilever_articulated_arm_realism_high_01,cantilever_articulated_arm,Cantilever articulated arm,"A cantilever support arm for bench tooling. A base column carries a shoulder link, an elbow link, and a short wrist plate held in clevis brackets. Shoulder and elbow are revolute joints about parallel horizontal axes, and the wrist is a separate revolute joint about the tool axis.",openai,gpt-5.4,high,50,sdk_hybrid,Cantilever articulated arm Realism 1,false
coaxial_rotary_stack_realism_high_01,coaxial_rotary_stack,Coaxial rotary stack,"A compact rotary indexing stack. Nested circular stages sit on one vertical shaft with a base turntable, a middle ring, and a top flange for tooling. The base, middle, and top stages are separate revolute joints about the shared vertical axis, each tied to a visible bearing support or hub interface.",openai,gpt-5.4,high,50,sdk_hybrid,Coaxial rotary stack Realism 1,false
dual_independent_finger_chains_realism_high_01,dual_independent_finger_chains,Dual independent finger chains,"A two-finger gripper mechanism on a shared palm block. Each finger is a three-link phalanx chain with tapered rigid links, pin knuckles, and a separate base pivot mounted side by side. Each finger chain has three revolute joints bending in one plane, and the two fingers remain mechanically independent rather than coupled.",openai,gpt-5.4,high,50,sdk_hybrid,Dual independent finger chains Realism 1,false
dualcolumn_lift_carriage_realism_high_01,dualcolumn_lift_carriage,Dual-column lift carriage,"A dual-column lift module like a compact pallet stacker mast. Two vertical guide columns are tied by a base and top crosshead, and a rectangular carriage rides between them on wrapped guide blocks. One prismatic joint moves the carriage along the column axis while the frame stays fixed.",openai,gpt-5.4,high,50,sdk_hybrid,Dual-column lift carriage Realism 1,false
dualrail_gantry_axis_realism_high_01,dualrail_gantry_axis,Dual-rail gantry axis,"A gantry positioning axis for a small industrial machine. Two long base rails support a bridge carriage, and a tool truck rides across the bridge beam on its own short slide. The bridge is a prismatic joint along the rail axis, and the tool truck is a second prismatic joint along the orthogonal beam axis.",openai,gpt-5.4,high,50,sdk_hybrid,Dual-rail gantry axis Realism 1,false
fingerlike_phalanx_chain_realism_high_01,fingerlike_phalanx_chain,Finger-like phalanx chain,"A single articulated finger mechanism. A base knuckle carries three tapered phalanx links with side plates and exposed pin joints, ending in a small pad. The three links are connected by revolute joints that all bend in one plane from the supported knuckle barrels.",openai,gpt-5.4,high,50,sdk_hybrid,Finger-like phalanx chain Realism 1,false
folding_arm_chain_realism_high_01,folding_arm_chain,Folding arm chain,"A folding support arm like the linkage on a task light or small gate stay. A base bracket carries three flat bar links in series and ends in a small attachment pad. The chain has three revolute joints about parallel axes in one plane so the arm can collapse near the base and extend outward.",openai,gpt-5.4,high,50,sdk_hybrid,Folding arm chain Realism 1,false
fourjoint_revolute_chain_realism_high_01,fourjoint_revolute_chain,Four-joint revolute chain,"A serial linkage made from five rigid bars. The root link mounts to a fixed base foot, and the remaining links connect through evenly spaced hinge blocks. All four joints are revolute about parallel axes in one plane.",openai,gpt-5.4,high,50,sdk_hybrid,Four-joint revolute chain Realism 1,false
