row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
20260402_sdk_misc_001,arcade_machine,Arcade Machine,"An upright video arcade cabinet with a tall monitor hood, a sloped control deck, a lower coin door, and a full-height rear service panel. The rear panel rotates on a vertical side revolute hinge at the back of the cabinet, the coin return flap rotates on a small front revolute hinge in the coin door, and two start buttons on the control deck translate prismatically in their guide sleeves.",openai,gpt-5.4,high,50,2.5,sdk,Arcade upright rear door buttons
20260402_sdk_misc_002,arcade_machine,Arcade Machine,"A compact cabaret arcade machine with a short rectangular cabinet, a single-player control shelf, a monitor bezel, and a locking cash drawer below the control area. The cash drawer slides prismatically out from the cabinet front on straight runners, a paddle-style spinner on the control shelf rotates continuously about its vertical shaft, and a service hatch at the back rotates on a vertical revolute hinge.",openai,gpt-5.4,high,50,2.5,sdk,Arcade cabaret spinner cash drawer
20260402_sdk_misc_003,arcade_machine,Arcade Machine,"A sit-down driving arcade machine with a forward monitor pod, a steering wheel on a dashboard, and two pedal paddles at the footwell. The steering wheel rotates continuously about its horizontal steering shaft, each pedal rotates on a lower transverse revolute pivot at the floor pan, and the coin door rotates on a vertical side hinge at the cabinet base.",openai,gpt-5.4,high,50,2.5,sdk,Arcade driving wheel pedals
20260402_sdk_misc_004,arcade_machine,Arcade Machine,"A cocktail-table arcade machine with a low rectangular body, a glass top around a recessed screen, and control panels at the two long sides. A hinged coin box door rotates downward on a front horizontal revolute hinge under one side rail, and a selector knob on one player panel rotates continuously about its vertical shaft.",openai,gpt-5.4,high,50,2.5,sdk,Arcade cocktail lift door
20260402_sdk_misc_005,arcade_machine,Arcade Machine,"A redemption-style arcade cabinet with a tall boxy body, a front screen window, a ticket chute, and a lower access door. The payout flap at the ticket chute rotates on a small horizontal revolute hinge, the lower access door rotates on a vertical side hinge, and a large launch button on the front shelf translates prismatically in its housing.",openai,gpt-5.4,high,50,2.5,sdk,Arcade redemption ticket flap
20260402_sdk_misc_006,arcade_machine,Arcade Machine,"A pedestal arcade machine with a narrow body, a wide marquee head, and a shallow control ledge carrying a spinner and two round buttons. The spinner rotates continuously about its vertical spindle, each button translates prismatically in its cylindrical guide, and a rear electronics cover rotates on a vertical revolute hinge along one cabinet edge.",openai,gpt-5.4,high,50,2.5,sdk,Arcade pedestal spinner panel
20260402_sdk_misc_007,arcade_machine,Arcade Machine,"A wall-side arcade cabinet with a deep rectangular base, a slanted monitor section, and a front ticket storage drawer under the control panel. The drawer translates prismatically on straight cabinet runners, a coin return flap rotates on a small front hinge in the coin door, and a service door at the cabinet side rotates on a vertical revolute hinge.",openai,gpt-5.4,high,50,2.5,sdk,Arcade wall-side ticket drawer
20260402_sdk_misc_008,arcade_machine,Arcade Machine,"A two-player upright arcade machine with a broad control deck, a central monitor bay, and a lower service hatch below the coin slots. The service hatch rotates on a bottom horizontal revolute hinge, and two large illuminated start buttons on the deck translate prismatically in separate guide sleeves.",openai,gpt-5.4,high,50,2.5,sdk,Arcade twin button service hatch
20260402_sdk_misc_009,arcade_machine,Arcade Machine,"A bar-top arcade machine with a compact tabletop cabinet, a steep front bezel, and a small coin mechanism at one side. A round control knob on the top panel rotates continuously about a vertical shaft, and the coin return flap rotates on a small horizontal revolute hinge at the side-mounted acceptor panel.",openai,gpt-5.4,high,50,2.5,sdk,Arcade bar-top knob flap
20260402_sdk_misc_010,arcade_machine,Arcade Machine,"A compact stand-up racer arcade machine with a molded seat-back shell simplified into faceted panels, a steering wheel pod, and a rear electronics compartment. The steering wheel rotates continuously about its horizontal shaft, the rear compartment door rotates on a vertical side hinge, and a start button near the wheel translates prismatically in its guide bore.",openai,gpt-5.4,high,50,2.5,sdk,Arcade racer access panel
20260402_sdk_misc_011,casino_machine,Casino Machine,"A classic upright casino slot machine with a tall cabinet, a three-reel window, a side pull lever, and a lower payout tray. The three reels rotate continuously on parallel horizontal shafts behind the window, the side lever rotates on a transverse revolute pivot near the upper cabinet side, and the payout tray flap rotates on a small lower hinge at the front apron.",openai,gpt-5.4,high,50,2.5,sdk,Casino classic lever three reels
20260402_sdk_misc_012,casino_machine,Casino Machine,"A slant-top casino machine with an angled screen panel, a button deck, and a lockable belly door beneath the play area. The belly door rotates on a vertical side revolute hinge, a spin button on the deck translates prismatically in its sleeve, and a volume knob near the screen rotates continuously about its shaft.",openai,gpt-5.4,high,50,2.5,sdk,Casino slant top belly door
20260402_sdk_misc_013,casino_machine,Casino Machine,"A video-poker casino cabinet with a seated-height front panel, a card-button row, and a bill acceptor above the payout tray. The bill-acceptor flap rotates on a small horizontal hinge at the mouth of the acceptor, the payout tray flap rotates on a second horizontal hinge below, and a cash-out button translates prismatically on the control deck.",openai,gpt-5.4,high,50,2.5,sdk,Casino video poker bill flap
20260402_sdk_misc_014,casino_machine,Casino Machine,"A high-top slot machine with a narrow lower body, a tall topper housing, a reel window, and a service door on the front lower section. The reel set rotates continuously on parallel horizontal axes behind the display window, the side pull lever rotates on its revolute pivot at the cabinet flank, and the front service door rotates on a vertical hinge at one lower edge.",openai,gpt-5.4,high,50,2.5,sdk,Casino topper lever access door
