row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
single_rotor_helicopter_01,single_rotor_helicopter,Single-rotor helicopter,"A light utility helicopter with a streamlined fuselage, skid landing gear, a four-blade main rotor above the cabin roof, and a tail boom ending in a two-blade tail rotor. A small baggage hatch is mounted on the aft fuselage behind the cabin. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about a transverse axis at the tail boom end, and the baggage hatch rotates on a vertical side hinge.",openai,gpt-5.4,high,60,2.0,sdk,Light utility baggage hatch,true
single_rotor_helicopter_02,single_rotor_helicopter,Single-rotor helicopter,"A rescue helicopter with a boxy cabin body, wheeled landing gear, a roof-mounted main rotor mast, and a tail boom with a tail rotor near the fin. A large cabin door is mounted on a side rail for patient loading. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about a transverse tail axis, and the side cabin door slides prismatically along a longitudinal fuselage side rail.",openai,gpt-5.4,high,60,2.0,sdk,Rescue sliding cabin door,true
single_rotor_helicopter_03,single_rotor_helicopter,Single-rotor helicopter,"A civilian helicopter with a rounded nose, a bubble-style cabin, a two-blade main rotor, and a slim tail boom with a rear tail rotor. A baggage compartment door sits behind the passenger cabin on one side of the fuselage. The main rotor rotates continuously about the vertical rotor mast, the tail rotor rotates continuously about its transverse axis, and the baggage door rotates on a vertical side hinge.",openai,gpt-5.4,high,60,2.0,sdk,Civilian bubble baggage door,true
single_rotor_helicopter_04,single_rotor_helicopter,Single-rotor helicopter,"A training helicopter with a narrow fuselage, simple skid gear, a three-blade main rotor on a short roof mast, and a tail boom carrying a tail rotor at the tip. The cabin has one front door on each side with exposed hinges at the forward edge. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse axis at the tail boom tip, and each cabin door rotates on its own vertical hinge axis.",openai,gpt-5.4,high,60,2.0,sdk,Trainer twin front doors,true
single_rotor_helicopter_05,single_rotor_helicopter,Single-rotor helicopter,"A utility helicopter with a broad cabin, a roof-mounted main rotor hub, and a tail boom with a side-mounted tail rotor. A large sliding cargo door opens on one side of the cabin, and an engine service panel is mounted on the upper fuselage behind the mast. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about its lateral axis, the cargo door slides prismatically along a longitudinal cabin-side rail, and the service panel rotates on a vertical side hinge.",openai,gpt-5.4,high,60,2.0,sdk,Utility cargo door and service panel,true
single_rotor_helicopter_06,single_rotor_helicopter,Single-rotor helicopter,"A medical transport helicopter with a tall fuselage, skid landing gear, a four-blade main rotor, and a tail boom with a small tail rotor at the rear. One side carries a sliding patient door and the opposite side carries a hinged equipment-bay hatch. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the patient door slides prismatically along a longitudinal fuselage side rail, and the equipment hatch rotates on a vertical side hinge.",openai,gpt-5.4,high,60,2.0,sdk,Medical transport equipment hatch,true
single_rotor_helicopter_07,single_rotor_helicopter,Single-rotor helicopter,"An agricultural helicopter with a compact cockpit, a tank-backed fuselage, skid gear, a three-blade main rotor, and a tail boom ending in a tail rotor. Two engine cowling panels are mounted on the upper fuselage behind the rotor mast. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse axis at the boom end, and the cowling panels rotate upward on matched longitudinal top hinges.",openai,gpt-5.4,high,60,2.0,sdk,Agricultural cowling panels,true
single_rotor_helicopter_08,single_rotor_helicopter,Single-rotor helicopter,"An executive helicopter with a smooth cabin body, retract-fixed wheeled gear, a four-blade main rotor on the roof, and a tapered tail boom with a tail rotor. The passenger cabin has a hinged side door and the aft fuselage has a separate luggage hatch. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, and both access doors rotate on vertical side hinges.",openai,gpt-5.4,high,60,2.0,sdk,Executive cabin doors and hatch,true
single_rotor_helicopter_09,single_rotor_helicopter,Single-rotor helicopter,"An offshore transport helicopter with a long cabin, wheeled landing gear, a five-blade main rotor on a tall mast, and a tail boom with a high-mounted tail rotor. A wide passenger door is mounted on a sliding track near the middle of the fuselage, and a small maintenance hatch sits near the boom root. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about a transverse axis, the passenger door slides prismatically along a longitudinal side track, and the maintenance hatch rotates on a vertical side hinge.",openai,gpt-5.4,high,60,2.0,sdk,Offshore passenger slider,true
single_rotor_helicopter_10,single_rotor_helicopter,Single-rotor helicopter,"A police helicopter with a compact cabin, skid landing gear, a four-blade main rotor, and a tail boom with a rear tail rotor. One side of the cabin has a sliding access door, and a small rear equipment hatch is mounted behind it. The main rotor rotates continuously about the vertical mast axis, the tail rotor rotates continuously about the transverse tail axis, the access door slides prismatically along a longitudinal side rail, and the equipment hatch rotates on a vertical side hinge.",openai,gpt-5.4,high,60,2.0,sdk,Police surveillance access door,true
