row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
range_hood_with_articulated_controls_001,range_hood_with_articulated_controls,Range hood with articulated controls,"A realistic, highly detailed kitchen range hood with a metal canopy, visible intake or filter area, and integrated control features on the front or underside. Any access panels, filters, knobs, or switches articulate naturally, and the appliance should feel like a polished real-world design.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
stove_top_001,stove_top,Stove top,"A realistic, highly detailed stove top appliance with a substantial body, cooktop surface, front-facing controls, and an oven door below. The door and standard controls articulate naturally, and the appliance should feel like a real kitchen product with believable mass and finish.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
articulated_task_lamp_001,articulated_task_lamp,Articulated task lamp,"A realistic, highly detailed articulated task lamp with a weighted base or clamp mount, linked arm structure, and a focused lamp head. The arm joints and lamp head articulate naturally, and the lamp should feel like a refined real-world object with convincing balance, support, and mechanical character.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
desk_with_drawer_001,desk_with_drawer,Desk with drawer,"A realistic, highly detailed desk with an integrated drawer, featuring a sturdy tabletop, grounded leg or panel supports, a single front-facing sliding drawer, and a believable home-office or study-furniture appearance. The drawer articulates naturally along its sliding path, and the assembly should feel like a real manufactured desk with clean proportions, practical construction, and refined furniture detailing.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
stand_mixer_001,stand_mixer,Stand Mixer,"An artisan-style stand mixer with a broad pedestal base, a polished mixing bowl on a short front bowl carriage, and a rounded tilt head over the bowl. The bowl rides on a small prismatic slide relative to the base, the head rotates upward on a rear horizontal revolute hinge, the whisk spins continuously on a vertical drive under the head, a side speed lever on the base rotates on a small revolute pivot, and a head-lock button on the base translates on a short prismatic stroke.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
ceiling_light_fixture_001,ceiling_light_fixture,Ceiling light fixture,"A realistic, highly detailed ceiling light fixture with a compact ceiling mount, a layered light housing, and a believable residential or commercial fixture appearance with a standard hinged or opening access element. The service-access motion articulates naturally, and the assembly should feel like a real installed lighting product with clean mounting, refined finish, and practical construction.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
drawer_cabinet_with_sliding_drawers_001,drawer_cabinet_with_sliding_drawers,Drawer cabinet with sliding drawers,"A realistic, highly detailed drawer cabinet with a sturdy outer carcass, multiple sliding drawers, and practical handles or pulls. The drawers articulate naturally on believable supports, and the furniture should feel solid, functional, and true to real cabinetry construction.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
blender_001,blender,Blender,"A realistic, highly detailed blender with a sturdy motor base, clear pitcher, lid, and integrated controls. The lid, jar connection, and standard controls articulate naturally, and the appliance should feel like a practical real kitchen product with believable materials and finish.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
camera_lens_001,camera_lens,Camera Lens,"A realistic, highly detailed camera lens with a convincing barrel, glass elements, control rings, and professional optical-equipment character. The focus or zoom rings articulate naturally, and the object should feel like a real precision product with refined construction and finish.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
floor_lamp_001,floor_lamp,Floor lamp,"A realistic, highly detailed floor lamp with a weighted base, a tall upright stem, an articulated or adjustable lamp head, and a believable residential lighting-fixture appearance. The head adjustment articulates naturally, and the object should feel like a real manufactured lamp with grounded proportions, stable support, and refined hard-surface construction.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
extension_ladder_001,extension_ladder,Extension ladder,"A realistic, highly detailed extension ladder with nested rails, rung structure, and believable locking or sliding hardware. The extension motion articulates naturally, and the ladder should feel like real utility equipment with convincing proportions and support details.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
box_fan_with_control_knob_001,box_fan_with_control_knob,Box fan with control knob,"A realistic, highly detailed box fan with a square housing, protective grille, integrated carry features, and a visible control knob. The fan blades and controls articulate naturally, and the appliance should feel like a practical real product with convincing scale and construction.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
drillpress_tilt_table_001,drillpress_tilt_table,Drill-press tilt table,"A realistic, highly detailed drill-press tilt table with a robust mounting structure, flat work surface, and convincing adjustment hardware. The table tilt and standard locking features articulate naturally, and the assembly should feel like serious workshop equipment with clear structural support.",gemini,gemini-3.1-pro-preview,high,100,3,sdk,
