row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label,design_audit
gemini31pro_sample50_001_air_fryer_001,air_fryer_with_pullout_basket,Air fryer with pullout basket,"A basket-style air fryer with a rounded main housing, a pullout drawer, a perforated inner fry basket, and a top control panel with two rotary dials plus two separate preset buttons. The drawer assembly slides prismatically out from the lower front of the housing, the perforated basket is a separate supported shell nested inside the drawer, the temperature and time dials rotate continuously on the control panel, and both preset buttons are independent small prismatic push buttons. A safety release button on the basket handle moves prismatically into the handle body. The drawer, basket, and cooking chamber should read as real thin-wall hollow parts with a food cavity and vented basket interior, not solid blocks. Countertop appliance scale.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_air_fryer_with_pullout_basket_c926bf7e9ce7430d960f70eb53f3cc54,false
gemini31pro_sample50_002_row_1145,barrier_gate,Barrier gate,A farm swing gate on a pintle-post hinge with a wide rectangular timber-frame panel. The gate panel revolves on two revolute joints vertically aligned on a round timber post.,gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_barrier_gate_2e17b13d427c4e5990437b0fef1400f9,false
gemini31pro_sample50_003_bench_vise_with_prismatic_jaw_003,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A drill-press vise with a flat rectangular base, a low fixed rear jaw, and a side handwheel driving the moving jaw. The front jaw slides prismatically on the base guide ways, and the handwheel rotates continuously on the horizontal screw axis. Drill table vise scale.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_bench_vise_with_prismatic_jaw_32c2f405460740ca9d997f3bce3a028e,false
gemini31pro_sample50_004_benchtop_monocular_laboratory_microscope_002,benchtop_monocular_laboratory_microscope,Benchtop Monocular Laboratory Microscope,"A compact laboratory monocular microscope with a heavy base, a swept arm, a monocular head, and a rectangular specimen stage, plus a diaphragm lever under the stage. the stage and optical body stay as clearly separate supported assemblies, and the lever is supported by the condenser housing instead of floating under the stage. The optical body carriage slides prismatically on the vertical column, the objective turret rotates continuously about the optical axis, and the stage carriage slides prismatically left to right, and the diaphragm lever rotates on a short pivot beneath the stage. Benchtop lab scale.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_benchtop_monocular_laboratory_microscope_8e23a7bd1edb4ef09e02382f39eccfd4,false
gemini31pro_sample50_005_row_0212,bicycle_crankset_and_pedal_assembly,Bicycle crankset and pedal assembly,"A triple-chainring road crankset with two matching hollow crank arms on a two-piece spindle on a revolute axle through the bottom-bracket shell, three chainrings of graduated diameter bolted to the right arm spider, and clip-in road pedals on stub revolute axles at each crank tip.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_bicycle_crankset_and_pedal_assembly_ae2baa8af500461f881edaf1fcf9a7a1,false
gemini31pro_sample50_006_row_0009,bicycle_fork_and_handlebar_assembly,Bicycle fork and handlebar assembly,"A road track bike fork with a slim oval-section steel crown, two straight tensioned blades, and a threaded steerer clamped in a quill stem with a center expander bolt. Dropped pursuit handlebars clamp at the stem extension tip on a pinch-bolt collar. Articulate the steering motion in a realistic way.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_bicycle_fork_and_handlebar_assembly_282510776bd94d01853791cb9d791aba,false
gemini31pro_sample50_007_row_0044,bicycle_fork_and_handlebar_assembly,Bicycle fork and handlebar assembly,"A fat bike fork with a wide alloy crown, oversized blades, a steerer on a revolute joint in a tapered head tube, and wide flat handlebars.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_bicycle_fork_and_handlebar_assembly_0008,false
gemini31pro_sample50_008_box_fan_with_control_knob_015,box_fan_with_control_knob,Box fan with control knob,"A window-mount box fan with a square housing, hinged side expansion panels, and one front control knob. The side panels rotate outward on vertical hinges at the housing sides, the blade spins continuously on the central axle, and the front control knob rotates continuously on its short shaft. Window ventilation scale.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_box_fan_with_control_knob_c357865be60f4a25b2bf0bc3dff4de22,false
gemini31pro_sample50_009_rec_box_fan_with_control_knob_0007,box_fan_with_control_knob,Box fan with control knob,"A window box fan with a wide rectangular housing, twin fan rotors each on separate revolute axles, and a rotary control knob on the top edge.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_box_fan_with_control_knob_0007,false
gemini31pro_sample50_010_row_0235,box_fan_with_control_knob,Box fan with control knob,"A desk gooseneck USB fan with a flat clamp base, a three-link rigid arm with revolute shoulder and elbow joints, a small round fan head at the arm tip that tilts on a horizontal revolute joint, and a speed dial on a revolute joint on the fan head rear face.",gemini,gemini-3.1-pro-preview,high,300,sdk,Gemini sample from rec_box_fan_with_control_knob_af82773fcfee4c958543fe68ea779669,false
