row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
row_0003,articulated_task_lamp,Articulated task lamp,"A magnifying work lamp with a wide cast-iron base, a two-segment arm with revolute shoulder and elbow joints, and a circular ring shade with a pivoting lens frame on a revolute tilt joint at the arm tip.",openai,gpt-5.4,high,50,sdk,Articulated task lamp — magnifying work lamp two-segment arm circular ring shade tilt
row_0004,articulated_task_lamp,Articulated task lamp,"A swing-arm desk lamp with a C-clamp mount, a horizontal boom on a revolute joint at the clamp head, and a conical reflector shade on a tilt revolute joint at the boom end.",openai,gpt-5.4,high,50,sdk,Articulated task lamp — C-clamp mount horizontal boom conical shade tilt revolute
row_0005,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A binocular telescope with two parallel refractor tubes joined by a wide bridge frame, the frame pivoting for altitude on a horizontal revolute axis in a single-arm alt-azimuth yoke mount, the yoke rotating for azimuth on a vertical revolute joint on a heavy steel tripod.",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — binocular twin refractor tubes yoke alt-az heavy tripod
row_0006,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A spotting-scope on a photo pan-tilt tripod head with a straight angled body, panning on a continuous revolute joint and tilting on a horizontal revolute axis on the pan-tilt platform, the platform on a three-leg folding tripod with each leg pair extending on a prismatic joint.",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — spotting-scope photo pan-tilt head folding tripod prismatic legs
row_0007,barrier_gate,Barrier gate,"A parking garage barrier with a rectangular steel housing, a tapered counterweighted boom arm hinged at the housing top on a horizontal revolute joint, and a spring-stop plate at the housing rear.",openai,gpt-5.4,high,50,sdk,Barrier gate — parking garage rectangular housing tapered counterweighted boom rear stop plate
row_0008,barrier_gate,Barrier gate,"A railway level crossing barrier with a wide rectangular base cabinet, a long horizontal boom arm hinged at the cabinet on a revolute joint, and a folding end section that hinges downward on a secondary revolute joint at the arm midpoint when the arm raises.",openai,gpt-5.4,high,50,sdk,Barrier gate — railway level crossing long boom folding end section secondary revolute
row_0009,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A brick campanile with a square shaft, an open belfry tier with round-arched column openings, and a cast-iron bell hanging from a wooden yoke that pivots on a horizontal revolute joint at the belfry ceiling tie beam.",openai,gpt-5.4,high,50,sdk,Bell tower with swinging bell — brick campanile square shaft round-arch belfry wooden yoke revolute
row_0010,bell_tower_with_swinging_bell,Bell tower with swinging bell,"A timber-frame bell cote with two raked upright posts meeting at a gabled apex, a bronze bell hanging from an arched yoke on a revolute joint at the apex ridge beam, and a clapper suspended inside the bell on a secondary revolute pin.",openai,gpt-5.4,high,50,sdk,Bell tower with swinging bell — timber-frame cote gabled apex yoke revolute clapper secondary pin
row_0011,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A cross-slide milling vise with a rectangular base block, a lower jaw sliding on a transverse X-axis prismatic joint, and a secondary upper jaw on a perpendicular Y-axis prismatic joint above for compound angle clamping.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw — cross-slide milling vise XY compound prismatic jaws
row_0012,bench_vise_with_prismatic_jaw,Bench vise with prismatic jaw,"A jaw-in-jaw drill vise with a flat base plate, a fixed rear jaw block, a primary front jaw on flat prismatic guide rails driven by a central leadscrew with a T-bar handle, and a small auxiliary top jaw on a secondary prismatic joint riding on the primary front jaw for clamping round stock.",openai,gpt-5.4,high,50,sdk,Bench vise with prismatic jaw — drill vise jaw-in-jaw primary prismatic leadscrew auxiliary top jaw secondary prismatic
