row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
branching_tree_with_three_independent_rotary_branches_to10_realism_high_08,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A three-branch inspection fixture head with a tall rectangular spine, a low side arm, a forward arm, and a high arm ending in three different mounting pads. Each branch is carried from its own collar, trunnion block, or clevis support at a different elevation so the assembly reads as three separate mechanisms tied to one mast. The whole unit should feel like real bench fixturing with machined hubs, welded mast plates, bearing caps, and believable section thickness where the branches load the spine. The lower arm is a revolute joint about a transverse shaft, the forward arm is a revolute joint about a vertical stub axis, and the upper arm is a revolute joint about a longitudinal support shaft. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Branching tree with three independent rotary branches Realism Backfill 8
branching_tree_with_three_independent_rotary_branches_to10_realism_high_09,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A compact tooling tree with a boxed mast, a forked lower branch, a plate-style middle branch, and a short yoke-ended upper branch projecting from different faces of the mast. The mast should use visibly different branch brackets and support blocks so each moving member looks intentionally mounted rather than copied around one hub. Push the realism with bolted clamp collars, gusseted branch roots, removable cap plates, and enough depth in the spine to feel load-bearing. All three branches are independent revolute joints on their own supported axes, with the branch directions kept visually distinct so their motion envelopes are easy to read. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Branching tree with three independent rotary branches Realism Backfill 9
branching_tree_with_three_independent_rotary_branches_to10_realism_high_10,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A metrology fixture tree with a rigid center column, one short branch near the base, one straight branch at mid-height, and one angled branch near the top. Each branch should terminate in a different pad or fork shape and should connect back to the column through its own bearing housing and side support geometry. The assembly should read as real industrial hardware with turned journals, machined side cheeks, stop lugs, and practical clearances around the rotating roots. The three branches are separate revolute joints about three clearly supported local hub axes mounted at staggered heights on the column. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Branching tree with three independent rotary branches Realism Backfill 10
branching_tree_with_two_independent_rotary_branches_to10_realism_high_08,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A two-branch fixture tree built around a tall rectangular spine with one upper fork arm and one lower plate arm mounted on opposite sides of the spine. The upper branch should sit in side cheeks near the spine top while the lower branch sits on its own pedestal block below, making the two support systems visibly different. Make it feel like real tooling with machined journals, bearing caps, small stop tabs, and enough backbone thickness that the mast reads as a rigid structural member. The upper branch is a revolute joint about a horizontal cross-shaft and the lower branch is an independent revolute joint about a vertical stub axis. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Branching tree with two independent rotary branches Realism Backfill 8
branching_tree_with_two_independent_rotary_branches_to10_realism_high_09,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A dual-arm positioning tree with a central mast, a short forward branch near the top, and a longer side branch mounted lower down, each ending in a compact tooling pad. The mast should carry each arm through a different hub package so the moving roots do not look mirrored or interchangeable. Use believable industrial detailing such as split bearing carriers, gusset plates, clamp flanges, and sensible clearances around the swept arms. One branch is a revolute joint about a front-to-back axis and the other branch is a revolute joint about a left-to-right axis, both tied to explicit support hardware on the mast. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Branching tree with two independent rotary branches Realism Backfill 9
branching_tree_with_two_independent_rotary_branches_to10_realism_high_10,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A bench fixture tree with a narrow backbone, a lower cantilever arm, and a higher offset arm that projects from a side-mounted hub cartridge. The two branches should differ in length and tip geometry so the silhouette stays asymmetric and clearly category-correct. The structure should read as real machine-fixture hardware with stout hub blocks, shoulder collars, plate reinforcements, and grounded mechanical proportions. The lower arm rotates on its own supported shaft and the upper arm rotates on a separate supported shaft, giving two independent revolute joints on different branch supports. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Branching tree with two independent rotary branches Realism Backfill 10
cantilever_articulated_arm_to10_realism_high_08,cantilever_articulated_arm,Cantilever articulated arm,"A floor-pedestal service arm with a heavy root column, an offset shoulder yoke, a long upper link, a shorter forearm, and a compact circular tool flange. The links should be boxed or ribbed and each joint should sit in clear side plates or clevis cheeks so the support structure is easy to trust. It should feel like real reach hardware with cast joint housings, machined caps, trimmed cable covers where they make sense, and believable mass around the shoulder and elbow. Shoulder and elbow are revolute joints about parallel horizontal axes, and the wrist is a separate revolute joint about the forearm tool axis. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Cantilever articulated arm Realism Backfill 8
cantilever_articulated_arm_to10_realism_high_09,cantilever_articulated_arm,Cantilever articulated arm,"A wall-mounted transfer arm with a stout backplate, an angled shoulder bracket, a tapered first link, a deep elbow knuckle, and a square end plate. The wall plate and shoulder package should read as the heaviest part of the assembly, with the forearm and wrist head progressively lighter toward the tip. Use realistic mechanical detailing like bolted split housings, end caps, side ribs, and practical spacing around the knuckle volumes so it feels manufacturable. The shoulder and elbow rotate about supported horizontal pivots from separate knuckle blocks, and the end plate sits on its own wrist revolute axis. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Cantilever articulated arm Realism Backfill 9
cantilever_articulated_arm_to10_realism_high_10,cantilever_articulated_arm,Cantilever articulated arm,"A machine-tending arm with a short pedestal base, a tall shoulder fork, a deep first link, a slimmer second link, and a compact cylindrical wrist nose. The arm should clearly show which parts are fixed supports and which parts are moving links, with no ambiguity at the joint roots. Aim for believable industrial realism with machined trunnion cheeks, inspection covers, flange rings, and carefully proportioned link thicknesses. The shoulder and elbow are serial revolute joints about parallel cross-axes, and the wrist is an independent revolute joint about the local tool axis. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Cantilever articulated arm Realism Backfill 10
coaxial_rotary_stack_to10_realism_high_08,coaxial_rotary_stack,Coaxial rotary stack,"A drum-style rotary indexing head with a wide circular base, a raised middle collar, and a narrow top tooling nose all centered on one vertical core. The three stages should step in diameter and height so they read as nested mechanical levels instead of one simple cylinder. Push the realism with believable bearing lands, retainer flanges, split clamp details, and machined shoulder transitions between each stage. The base, middle collar, and top nose are separate revolute joints about the shared vertical shaft. Keep every part mechanically grounded with no floating members, and make sure the articulation paths stay clear so nothing clips through covers, stops, housings, rails, or neighboring links.",openai,gpt-5.4,high,40,sdk,Coaxial rotary stack Realism Backfill 8
