row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,scaffold_mode,label,design_audit
stand_mixer_001,stand_mixer,Stand Mixer,"An artisan-style stand mixer with a broad pedestal base, a polished mixing bowl on a short front bowl carriage, and a rounded tilt head over the bowl. The bowl rides on a small prismatic slide relative to the base, the head rotates upward on a rear horizontal revolute hinge, the whisk spins continuously on a vertical drive under the head, a side speed lever on the base rotates on a small revolute pivot, and a head-lock button on the base translates on a short prismatic stroke.",openai,gpt-5.4,high,65,,sdk,,Artisan enamel whisk,false
stand_mixer_002,stand_mixer,Stand Mixer,"A retro home baking stand mixer with a compact cast-metal base, a stainless bowl carried just ahead of the neck, and a bulbous head fitted with a flat beater. Keep the canonical articulation tree: a short prismatic bowl-adjustment slide at the base front, a rear revolute tilt-head hinge, a continuous vertical beater shaft beneath the head, a base-mounted speed knob on a revolute joint, and a base-mounted head-lock plunger on a short prismatic joint.",openai,gpt-5.4,high,65,,sdk,,Retro flat beater,false
stand_mixer_003,stand_mixer,Stand Mixer,"A modern countertop stand mixer with a low wide base, a deep brushed-steel bowl on a small carriage, and a streamlined head carrying a dough hook. The bowl must move prismatically relative to the base on a short fore-aft adjustment slide, the head must tilt on one rear horizontal revolute hinge, the tool shaft must rotate continuously about the vertical mixing axis, the speed selector on the base must rotate on a small revolute joint, and the head-lock control on the base must translate prismatically.",openai,gpt-5.4,high,65,,sdk,,Modern dough hook,false
stand_mixer_004,stand_mixer,Stand Mixer,"A compact apartment stand mixer with a squat pedestal, a smaller mixing bowl on a front carriage, and a smooth rounded head over the bowl. Use the same stand-mixer kinematic structure in the prompt: base-to-bowl short prismatic slide, base-to-head rear revolute tilt hinge, head-to-beater continuous vertical rotation, base speed control as a small revolute lever, and base head-lock as a short prismatic push control.",openai,gpt-5.4,high,65,,sdk,,Compact apartment,false
stand_mixer_005,stand_mixer,Stand Mixer,"A commercial bakery stand mixer scaled for a worktable, with a heavy motor pedestal, a thick rolled-rim bowl on a short carriage, and a robust tilt head carrying a spiral dough hook. The bowl adjusts on a short prismatic slide at the base front, the head opens upward on a rear horizontal revolute hinge, the attachment rotates continuously about the vertical spindle axis, the speed selector on the base rotates on a revolute pivot, and the lock release on the base slides prismatically.",openai,gpt-5.4,high,65,,sdk,,Commercial spiral hook,false
stand_mixer_006,stand_mixer,Stand Mixer,"A glossy enamel stand mixer with a teardrop-shaped motor head, a bright steel bowl on a shallow carriage, and a balloon whisk beneath the nose. Articulation should stay canonical: the bowl moves on one short prismatic slide from the base, the head tilts on one rear revolute hinge, the whisk spins continuously on a vertical axis, a base-mounted speed dial rotates on a small revolute joint, and a base-mounted lock button translates on a short prismatic joint.",openai,gpt-5.4,high,65,,sdk,,Glossy teardrop,false
stand_mixer_007,stand_mixer,Stand Mixer,"A matte-finish stand mixer with a thick neck rising from the rear of the base, a wide bowl on a compact carriage, and a head fitted with a paddle attachment. The bowl carriage should be a short prismatic stage relative to the base, the head should tilt upward on a single rear revolute hinge, the paddle should spin continuously under the head, the speed control on the base should be a small revolute knob, and the head-lock on the base should be a short prismatic slider.",openai,gpt-5.4,high,65,,sdk,,Matte paddle,false
stand_mixer_008,stand_mixer,Stand Mixer,"A chrome-trimmed stand mixer with a rounded base, a polished bowl seated on a front slide carriage, and a head carrying a wire whisk. Specify the full canonical tree in the prompt: base to bowl prismatic slide, base to head rear revolute tilt joint, head to whisk continuous vertical rotary drive, base speed control as a revolute side lever, and base head-lock as a short prismatic push button.",openai,gpt-5.4,high,65,,sdk,,Chrome trimmed,false
stand_mixer_009,stand_mixer,Stand Mixer,"A pastel kitchen stand mixer with soft product styling, a rolled-rim bowl on a small base carriage, and a rounded head fitted with a dough hook. Keep the kinematics fixed to the golden structure: the bowl translates on a short prismatic base slide, the head tilts on a rear horizontal revolute hinge, the hook rotates continuously about the vertical tool axis, the speed selector on the base rotates revolutely, and the head-lock control on the base translates prismatically.",openai,gpt-5.4,high,65,,sdk,,Pastel kitchen,false
stand_mixer_010,stand_mixer,Stand Mixer,"A black-and-steel stand mixer with a muscular pedestal, a deep bowl carried near the front of the base, and a tall head nose fitted with a flat beater. The bowl must remain on a short prismatic carriage from the base, the head must open upward on one rear revolute hinge, the beater must spin continuously beneath the head, the speed control on the base must rotate on a small revolute axis, and the head-lock release on the base must slide prismatically.",openai,gpt-5.4,high,65,,sdk,,Black steel,false
stand_mixer_011,stand_mixer,Stand Mixer,"A rounded 1950s-inspired stand mixer with a curved base shell, a bright bowl on a low carriage, and a compact head carrying a balloon whisk. Use one canonical articulation set only: short prismatic bowl slide at the base front, rear horizontal revolute head tilt, continuous vertical whisk drive under the head, revolute speed control mounted on the base, and prismatic head-lock control mounted on the base.",openai,gpt-5.4,high,65,,sdk,,1950s rounded,false
stand_mixer_012,stand_mixer,Stand Mixer,"A minimalist stand mixer with clean surfaces, a cylindrical mixing bowl on a neat carriage, and a smooth oval head with a dough hook. The articulation should explicitly match the stand-mixer tree: the bowl adjusts on a short prismatic slide from the base, the head tilts up on a rear revolute hinge, the tool rotates continuously about a vertical axis under the head, the speed selector on the base rotates on a small revolute joint, and the head lock on the base moves prismatically.",openai,gpt-5.4,high,65,,sdk,,Minimal oval,false
stand_mixer_013,stand_mixer,Stand Mixer,"A deluxe home-baking stand mixer with a heavy die-cast base, a broad stainless bowl on a front carriage, and a head with a short nose carrying a wire whisk. Keep the bowl on a short prismatic adjustment stage at the base, keep the head on a rear horizontal revolute tilt hinge, keep the whisk on a continuous vertical rotary drive, keep the speed control as a base-mounted revolute knob, and keep the head-lock as a base-mounted short prismatic button.",openai,gpt-5.4,high,65,,sdk,,Deluxe whisk,false
stand_mixer_014,stand_mixer,Stand Mixer,"A narrow-footprint stand mixer with a tall rear neck, a smaller bowl on a compact bowl carriage, and a lightweight head carrying a paddle. The bowl should slide prismatically a short distance relative to the base, the head should tilt on one rear revolute hinge, the paddle should rotate continuously on the vertical spindle, the speed lever on the base should rotate on a revolute pivot, and the lock release on the base should translate on a short prismatic travel.",openai,gpt-5.4,high,65,,sdk,,Narrow footprint,false
stand_mixer_015,stand_mixer,Stand Mixer,"A premium brushed-metal stand mixer with a sculpted base, a mirror-finish bowl on a short front slide, and a rounded head with a spiral dough hook. Preserve the canonical kinematic tree in the prompt: base-to-bowl short prismatic carriage, base-to-head rear revolute tilt hinge, head-to-hook continuous vertical rotation, base speed control on a revolute joint, and base head-lock on a short prismatic joint.",openai,gpt-5.4,high,65,,sdk,,Premium brushed,false
stand_mixer_016,stand_mixer,Stand Mixer,"A bakery-prep stand mixer with a thick pedestal base, a reinforced bowl carriage supporting a large bowl, and a robust tilt head carrying a C-shaped dough hook. The bowl moves on a short prismatic slide at the base front, the head rotates upward on a rear horizontal revolute hinge, the hook spins continuously beneath the head, the speed selector on the base rotates on a small revolute pivot, and the head-lock release on the base translates prismatically.",openai,gpt-5.4,high,65,,sdk,,Bakery prep,false
stand_mixer_017,stand_mixer,Stand Mixer,"A colorful consumer stand mixer with a wide oval base, a polished bowl on a small slide carriage, and a bulbous head fitted with a wire whisk. Make the prompt explicit that the bowl is on a short prismatic stage relative to the base, the head is on a rear revolute tilt hinge, the whisk spins continuously on a vertical axis, the speed control on the base is a small revolute lever, and the head-lock on the base is a short prismatic push button.",openai,gpt-5.4,high,65,,sdk,,Colorful consumer,false
stand_mixer_018,stand_mixer,Stand Mixer,"A satin-finish stand mixer with a broad heel, a front-mounted steel bowl on a compact carriage, and a compact nose carrying a flat beater. Its articulation must stay canonical: the bowl carriage slides prismatically, the head tilts on a rear horizontal revolute joint, the beater spins continuously beneath the head, the base speed selector rotates on a revolute joint, and the base lock control translates on a short prismatic stroke.",openai,gpt-5.4,high,65,,sdk,,Satin finish,false
stand_mixer_019,stand_mixer,Stand Mixer,"An upscale kitchen stand mixer with a smooth painted shell, a rounded bowl on a short fore-aft carriage, and a low-profile head holding a dough hook. The bowl must translate on a small prismatic slide from the base, the head must rotate on a rear tilt hinge, the tool shaft must rotate continuously on the vertical mixing axis, the speed control on the base must rotate revolutely, and the head-lock control on the base must translate prismatically.",openai,gpt-5.4,high,65,,sdk,,Upscale painted,false
