row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label
dishwasher_001,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A full-size residential dishwasher with a stainless front door, a deep molded tub, upper and lower wire racks on side rails, and a broad top-edge control strip. The front door rotates downward on a bottom horizontal revolute hinge, the upper and lower racks slide prismatically on their supported rails, the detergent-cup cover on the inner door opens on a small revolute hinge, and the upper and lower spray arms rotate continuously on central hubs inside the tub. Every visible control button in the top strip is a separate small prismatic push button, and the cycle selector knob rotates continuously about its own axis. The wash tub should read as a real hollow cavity behind the open door, with thin shell walls and open rack volumes rather than a solid block. Full under-counter kitchen scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Full size dishwasher with articulated controls
dishwasher_002,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A panel-ready dishwasher with a plain outer front, a dropdown door, a tall interior wash chamber, a shallow third cutlery tray above two deeper racks, and a concealed top-edge control cluster. The door rotates on a lower horizontal revolute hinge, the cutlery tray and both main racks each slide prismatically on their own guide supports, and the two wash arms rotate continuously on vertical hubs at the lower floor and below the upper rack. The start button, cancel button, and three visible program buttons in the top-edge cluster are separate small prismatic push buttons, and the latch-release button near the handle moves prismatically into the control edge. Keep the interior as a believable hollow tub with open rack wirework, not a filled solid volume. Standard built-in appliance scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Panel ready dishwasher with third rack
dishwasher_003,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A compact countertop dishwasher with a wide front drop door, a single deep dish rack on telescoping side runners, a smaller upper cup shelf, and a right-side control pod with a timer dial plus two mode buttons. The front door rotates downward on a lower revolute hinge, the main rack slides prismatically on the cabinet depth axis, the upper cup shelf folds on two small matched revolute side pivots, and the lower spray arm rotates continuously on its center hub. The timer dial rotates continuously, and both mode buttons are separate prismatic push buttons in the side control pod. The wash chamber should be clearly hollow with an open cavity around the rack and spray arm rather than a solid cabinet interior. Compact countertop scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Compact dishwasher with cup shelf
dishwasher_004,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A commercial undercounter dishwasher with a boxy stainless body, a heavy dropdown front door, a single deep square rack, a detergent door inside the main door, and a front control panel with a big cycle knob, a start button, and two indicator buttons. The main door rotates on a bottom horizontal revolute hinge, the rack slides prismatically on paired internal guides, the detergent flap opens on a small revolute hinge on the inner door panel, and the wash arm assembly rotates continuously about a vertical center axis in the sump area. The cycle knob rotates continuously, and each visible front-panel button is an independent small prismatic push button. Keep the chamber, rack, and sump area as a true open wash volume, not a solid box behind the facade. Undercounter restaurant scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Commercial dishwasher with detergent flap
dishwasher_005,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A modern tall-tub dishwasher with a broad door, two main racks plus a narrow utensil tray, a recessed handle bar, and a top control bank with a dial flanked by separate option buttons. The door rotates downward on a bottom revolute hinge, all three rack levels slide prismatically on their own supported rails, the rinse-aid cap on the inner door rotates continuously on its own local axis, and the upper and lower spray arms rotate continuously on their hubs inside the tub. The dial rotates continuously, and each option button in the control bank is a separate small prismatic push control rather than one fused panel. The tub, door liner, and rack interiors should read as thin-walled hollow appliance geometry with visible open loading space. Full kitchen built-in scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Tall tub dishwasher with utensil tray
air_fryer_001,air_fryer_with_pullout_basket,Air fryer with pullout basket,"A basket-style air fryer with a rounded main housing, a pullout drawer, a perforated inner fry basket, and a top control panel with two rotary dials plus two separate preset buttons. The drawer assembly slides prismatically out from the lower front of the housing, the perforated basket is a separate supported shell nested inside the drawer, the temperature and time dials rotate continuously on the control panel, and both preset buttons are independent small prismatic push buttons. A safety release button on the basket handle moves prismatically into the handle body. The drawer, basket, and cooking chamber should read as real thin-wall hollow parts with a food cavity and vented basket interior, not solid blocks. Countertop appliance scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Round air fryer with release button
air_fryer_002,air_fryer_with_pullout_basket,Air fryer with pullout basket,"A digital air fryer with a tall rectangular body, a lower pullout basket drawer, a glossy front control face, and a top exhaust opening above the heating chamber. The basket drawer slides prismatically along the body depth axis, the selector dial below the display rotates continuously, and six visible program buttons on the front face are separate small prismatic push buttons. A small release button on top of the basket handle moves prismatically along its local press axis. The cooking cavity and removable basket should be clearly hollow and open inside, with thin shell walls and a distinct inner volume rather than a filled solid mass. Large countertop scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Digital air fryer with front buttons
air_fryer_003,air_fryer_with_pullout_basket,Air fryer with pullout basket,"A compact round air fryer with a bulbous upper shell, a short pullout drawer, a removable crisping plate inside the basket, and a front control strip with three raised mode buttons and a timer knob. The drawer slides prismatically out from the lower front, the timer knob rotates continuously, each visible mode button is an independent small prismatic push button, and the release latch at the basket handle slides prismatically to free the inner basket. The inner basket and crisping area should be believable hollow kitchen shells with perforation openings and a real food cavity, not solid lumps. Small countertop scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Compact air fryer with crisping plate
air_fryer_004,air_fryer_with_pullout_basket,Air fryer with pullout basket,"A wide family-size air fryer with a squared body, a deep front drawer, a broad handle with a latch button, and a sloped top panel carrying a central selector knob surrounded by four preset buttons. The drawer moves prismatically on internal side guides, the selector knob rotates continuously about its center axis, the four preset buttons are separate prismatic push buttons, and the handle latch button moves prismatically along its local press axis. The basket shell, the outer drawer shell, and the cooking chamber above them should all remain visibly hollow with open interior volume. Large countertop appliance scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Family air fryer with top selector
air_fryer_005,air_fryer_with_pullout_basket,Air fryer with pullout basket,"A glass-window air fryer with a vertical main body, a pullout lower basket drawer, a short viewing window in the drawer face, and a right-side control cluster with two dials and three separate buttons. The basket drawer slides prismatically out from the front of the housing, both control dials rotate continuously on their own axes, all three control buttons move independently as small prismatic push buttons, and the basket-handle release button slides prismatically within the handle. Keep the drawer and inner basket as thin-wall hollow parts with a real cooking cavity that reads through the open top and front window rather than as a solid block. Countertop kitchen scale.",gemini,gemini-3.1-pro-preview,high,300,,strict,Windowed air fryer with side controls
