row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label,design_audit
cash_register_realism_001,cash_register,Cash register,"A supermarket cash register with a broad cash-drawer base, a sloped operator console, a customer display on a rear neck, and a dense rectangular keypad with distinct raised keys. The cash drawer slides prismatically out from the base, the customer display tilts on a horizontal revolute hinge, and every individual keypad button is a separate small prismatic push button moving along its local press axis. Realistic countertop checkout scale with an injection-molded housing, key spacing, and a believable screen bezel.",openai,gpt-5.4,high,180,,strict,Register realism dense keypad articulated keys,false
cash_register_realism_002,cash_register,Cash register,"A compact point-of-sale register with a rectangular drawer base, an angled upper control pod, a rear operator screen on a swivel mount, and a front-facing bank of menu keys and numeric buttons. The drawer translates on one prismatic axis, the screen swivels on a vertical revolute joint and tilts on a horizontal revolute joint at the top of the mount, and every visible control key is an individual prismatic push button seated in the console face. Desktop retail scale with a realistic plastic shell, recessed seams, and a slightly stepped control panel.",openai,gpt-5.4,high,190,,strict,POS realism articulated keys and screen,false
cash_register_realism_003,cash_register,Cash register,"An older electronic cash register with a wide metal cash drawer, a tall stepped housing, a rear customer display, and a full keypad with large square department keys plus smaller number keys. The cash drawer slides forward prismatically, the customer display head pitches on a revolute joint at the top of its support post, and all visible department keys and number keys are separate prismatic buttons that depress individually along their own local axes. Realistic checkout-counter scale with a robust molded enclosure, drawer front lip, and believable keycap heights.",openai,gpt-5.4,high,190,,strict,Legacy register fully articulated keypad,false
rice_cooker_realism_001,rice_cooker,Rice cooker,"A domestic rice cooker with a rounded metal body, a rear-hinged lid with a steam vent, a front latch button, and a small control panel with separate cook and warm buttons. The lid rotates upward on a rear horizontal revolute hinge, the front latch button moves prismatically into the body, and each control-panel button is a separate prismatic push button on the front face. Compact kitchen-appliance scale with a realistic carry handle, lid rim, and slightly domed outer shell.",openai,gpt-5.4,high,160,,strict,Rice cooker realism front buttons and latch,false
rice_cooker_realism_002,rice_cooker,Rice cooker,"A modern rice cooker with an oval plastic housing, a top-opening lid, a front display area, and a ring of distinct preset buttons around a central selector dial. The lid opens on a rear revolute hinge, the selector dial rotates continuously about its center axis, and every separate preset button on the front panel is an individual prismatic push button. Countertop scale with a believable vent cap, lid seam, and softly radiused housing walls.",openai,gpt-5.4,high,170,,strict,Rice cooker realism preset buttons and dial,false
rice_cooker_realism_003,rice_cooker,Rice cooker,"A simple household rice cooker with a cylindrical body, a hinged upper lid, a front release button, and a compact control cluster with two raised mode buttons. The lid rotates on a horizontal hinge at the rear rim, the release button slides prismatically to unlatch the lid, and both mode buttons are separate prismatic push buttons mounted in the control cluster. Small appliance scale with a realistic lid overhang, body-foot spacing, and a stamped metal inner-lid frame implied by the outer form.",openai,gpt-5.4,high,160,,strict,Rice cooker realism two button cluster,false
zippo_lighter_realism_001,zippo_lighter,Zippo lighter,"A classic brushed-metal flip-top lighter with a rectangular outer case, a fitted inner chimney insert, and a striker wheel beside the wick opening. The lid rotates upward on a side-mounted revolute hinge, and the striker wheel spins continuously on its transverse axle between the chimney guards. Pocket-size metal object scale with realistic corner radii, hinge barrel spacing, and chimney perforations.",openai,gpt-5.4,high,130,,strict,Zippo realism hinge and striker wheel,false
zippo_lighter_realism_002,zippo_lighter,Zippo lighter,"A polished pocket lighter with a boxy lower shell, a hinged cap, a perforated chimney insert, and a ribbed thumb wheel ahead of the wick opening. The cap opens on a narrow side revolute hinge, and the thumb wheel rotates continuously about its short axle above the insert body. Small handheld scale with believable shell thickness, lid fit, and crisp pressed-metal proportions.",openai,gpt-5.4,high,130,,strict,Zippo realism polished metal case,false
zippo_lighter_realism_003,zippo_lighter,Zippo lighter,"A windproof lighter with a rectangular chrome case, a flip-top cap, an exposed striker wheel, and a perforated chimney insert rising from the body. The cap rotates on a single side hinge axis, and the striker wheel rotates continuously on its shaft near the chimney opening. Pocket carry scale with realistic hinge clearance, lid overlap, and chimney-wall perforation pattern.",openai,gpt-5.4,high,130,,strict,Zippo realism chrome windproof form,false
waffle_maker_realism_001,waffle_maker,Waffle maker,"A countertop waffle maker with a cast lower cooking base, a domed upper lid on a rear hinge, a front indicator panel, and separate power and ready buttons beside a browning dial. The upper lid rotates upward on a rear horizontal revolute hinge, the browning dial rotates continuously about its center axis, and each visible front-panel button is a separate prismatic push button. Compact kitchen-appliance scale with a realistic front handle, hinge cover, and molded side cheeks.",openai,gpt-5.4,high,160,,strict,Waffle maker realism buttons and dial,false
