row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,scaffold_mode,label,design_audit
dishwasher_plus15_01,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A European-style built-in dishwasher with a flat front, a dropdown door, two deep sliding racks, a narrow top cutlery tray, and a concealed top-edge control strip. The door rotates downward on a bottom horizontal revolute hinge, the upper rack, lower rack, and cutlery tray each slide prismatically on their own guides, and the upper and lower spray arms rotate continuously on central hubs inside the tub. A fold-down stemware shelf on the upper rack rotates on matched side pivots, the detergent-cup cover on the inner door opens on a small hinge, and each visible top-edge button is a separate small prismatic push button. The wash tub should read as a hollow thin-wall cavity with open rack volumes rather than a solid block. Built-in kitchen scale.",openai,gpt-5.4,high,190,,strict,Hidden controls cutlery tray and stemware shelf,false
dishwasher_plus15_02,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A black-glass-front dishwasher with a wide dropdown door, two wire racks, a removable silverware caddy riding on the lower rack, and a front fascia with a large cycle dial plus three program buttons. The door rotates on a lower horizontal revolute hinge, the upper and lower racks slide prismatically on side rails, and the upper and lower spray arms rotate continuously inside the tub. The cycle dial rotates continuously, all three visible buttons are separate small prismatic push buttons, and a short fold-down cup shelf on the upper rack rotates on side pivots. Keep the interior as a real hollow wash chamber with open rack structure and visible loading space. Full-size domestic scale.",openai,gpt-5.4,high,190,,strict,Black glass front with dial and cup shelf,false
dishwasher_plus15_03,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A stainless underbar glasswasher with a heavy dropdown front door, a lower glass rack, a shallower upper rack, and a short front control pod carrying two rocker switches and a timer knob. The main door rotates on a bottom horizontal hinge, both racks slide prismatically on supported guides, and the lower and upper wash arms rotate continuously on vertical hubs in the chamber. The timer knob rotates continuously, both rocker switches articulate independently on short pivots, and the detergent flap on the inner door opens on a small hinge. The wash chamber and door liner should read as a true hollow appliance cavity rather than a filled box. Commercial undercounter scale.",openai,gpt-5.4,high,190,,strict,Glasswasher with rocker switches,false
dishwasher_plus15_04,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A panel-ready dishwasher with a broad handle rail, an upper bottle rack above a deep lower rack, and a third utensil tray tucked just below the top of the tub. The dropdown door rotates on a bottom hinge, all three rack levels slide prismatically on their own rails, and the two spray arms rotate continuously on central supports inside the tub. A pair of fold-down tine banks on the lower rack rotate on matched side pivots, the rinse-aid cap on the door liner rotates continuously on its local axis, and the start and cancel buttons in the hidden top strip move independently as small prismatic push buttons. The tub and rack interiors should remain open and hollow. Standard built-in scale.",openai,gpt-5.4,high,190,,strict,Panel ready bottle rack and tine banks,false
dishwasher_plus15_05,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A slimline apartment dishwasher with a narrow front door, two shallow sliding racks, and a compact top-edge control bank with a selector dial flanked by four small buttons. The door rotates downward on a lower horizontal hinge, both racks slide prismatically on side guides, and the upper and lower spray arms rotate continuously on their hubs. The selector dial rotates continuously, each visible button is a separate small prismatic push control, and a fold-down mug shelf on the upper rack rotates on side pivots. The wash chamber should be a believable hollow cavity with thin walls and open rack volume rather than a solid cabinet interior. Narrow kitchen scale.",openai,gpt-5.4,high,185,,strict,Slimline dishwasher with mug shelf,false
dishwasher_plus15_06,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A pro-style stainless dishwasher with a deep dropdown door, a tall upper rack, a broad lower rack, and a front control fascia carrying a large cycle knob, a start button, and a delayed-start button. The door rotates on a bottom revolute hinge, the upper and lower racks slide prismatically on heavy side rails, and the two spray arms rotate continuously on central vertical supports in the tub. The large knob rotates continuously, both visible buttons are separate small prismatic push buttons, and the detergent-cup lid on the inner door opens on a short hinge. Keep the tub, door liner, and rack wirework visibly hollow and open. Full domestic kitchen scale.",openai,gpt-5.4,high,190,,strict,Pro style fascia with large cycle knob,false
dishwasher_plus15_07,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A quiet tall-tub dishwasher with a plain outer panel, a dropdown door, two deep main racks, and a narrow third tray with a pair of small fold-down utensil wings. The door rotates on a lower hinge, all three rack levels slide prismatically on their own supported rails, and the lower and upper spray arms rotate continuously inside the tub. The utensil wings rotate on matched side pivots, the hidden control strip contains a selector dial that rotates continuously plus three individual prismatic buttons, and the detergent cover on the inner door opens on a small hinge. The tub should read as a thin-wall hollow wash volume. Built-in scale.",openai,gpt-5.4,high,190,,strict,Tall tub with utensil wings,false
dishwasher_plus15_08,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A retro-inspired dishwasher with a rounded fascia, a brushed dropdown door, two sliding wire racks, and a right-front control cluster with two chrome dials and two square buttons. The door rotates downward on a bottom hinge, both racks slide prismatically on side runners, and the upper and lower spray arms rotate continuously within the wash chamber. Both dials rotate continuously, each square button is a separate small prismatic push control, and a small cup shelf on the upper rack rotates on short side pivots. The chamber should remain visibly hollow with open rack space and a believable tub depth. Domestic kitchen scale.",openai,gpt-5.4,high,185,,strict,Retro fascia with twin chrome dials,false
dishwasher_plus15_09,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A modern dishwasher with a recessed bar handle, a dropdown door, a third cutlery tray, and a narrow front status strip carrying one dial and three low buttons just below the countertop line. The door rotates on a lower hinge, the two main racks and the cutlery tray each slide prismatically on their guides, and the spray arms rotate continuously on their vertical hubs inside the tub. The dial rotates continuously, the three low buttons articulate independently as prismatic push buttons, and the detergent-cup cover on the door liner opens on a small hinge. The tub, racks, and inner door should look like thin-wall hollow appliance parts rather than solid slabs. Built-in kitchen scale.",openai,gpt-5.4,high,190,,strict,Front status strip with cutlery tray,false
dishwasher_plus15_10,dishwasher_with_dropdown_door_and_sliding_racks,Dishwasher with dropdown door and sliding racks,"A family dishwasher with a broad dropdown door, a high upper rack, a deep lower rack carrying a sliding cutlery caddy, and a top-edge control band with five buttons around a central selector knob. The door rotates on a lower horizontal hinge, the upper and lower racks slide prismatically, the cutlery caddy slides prismatically along the lower rack front rail, and the two spray arms rotate continuously on central supports. The selector knob rotates continuously, all five visible buttons are separate prismatic push buttons, and two fold-down tine banks on the lower rack rotate on matched pivots. The wash chamber should read as a real hollow interior with open space between the racks. Full domestic scale.",openai,gpt-5.4,high,190,,strict,Family dishwasher with sliding cutlery caddy,false
