row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,label,design_audit
range_hood_with_articulated_controls,range_hood_with_articulated_controls,Range hood with articulated controls,"A chimney-style range hood with a boxy lower canopy, a tall chimney stack, and two large rotary knobs above a row of three push buttons. The two knobs rotate continuously on their front shafts, and the three buttons move independently as small prismatic controls beneath them. Residential wall-mounted hood scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
stove_top,stove_top,Stove top,A four-burner gas stove top with a flat inset surface and five front rotary knobs aligned along the lower edge. The five knobs rotate continuously on their front-facing shafts below the burner field. Countertop cooktop scale.,gemini,gemini-3.1-pro-preview,high,100,,,false
articulated_task_lamp,articulated_task_lamp,Articulated task lamp,"A clamp-on task lamp with a desk-edge clamp, two spring-balanced arm links, and a small cylindrical shade. The lower arm rotates on a hinge above the clamp, the upper arm rotates on a hinge at the elbow, and the shade tilts on a hinge at the arm tip. Desk-edge lighting scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
desk_with_drawer,desk_with_drawer,Desk with drawer,"A writing desk with a rectangular top, four straight legs, and one shallow center drawer below the front edge. The drawer slides prismatically on straight internal runners beneath the top. Home office desk scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
stand_mixer,stand_mixer,Stand Mixer,"A stand mixer with a fixed head, a bowl-lift frame, and a side lever that raises the bowl under the whisk. The bowl platform moves vertically on the lift frame, the side lever rotates on a short pivot at the column, and the whisk spins continuously on the vertical drive axis. Countertop baking scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
ceiling_light_fixture,ceiling_light_fixture,Ceiling light fixture,A workshop ceiling light fixture with a rectangular housing and a hinged lower diffuser panel. The diffuser panel rotates downward on a long hinge along one side of the housing. Garage ceiling-light scale.,gemini,gemini-3.1-pro-preview,high,100,,,false
blender,blender,Blender,"A laboratory blender with a boxy housing, a removable cup, and a latch-down top clamp over the cup opening. The top clamp rotates downward on a rear hinge, the cup rotates on its front mounting seat, and the blade spins continuously within the cup chamber. Lab instrument scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
drawer_cabinet_with_sliding_drawers,drawer_cabinet_with_sliding_drawers,Drawer cabinet with sliding drawers,"A kitchen under-counter unit with a narrow rectangular cabinet body and three vertically stacked drawers of equal depth, each sliding on soft-close prismatic guide rails with integrated recessed bar pull handles on the drawer front faces.",gemini,gemini-3.1-pro-preview,high,100,,,false
camera_lens,camera_lens,Camera Lens,"A compact pancake lens with a shallow barrel, a narrow focus ring, and a small manual aperture ring. The focus ring rotates continuously on its coaxial band, and the aperture ring rotates continuously around the rear portion of the barrel. Small camera-lens scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
box_fan_with_control_knob,box_fan_with_control_knob,Box fan with control knob,"A small desk box fan with a square housing, a U-shaped tilt stand, and a front corner control knob. The housing tilts on horizontal hinges at the ends of the U-stand, the fan blade spins continuously behind the grille, and the front corner knob rotates continuously on its short shaft. Desktop cooling scale.",gemini,gemini-3.1-pro-preview,high,100,,,false
