row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label,design_audit
branching_tree_with_three_independent_rotary_branches_to4_medium_04,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A three-branch rotary fixture. A central mast carries three radial arms on separate hub blocks at staggered heights, with each arm ending in a small pad or fork. Each arm has its own revolute joint about a local hub axis with about 120 degrees of travel, and the branches should be spaced so their motion envelopes stay visually separate.",openai,gpt-5.4,med,50,sdk_hybrid,Branching tree with three independent rotary branches Medium 4,false
branching_tree_with_two_independent_rotary_branches_to4_medium_04,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A two-branch rotary fixture. A central spine carries two side-supported branch arms on separate hubs, one higher and one lower, with rigid mounting pads at the ends. The two branches are independent revolute joints about parallel axes with about 120 degrees of travel each.",openai,gpt-5.4,med,35,sdk_hybrid,Branching tree with two independent rotary branches Medium 4,false
cantilever_articulated_arm_to4_medium_04,cantilever_articulated_arm,Cantilever articulated arm,"A cantilever articulated arm for bench tooling. A base column carries a shoulder link, an elbow link, and a short wrist tool plate with clear clevis supports. Shoulder and elbow are revolute joints about parallel horizontal axes with roughly 120 degrees and 135 degrees of travel, and the wrist rolls about the tool axis roughly 90 degrees each way.",openai,gpt-5.4,med,35,sdk_hybrid,Cantilever articulated arm Medium 4,false
coaxial_rotary_stack_to4_medium_04,coaxial_rotary_stack,Coaxial rotary stack,"A coaxial rotary stack. Nested circular stages sit on a common vertical shaft with a base turntable, a middle ring, and a top flange. The base, middle, and top stages are separate revolute joints about the shared vertical axis, with the lower stage continuous and the upper stages limited to about 120 degrees each way.",openai,gpt-5.4,med,35,sdk_hybrid,Coaxial rotary stack Medium 4,false
dual_independent_finger_chains_to4_medium_04,dual_independent_finger_chains,Dual independent finger chains,"A dual-finger mechanism with two independent serial finger chains on a shared palm block. Each finger has three tapered phalanx links joined by pin knuckles and mounted side by side on separate base pivots. Each finger chain has three revolute joints bending in one plane, and the two fingers should be mechanically independent rather than coupled.",openai,gpt-5.4,med,50,sdk_hybrid,Dual independent finger chains Medium 4,false
dualcolumn_lift_carriage_to4_medium_03,dualcolumn_lift_carriage,Dual-column lift carriage,"A dual-column lift carriage. Two vertical guide columns are tied by a base and top crosshead, with a rectangular carriage riding between them on four guide blocks. One central prismatic lift joint moves the carriage vertically about 250 mm while the frame stays fixed.",openai,gpt-5.4,med,35,sdk_hybrid,Dual-column lift carriage Medium 3,false
dualcolumn_lift_carriage_to4_medium_04,dualcolumn_lift_carriage,Dual-column lift carriage,"A compact dual-column lift carriage with twin round posts and a wide tooling plate. The columns are anchored to a heavy base and bridged at the top, while the moving carriage wraps both columns with separate bearing sleeves. The carriage slides prismatically up the column axis about 200 mm, with obvious hard stops at top and bottom.",openai,gpt-5.4,med,35,sdk_hybrid,Dual-column lift carriage Medium 4,false
dualrail_gantry_axis_to4_medium_03,dualrail_gantry_axis,Dual-rail gantry axis,"A dual-rail gantry axis. Two parallel base rails support a bridge carriage, and a small center truck rides along the bridge beam. The bridge moves prismatically along the rail axis about 300 mm, and the center truck moves prismatically along the orthogonal bridge axis about 150 mm.",openai,gpt-5.4,med,35,sdk_hybrid,Dual-rail gantry axis Medium 3,false
dualrail_gantry_axis_to4_medium_04,dualrail_gantry_axis,Dual-rail gantry axis,"A wide gantry positioning axis. A fixed base carries two long rails, a stiff crossbeam rides on them as the first carriage, and a short tool truck slides along the crossbeam. The gantry carriage is prismatic along the base about 250 mm and the tool truck is prismatic across the beam about 120 mm.",openai,gpt-5.4,med,35,sdk_hybrid,Dual-rail gantry axis Medium 4,false
fingerlike_phalanx_chain_to4_medium_04,fingerlike_phalanx_chain,Finger-like phalanx chain,"A finger-like phalanx chain. A base knuckle carries three tapered rigid phalanx links with clear side plates and pin joints. The three revolute joints bend in one plane, with the base joint about 0 to 90 degrees and the distal joints about 0 to 75 degrees.",openai,gpt-5.4,med,50,sdk_hybrid,Finger-like phalanx chain Medium 4,false
folding_arm_chain_to4_medium_04,folding_arm_chain,Folding arm chain,"A folding arm chain like a compact support arm. A base bracket carries three flat bar links joined in series by offset clevis pivots and ending in a small pad. The chain has three revolute joints folding in one plane so the arm can collapse nearly flat and extend to a straight reach.",openai,gpt-5.4,med,35,sdk_hybrid,Folding arm chain Medium 4,false
fourjoint_revolute_chain_to4_medium_04,fourjoint_revolute_chain,Four-joint revolute chain,"A four-joint revolute chain. Five rigid links are connected in series by evenly spaced hinge blocks, with the root link mounted to a fixed base foot. All four joints are revolute about parallel axes in one plane, each with about 90 degrees of travel each way.",openai,gpt-5.4,med,50,sdk_hybrid,Four-joint revolute chain Medium 4,false
gear_assemblies_to4_medium_03,gear_assemblies,Gear Assemblies,"An open gear train bench assembly. A steel side frame holds three parallel shafts with a large spur gear, an idler, and a smaller output gear, plus a handwheel on the input shaft. Each shaft is a revolute joint about its supported bearing axis, with the gears arranged in one plane and visibly meshed.",openai,gpt-5.4,med,50,sdk_hybrid,Gear Assemblies Medium 3,false
gear_assemblies_to4_medium_04,gear_assemblies,Gear Assemblies,"A right-angle gear assembly. A base bracket carries a vertical input shaft with a bevel gear and a horizontal output shaft with a mating bevel gear, plus a secondary spur reduction on the horizontal shaft. The input and output shafts are separate revolute joints about their supported axes, and every gear should sit on a clear shaft and bearing block.",openai,gpt-5.4,med,50,sdk_hybrid,Gear Assemblies Medium 4,false
joystick_mechanism_to4_medium_02,joystick_mechanism,Joystick mechanism,"A gimballed joystick mechanism. A square base frame carries an outer pitch yoke, an inner roll yoke, and a central control stick on the gimbal. Pitch and roll are orthogonal revolute joints about intersecting axes with about 20 degrees each way, with the stick rigidly fixed to the inner yoke.",openai,gpt-5.4,med,50,sdk_hybrid,Joystick mechanism Medium 2,false
joystick_mechanism_to4_medium_03,joystick_mechanism,Joystick mechanism,"A low-profile joystick mechanism for an equipment console. A circular base cup carries a cardan gimbal and a short upright lever capped by a small clamp block. The outer ring pitches about a left-right axis and the inner ring rolls about a front-back axis, both around 18 degrees each way.",openai,gpt-5.4,med,50,sdk_hybrid,Joystick mechanism Medium 3,false
joystick_mechanism_to4_medium_04,joystick_mechanism,Joystick mechanism,"A heavy-duty joystick mechanism with return-spring posts. A boxed base supports an outer fork, an inner trunnion cradle, and a tall central lever with a boot retaining ring. The two gimbal axes are orthogonal revolute joints about the same control center with roughly 25 degrees of travel each way.",openai,gpt-5.4,med,50,sdk_hybrid,Joystick mechanism Medium 4,false
