row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label,design_audit
garden_gate_01,garden_gate,Garden gate,"A single-leaf garden gate mounted between two square posts. A rectangular outer frame carries vertical pickets and a diagonal brace, with the leaf supported from one post by two strap hinges and closed against a latch post. Two revolute joints at the hinge barrels share a vertical axis and allow the gate to swing about 100 degrees.",openai,gpt-5.4,high,50,sdk,Garden Gate Strap,true
garden_gate_02,garden_gate,Garden gate,"A double-leaf driveway-style garden gate with two framed leaves that meet at the center. Each leaf has a rectangular perimeter frame, sparse horizontal rails, and its own hinge set mounted to a side post. Each leaf rotates on a vertical revolute hinge axis with about 120 degrees of travel so the pair can open outward.",openai,gpt-5.4,high,50,sdk,Garden Gate Double,true
glasses_01,glasses,Glasses,A pair of rectangular eyeglasses. A front frame with two lens rims and a bridge carries two slender temple arms attached near the outer corners. Each temple folds on a revolute hinge with a roughly 0 to 100 degree range relative to the front frame.,openai,gpt-5.4,high,50,sdk,Glasses Rectangular,true
glasses_02,glasses,Glasses,"A pair of round metal glasses with thin wire rims and slightly curved temple arms. The nose bridge and two nose-pad brackets support the front, while each temple arm connects through a compact hinge block at the frame edge. The two temple hinges are revolute joints about vertical-ish hinge pins and fold inward about 90 degrees.",openai,gpt-5.4,high,50,sdk,Glasses Round,true
globe_01,globe,Globe,"A desktop world globe on a tilted meridian ring and round base. The spherical globe is held between two polar pivots inside the meridian, and the meridian is supported by a yoke rising from the base. The globe spins continuously on its polar revolute axis, and the meridian tilts on a second revolute axis through the side supports by about +/-30 degrees.",openai,gpt-5.4,high,50,sdk,Globe Desktop,true
globe_02,globe,Globe,"A classroom globe stand with a full circular meridian and a broad pedestal base. The sphere mounts on top and bottom trunnions inside the ring, and the ring is carried by a forked support from the base. The sphere rotates continuously about its north-south axis, while the meridian rotates about a horizontal side axis about +/-45 degrees.",openai,gpt-5.4,high,50,sdk,Globe Pedestal,true
glove_compartment_door_01,glove_compartment_door,Glove compartment door,"An automotive glove compartment door integrated into a simple dashboard opening. A shallow bin sits behind the opening, and a rectangular front door with a handle is hinged along its lower edge to the housing. One revolute joint along the bottom edge lets the door swing downward about 90 degrees.",openai,gpt-5.4,high,50,sdk,Glove Door Drop,true
glove_compartment_door_02,glove_compartment_door,Glove compartment door,"A passenger-side glove box with a curved outer door panel and inner storage tub. The tub is fixed inside a dashboard face, and the door is supported by side hinge arms near the lower corners. The door opens on a lower-edge revolute axis with about 70 degrees of travel.",openai,gpt-5.4,high,50,sdk,Glove Door Curved,true
graphics_card_with_cooling_fans_01,graphics_card_with_cooling_fans,Graphics card with cooling fans,"A dual-slot desktop graphics card. A long rectangular PCB carries a shrouded heatsink and two axial cooling fans on the front face, with a bracket plate at one end. Each fan is mounted in its own circular frame and spins continuously on a central revolute axis normal to the card face.",openai,gpt-5.4,high,50,sdk,GPU Dual Fan,true
graphics_card_with_cooling_fans_02,graphics_card_with_cooling_fans,Graphics card with cooling fans,"A large triple-fan graphics card with a rigid backplate and angled outer shroud. The card body is a flat PCB and heatsink slab, with three circular fan openings evenly spaced along the length and an I/O bracket at one short end. Each of the three fan rotors rotates continuously about its own axial revolute joint.",openai,gpt-5.4,high,50,sdk,GPU Triple Fan,true
grill_with_hinged_lid_01,grill_with_hinged_lid,Grill with hinged lid,"A kettle-style charcoal grill on a small wheeled stand. A round lower fire bowl supports a domed lid, and the bowl sits in a simple tubular frame with two wheels and a front foot. The lid opens on a rear revolute hinge axis by about 100 degrees, and the two wheels spin continuously on a shared axle.",openai,gpt-5.4,high,50,sdk,Grill Kettle,true
grill_with_hinged_lid_02,grill_with_hinged_lid,Grill with hinged lid,"A barrel-style outdoor grill with a horizontal cooking chamber and a side shelf. The lower half of the barrel is fixed to a cart frame, and the upper half acts as the lid with a handle along the front edge. The lid rotates upward on a rear longitudinal revolute axis about 95 degrees, and the cart wheels rotate continuously on their axle.",openai,gpt-5.4,high,50,sdk,Grill Barrel,true
hand_truck_dolly_01,hand_truck_dolly,Hand truck dolly,"A standard upright hand truck. A tubular frame rises from a flat toe plate, with two large wheels mounted on an axle at the lower rear corners and loop handles at the top. Each wheel spins continuously on the axle, while the frame itself stays rigid.",openai,gpt-5.4,high,50,sdk,Hand Truck Upright,true
hand_truck_dolly_02,hand_truck_dolly,Hand truck dolly,"A convertible hand truck with a fold-out secondary toe section. The main tubular frame carries two large rear wheels and a primary nose plate, while a hinged extension plate nests under the main plate. The two wheels rotate continuously on the axle, and the extension plate folds on a revolute joint under the main toe plate through about 180 degrees.",openai,gpt-5.4,high,50,sdk,Hand Truck Convertible,true
hinged_window_or_hatch_01,hinged_window_or_hatch,Hinged window or hatch,A top-hinged awning window in a rectangular frame. A glazed sash sits inside the outer frame and is supported from the top edge by two compact hinges. The sash rotates outward on a horizontal upper revolute axis by about 60 degrees.,openai,gpt-5.4,high,50,sdk,Hatch Awning,true
hinged_window_or_hatch_02,hinged_window_or_hatch,Hinged window or hatch,A marine deck hatch with a thick rectangular frame and a slightly raised lid. The lid overlaps the fixed curb frame and has side latch blocks near the front corners. A rear-edge revolute hinge axis lets the lid lift about 75 degrees.,openai,gpt-5.4,high,50,sdk,Hatch Marine,true
hingeddoor_cabinet_01,hingeddoor_cabinet,Hinged-door cabinet,"A small wall cabinet with two side-hinged doors. A rectangular box body has a top, bottom, two sides, and a central shelf, with each front door mounted to an outer side panel. Each door rotates on a vertical revolute hinge axis about 110 degrees.",openai,gpt-5.4,high,50,sdk,Cabinet Double Door,true
hingeddoor_cabinet_02,hingeddoor_cabinet,Hinged-door cabinet,"A tall utility cabinet with a single full-height door and simple feet. The carcass is a rectangular enclosure with interior shelves, and the door panel is attached to one side wall through two exposed hinges. One vertical revolute joint lets the door swing open about 120 degrees.",openai,gpt-5.4,high,50,sdk,Cabinet Single Door,true
instrument_case_with_hinged_lid_01,instrument_case_with_hinged_lid,Instrument case with hinged lid,"A hard-shell violin case with a clamshell body. A shallow lower shell holds the instrument cavity, and a matching upper shell forms the lid with a carry handle on the front edge. The lid is attached along the long rear edge by a revolute hinge axis and opens about 95 degrees.",openai,gpt-5.4,high,50,sdk,Instrument Case Violin,true
instrument_case_with_hinged_lid_02,instrument_case_with_hinged_lid,Instrument case with hinged lid,"A rectangular hard equipment case for a compact instrument. The base shell has rounded corners and a flat front face with latches, and the top shell is hinged at the back. One rear revolute joint lets the lid open about 100 degrees.",openai,gpt-5.4,high,50,sdk,Instrument Case Rect,true
internet_router_01,internet_router,Internet Router,"A desktop Wi-Fi router with four external antennas. A low rectangular housing carries four identical antenna stalks mounted at the rear corners and near the centerline, with small feet under the base. Each antenna attaches through a single revolute hinge at its root and can tilt in a vertical plane through about 120 degrees.",openai,gpt-5.4,high,50,sdk,Router Four Antenna,true
internet_router_02,internet_router,Internet Router,"A flat home router with two fold-out paddle antennas on the back edge. The main body is a rounded rectangular slab with venting on top, and each antenna is a thin panel on a short pivot base. The two antennas rotate about horizontal root hinges from folded-flat to upright over about 100 degrees.",openai,gpt-5.4,high,50,sdk,Router Paddle,true
jet_engine_01,jet_engine,Jet Engine,"A turbofan jet engine nacelle on a short display stand. A cylindrical outer nacelle encloses a central spinner and a front fan stage, with a rear exhaust cone aligned on the same axis. The fan rotor spins continuously about the engine centerline revolute axis inside the front intake.",openai,gpt-5.4,high,50,sdk,Jet Engine Turbofan,true
jet_engine_02,jet_engine,Jet Engine,"A compact turbojet engine module with an intake lip, cylindrical core body, and conical exhaust nozzle. The core is supported by an outer casing and front struts, with a multi-blade compressor or fan visible at the intake. The visible rotor spins continuously on the main longitudinal revolute axis.",openai,gpt-5.4,high,50,sdk,Jet Engine Turbojet,true
keyboard_01,keyboard,Keyboard,"A compact mechanical keyboard. A rectangular case supports a grid of raised keycaps and a space bar row, with all keys arranged on a slightly recessed top plate. Each keycap is a small vertical prismatic slider with short travel normal to the case top.",openai,gpt-5.4,high,50,sdk,Keyboard Compact,true
keyboard_02,keyboard,Keyboard,"A full-size office keyboard with a main typing block and a numeric keypad. The housing is a broad shallow tray with stepped key rows, and each key sits in its own opening above the internal switch bed. The individual keys move as short prismatic plungers along vertical axes, with larger keys like the space bar and enter key following the same press direction.",openai,gpt-5.4,high,50,sdk,Keyboard Full,true
kick_scooter_01,kick_scooter,Kick scooter,"A folding kick scooter with a narrow deck and upright handlebar stem. Two small wheels support the deck front and rear, and the stem rises from a front fork with a hinge block near the deck nose. Both wheels spin continuously on their axles, and the stem folds on a revolute hinge near the deck through about 170 degrees.",openai,gpt-5.4,high,50,sdk,Kick Scooter Fold,true
kick_scooter_02,kick_scooter,Kick scooter,"A rigid commuter kick scooter with a long deck and T-bar handle. The front wheel sits in a fork connected to a steering column, and the rear wheel mounts at the tail under a small fender. The two wheels spin continuously on their axles, and the front fork steers about a vertical revolute axis through roughly +/-45 degrees.",openai,gpt-5.4,high,50,sdk,Kick Scooter Rigid,true
knee_scooter_01,knee_scooter,Knee scooter,"A medical knee scooter with a padded knee platform and bicycle-style handlebar. A rectangular lower frame carries four small wheels, with the front pair in a steerable fork assembly and the rear pair on fixed axles, while the knee rest sits above the center frame. The four wheels spin continuously on their axles, and the front steering assembly yaws about a vertical revolute axis through roughly +/-45 degrees.",openai,gpt-5.4,high,50,sdk,Knee Scooter Four Wheel,true
knee_scooter_02,knee_scooter,Knee scooter,"A compact knee walker with a front steering column and a height-adjustable knee pad platform. The chassis has two rear wheels on a straight axle and two front caster-like support wheels carried by the steering fork assembly. The wheels rotate continuously on their axles, and the front assembly steers on a vertical revolute axis with about +/-40 degrees of range.",openai,gpt-5.4,high,50,sdk,Knee Scooter Compact,true
laptop_clamshell_01,laptop_clamshell,Laptop clamshell,"A thin laptop computer in the open clamshell form. A flat base contains the keyboard deck and a centered touchpad, and a thin display lid is attached along the rear edge by two compact hinges. The lid rotates on the rear revolute axis from closed to about 135 degrees open.",openai,gpt-5.4,high,50,sdk,Laptop Thin,true
laptop_clamshell_02,laptop_clamshell,Laptop clamshell,"A rugged laptop with a thick base, reinforced corners, and a chunky display housing. The lower chassis and upper screen panel meet along a rear hinge spine, with the screen surrounded by a deep bezel. The clamshell hinge is a single effective rear revolute axis with about 0 to 150 degrees of motion.",openai,gpt-5.4,high,50,sdk,Laptop Rugged,true
lazy_susan_01,lazy_susan,Lazy Susan,"A round tabletop lazy Susan serving tray. A circular top platform sits above a slightly smaller base through a central bearing stack, leaving a small shadow gap between the two discs. The upper tray rotates continuously about the vertical center revolute axis relative to the base.",openai,gpt-5.4,high,50,sdk,Lazy Susan Round,true
