row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
branching_tree_with_three_independent_rotary_branches_to1500_rebalanced_high_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A rack-back three-branch fixture tree. A grounded box spine carries upper, middle, and lower branch arms on separate side saddles, and the three tips end in a pad, fork, and clamp tab. Each branch rotates on its own revolute hub axis with no shared linkage between the branches.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Rebalanced to 1500 1
branching_tree_with_three_independent_rotary_branches_to1500_rebalanced_high_02,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A tower-mounted three-branch rotary stand. A heavy foot and short tower carry three radial arms on distinct collar blocks, with the arm lengths intentionally uneven so the silhouette stays legible. The three arms are independent revolute joints about separate supported axes.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Rebalanced to 1500 2
branching_tree_with_three_independent_rotary_branches_to1500_rebalanced_high_03,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A ladder-frame three-branch inspection tree. A narrow central frame supports three stub arms on cheek blocks at staggered heights, and each arm remains a single rigid member rather than a sub-linkage. Each branch is its own revolute joint about a local supported hub axis.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Rebalanced to 1500 3
branching_tree_with_three_independent_rotary_branches_to1500_rebalanced_high_04,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,A pedestal three-branch tooling tree. A round pedestal carries three side-supported rotary branches with different reach lengths and compact rectangular end faces. The branches are independent revolute joints about separate supported axes on the pedestal.,openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Rebalanced to 1500 4
branching_tree_with_two_independent_rotary_branches_to1500_rebalanced_high_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A split-height two-branch fixture tree. A grounded central spine carries an upper branch arm and a lower branch arm on separate side-supported hubs, each ending in a small pad. The two branches are independent revolute joints about parallel supported axes.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with two independent rotary branches Rebalanced to 1500 1
branching_tree_with_two_independent_rotary_branches_to1500_rebalanced_high_02,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A mast-and-outrigger two-branch rotary head. A short mast rises from a heavy foot and supports two unequal branch arms on separate collar blocks, one longer and one shorter. Each branch rotates on its own revolute support axis with no coupling between them.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with two independent rotary branches Rebalanced to 1500 2
branching_tree_with_two_independent_rotary_branches_to1500_rebalanced_high_03,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A fork-backed two-branch tooling tree. A narrow backbone carries two rotary side arms on distinct cheek plates, with the upper arm ending in a fork and the lower arm ending in a tab. The two side arms are separate revolute joints about their own supported hubs.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with two independent rotary branches Rebalanced to 1500 3
branching_tree_with_two_independent_rotary_branches_to1500_rebalanced_high_04,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,A pedestal two-branch positioning stand. A compact pedestal supports two branch modules at staggered heights so the motion envelopes stay visually separate. The branches are independent revolute joints about distinct supported axes.,openai,gpt-5.4,high,50,2.0,sdk,Branching tree with two independent rotary branches Rebalanced to 1500 4
cantilever_articulated_arm_to1500_rebalanced_high_01,cantilever_articulated_arm,Cantilever articulated arm,"A side-post cantilever arm. A grounded post supports a shoulder link, a forelink, and a short wrist face, with the whole chain projecting to one side of the post. The shoulder, elbow, and wrist are serial revolute joints carried by successive members.",openai,gpt-5.4,high,50,2.0,sdk,Cantilever articulated arm Rebalanced to 1500 1
cantilever_articulated_arm_to1500_rebalanced_high_02,cantilever_articulated_arm,Cantilever articulated arm,"A bench-edge cantilever support arm. A rigid side column carries an upper link, a forearm link, and a compact tool plate at the tip, with clear clevis blocks at every joint. The shoulder, elbow, and wrist are three serial revolute joints about supported pin axes.",openai,gpt-5.4,high,50,2.0,sdk,Cantilever articulated arm Rebalanced to 1500 2
cantilever_articulated_arm_to1500_rebalanced_high_03,cantilever_articulated_arm,Cantilever articulated arm,"A tower-mounted cantilever tooling arm. A short tower supports a long first link, a shorter second link, and a narrow wrist cartridge ending in a plain faceplate. The arm uses three serial revolute joints carried by the tower, upper link, and forelink.",openai,gpt-5.4,high,50,2.0,sdk,Cantilever articulated arm Rebalanced to 1500 3
cantilever_articulated_arm_to1500_rebalanced_high_04,cantilever_articulated_arm,Cantilever articulated arm,"A pedestal cantilever inspection arm. A pedestal base supports a serial arm chain with a deep shoulder link, a slimmer forelink, and a compact wrist block at the tip. The shoulder, elbow, and wrist are successive revolute joints on supported pin axes.",openai,gpt-5.4,high,50,2.0,sdk,Cantilever articulated arm Rebalanced to 1500 4
coaxial_rotary_stack_to1500_rebalanced_high_01,coaxial_rotary_stack,Coaxial rotary stack,"A stepped coaxial rotary stack. A grounded round base supports several concentric rotary stages on one common vertical shaft, with the stages clearly separated by diameter and height. The stages are independent revolute joints about the shared axis.",openai,gpt-5.4,high,50,2.0,sdk,Coaxial rotary stack Rebalanced to 1500 1
coaxial_rotary_stack_to1500_rebalanced_high_02,coaxial_rotary_stack,Coaxial rotary stack,"A nested-ring coaxial indexing stack. A heavy lower turntable carries a middle ring and a smaller top flange on one centered spindle, with simple bearing collars between the levels. The lower, middle, and top stages are separate revolute joints about the same vertical centerline.",openai,gpt-5.4,high,50,2.0,sdk,Coaxial rotary stack Rebalanced to 1500 2
coaxial_rotary_stack_to1500_rebalanced_high_03,coaxial_rotary_stack,Coaxial rotary stack,"A wafer-style coaxial stage stack. A broad lower platter supports two thinner upper decks on a common shaft, and each deck remains visually distinct as its own rigid stage. The three decks are independent revolute joints about the shared vertical axis.",openai,gpt-5.4,high,50,2.0,sdk,Coaxial rotary stack Rebalanced to 1500 3
coaxial_rotary_stack_to1500_rebalanced_high_04,coaxial_rotary_stack,Coaxial rotary stack,"A pedestal coaxial rotary column. A short pedestal carries a lower table, an elevated middle ring, and a compact top flange all centered on one vertical spindle. Each stage rotates on its own revolute joint about the common supported axis.",openai,gpt-5.4,high,50,2.0,sdk,Coaxial rotary stack Rebalanced to 1500 4
