row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label,design_audit
garden_gate_03,garden_gate,Garden gate,"A sliding garden gate on a ground track between a latch post and a rear guide post. The long framed leaf rides on roller carriages under the frame, with top guide rollers keeping it upright and a latch handle at the leading edge. The gate leaf translates prismatically along the fence line on the track, and the latch handle rotates on a small pivot at the front stile.",openai,gpt-5.4,high,50,sdk,Garden Gate Sliding,true
garden_gate_04,garden_gate,Garden gate,"A bi-fold garden gate with two narrow framed panels between two posts. The outer panel is hinged to one post, the inner panel is hinged to the outer panel, and a latch sits at the free edge. One vertical revolute hinge joins the outer panel to the post, a second vertical revolute hinge joins the two panels, and the latch lever rotates on its own pivot.",openai,gpt-5.4,high,50,sdk,Garden Gate Bifold,true
glasses_03,glasses,Glasses,"A folding reading glasses set with two small lens fronts joined by a center bridge hinge. Each half-front carries a short temple arm on an outer hinge so the whole pair folds into a compact package. The bridge folds on a central revolute hinge, and the two temple arms fold on separate revolute hinges at the outer rims.",openai,gpt-5.4,high,50,sdk,Glasses Folding Bridge,true
glasses_04,glasses,Glasses,"A pair of flip-up driving glasses with a main frame, two temple arms, and a tinted secondary lens frame mounted ahead of the primary rims. The tinted front is carried by two small hinges near the brow line, while the temples connect at the outer corners of the main frame. The temples fold on their usual outer revolute hinges, and the tinted front rotates upward on a transverse pair of revolute pivots above the lenses.",openai,gpt-5.4,high,50,sdk,Glasses Flip Up,true
globe_03,globe,Globe,"A bar globe cabinet with a spherical shell on a meridian stand. The lower hemisphere is fixed to the rotating globe body, the upper hemisphere forms a lid on an equatorial hinge, and the globe is supported between polar pivots inside the meridian. The globe rotates on its polar revolute axis, and the upper hemisphere opens on its own equatorial revolute hinge.",openai,gpt-5.4,high,50,sdk,Globe Bar,true
globe_04,globe,Globe,"A floor-standing globe with a large sphere carried in a partial meridian above a pedestal turntable. The sphere is mounted on polar pivots inside the meridian, and the whole support stands on a circular base that can swivel. The globe spins on its polar revolute axis, and the stand rotates on a vertical revolute axis at the base turntable.",openai,gpt-5.4,high,50,sdk,Globe Floor Swivel,true
glove_compartment_door_03,glove_compartment_door,Glove compartment door,"An aircraft-style glove compartment built into a dashboard fascia. A shallow storage box sits behind the opening, and a rectangular door is hinged along its upper edge with a latch handle on the lower edge. The door rotates upward on a horizontal upper revolute hinge axis, and the latch handle rotates on its own small pivot in the door face.",openai,gpt-5.4,high,50,sdk,Glove Door Top Hinge,true
glove_compartment_door_04,glove_compartment_door,Glove compartment door,"A utility-vehicle glove compartment with a narrow side-hinged door. The storage bin is fixed inside the dashboard, and the door is attached to one side wall with exposed hinges and a small rotary latch near the free edge. The door swings on a vertical revolute hinge axis at the side of the opening, and the latch rotates on a short front-to-back pivot.",openai,gpt-5.4,high,50,sdk,Glove Door Side Hinge,true
graphics_card_with_cooling_fans_03,graphics_card_with_cooling_fans,Graphics card with cooling fans,"A workstation graphics card with a long shroud and two small centrifugal blowers feeding a covered heatsink tunnel. The PCB and heatsink form the body, while the blower wheels sit in circular side housings near one end and exhaust toward the bracket. Each blower rotor rotates continuously about its own axial revolute axis within the blower housing.",openai,gpt-5.4,high,50,sdk,GPU Dual Blower,true
graphics_card_with_cooling_fans_04,graphics_card_with_cooling_fans,Graphics card with cooling fans,"A compact short graphics card with two offset axial fans in a stubby shroud and a fold-out support brace at the bracket end. The card body is a short PCB and heatsink block, and the small brace is mounted to the bracket plate to prop the outer edge. The two fan rotors spin on axial revolute joints normal to the card face, and the support brace rotates on a small hinge at the bracket.",openai,gpt-5.4,high,50,sdk,GPU Compact Brace,true
grill_with_hinged_lid_03,grill_with_hinged_lid,Grill with hinged lid,"A flat-top patio grill with a full-width hinged cover on a wheeled cart. The cooking plate is fixed to the cart body, the cover spans the top on a rear hinge line, and four caster assemblies sit under the legs. The cover rotates upward on a rear revolute axis, each caster wheel spins on its axle, and each caster fork swivels on a vertical pivot.",openai,gpt-5.4,high,50,sdk,Grill Griddle Cover,true
