row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
garden_gate_11,garden_gate,Garden gate,"A cedar garden gate with a curved top rail between square timber posts. The single leaf has vertical pickets, two strap hinges on one post, and a thumb latch at the free stile. The leaf rotates on a vertical revolute hinge axis at the post, and the thumb latch rotates on a small local pivot.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_12,garden_gate,Garden gate,"A wrought-iron garden gate with a narrow arched leaf between masonry piers. The leaf has a perimeter frame, simple vertical bars, a ring latch at the meeting edge, and a short closer arm near the top rail. The leaf rotates on a vertical hinge axis at the pier, the ring latch rotates on its small pivot, and the closer arm rotates on its two support pivots.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_13,garden_gate,Garden gate,"A cantilever garden gate with a slatted aluminum leaf and a rear counterbalance tail. The long framed leaf rides between a guide post and a latch post on cantilever roller trucks, with a small latch handle at the front edge. The leaf translates prismatically along the fence line on the roller trucks, and the latch handle rotates on a small pivot at the leading stile.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_14,garden_gate,Garden gate,"A double-leaf picket garden gate for a courtyard opening. Two narrow framed leaves meet at the center, each hinged to an outer post, with one leaf carrying a latch and the other carrying a vertical cane bolt. The two leaves rotate on separate vertical revolute hinge axes at the posts, the latch rotates on a small pivot, and the cane bolt slides vertically in its guide loops.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_15,garden_gate,Garden gate,"A tubular steel side-yard gate with a support wheel under the free end. The welded leaf has a rectangular perimeter tube, horizontal rails, hinge sleeves at one post, and a trailing wheel in a swivel fork under the outer corner. The leaf rotates on a vertical hinge axis at the post, the support wheel spins continuously on its axle, and the wheel fork swivels on a vertical caster pivot.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_16,garden_gate,Garden gate,"A privacy garden gate with a solid lower panel and an open lattice upper panel. The framed leaf hangs from one side post on two hinges and closes against the opposite post with a compact rotary latch. The leaf rotates on a vertical revolute hinge axis at the post, and the latch rotates on its own short pivot at the free edge.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_17,garden_gate,Garden gate,"A bi-fold path gate with two narrow wooden panels between metal posts. The outer panel is hinged to one post, the inner panel is hinged to the first panel, and a simple slide bolt sits at the free edge. The outer panel rotates on a vertical revolute hinge at the post, the inner panel rotates on a second vertical hinge at the fold line, and the slide bolt moves prismatically in its guide.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_18,garden_gate,Garden gate,"A low picket garden gate with a lower surface bolt for holding it open. The rectangular leaf hangs on side hinges between two posts and carries a ring latch near the upper rail and a slim drop bolt near the lower rail. The leaf rotates on a vertical hinge axis, the ring latch rotates on its own pivot, and the drop bolt slides vertically through its guide brackets.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_19,garden_gate,Garden gate,"A farm-style pedestrian gate with welded wire mesh inside a steel tube frame. The single leaf hangs from one post on sleeve hinges and closes at a latch post with a simple lever latch. The leaf rotates on a vertical revolute hinge axis at the post, and the lever latch rotates on a small pivot at the meeting stile.",openai,gpt-5.4,high,40,2.0,sdk,,true
garden_gate_20,garden_gate,Garden gate,"A self-closing garden gate for a narrow walkway. The framed wooden leaf is mounted to one post on two hinges and has a small top-mounted closer arm and a latch at the free edge. The main leaf rotates on a vertical hinge axis, the latch rotates on its own pivot, and the closer arm rotates on its two support joints as the gate swings.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_11,glasses,Glasses,"A pair of cat-eye eyeglasses with a swept upper rim and slim temples. The rigid front frame carries two hinge blocks at the outer corners and small adjustable nose-pad arms near the bridge. The two temple arms fold on separate revolute hinge axes, and the nose pads rotate slightly on their small bracket pivots.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_12,glasses,Glasses,"A pair of rectangular office glasses with spring-hinge temples. The front frame has straight brow lines, side hinge blocks, and a pair of slender temple arms with short spring segments near the hinges. Each temple rotates on its side hinge, and each spring segment rotates on its own small hinge axis behind the frame.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_13,glasses,Glasses,"A pair of safety glasses with broad side shields and extendable temples. The front shield frame carries two hinged temple arms, and each temple has a telescoping rear segment for fit adjustment. Each temple folds on a revolute hinge at the frame corner, and each rear temple segment slides prismatically along the temple axis within its sleeve.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_14,glasses,Glasses,"A pair of folding reading glasses with a center bridge hinge. The two half-fronts meet at a hinged bridge, and each half-front carries a short folding temple at its outer edge. The bridge folds on a central revolute hinge, and the two temple arms rotate on separate revolute hinges at the outer rims.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_15,glasses,Glasses,"A pair of aviator glasses with a double bridge and slim metal temples. The thin front frame carries two adjustable nose-pad arms and slender temple arms attached by compact hinge blocks. The temples fold on revolute hinges at the outer corners, and the two nose pads rotate on small support-arm pivots near the bridge.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_16,glasses,Glasses,"A pair of wraparound sport glasses with a curved single-piece front and straight temples. The front frame has an integrated nosepiece, and each temple is attached through a compact hinge block tucked behind the outer edge. The two temple arms rotate inward on separate revolute hinge axes at the frame ends.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_17,glasses,Glasses,"A pair of browline glasses with a heavy upper bar and thin lower rims. The front carries two temple arms on outer hinges and two small nose-pad brackets projecting from the bridge. Each temple folds on its side hinge, and each nose pad rotates slightly on a small bracket pivot.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_18,glasses,Glasses,"A pair of half-rim reading glasses with wire temples and a flip-up sun clip. The upper brow bar carries the main lenses and folding temples, while a secondary tinted lens frame sits ahead of the front on two small hinges. The temples fold on their outer revolute hinges, and the tinted front rotates upward on a transverse pair of revolute pivots above the main lenses.",openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_19,glasses,Glasses,A pair of thick-frame wayfarer glasses with broad straight temples. The rigid front frame has visible barrel hinges at the outer corners and no separate nose-pad hardware. The two temples fold inward on separate revolute hinge axes at the frame ends.,openai,gpt-5.4,high,40,2.0,sdk,,true
glasses_20,glasses,Glasses,"A pair of compact travel glasses with telescoping temples. The small front frame carries two hinged temple arms, and each temple includes a sliding rear section for packed storage. Each temple rotates on a side hinge at the frame corner, and each rear temple segment slides prismatically inside the forward temple sleeve.",openai,gpt-5.4,high,40,2.0,sdk,,true
