row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
row_0001,air_purifier_with_filter_door,Air purifier with filter door,A tower-style home air purifier with a cylindrical body and a front filter-access panel that hinges open on a revolute joint.,openai,gpt-5.4,high,50,sdk,Air purifier with filter door — tower cylindrical body
row_0002,air_purifier_with_filter_door,Air purifier with filter door,A compact desktop air purifier with a flat rectangular housing and a bottom filter door that drops open on a rear revolute hinge.,openai,gpt-5.4,high,50,sdk,Air purifier with filter door — compact desktop bottom-hinge
row_0003,air_purifier_with_filter_door,Air purifier with filter door,A floor-standing air purifier with an oval cross-section body and a side filter cover that pivots outward on a knuckle hinge at the body edge.,openai,gpt-5.4,high,50,sdk,Air purifier with filter door — floor-standing oval side door
row_0004,air_purifier_with_filter_door,Air purifier with filter door,A slim wall-mounted air purifier with a flat plastic housing and a top-hinged front panel that lifts upward on a revolute joint.,openai,gpt-5.4,high,50,sdk,Air purifier with filter door — slim wall-mounted top-hinge
row_0005,air_purifier_with_filter_door,Air purifier with filter door,"A wide box-shaped air purifier with two side-by-side filter bays, each sealed by a hinged door that swings open on a revolute hinge at the body face.",openai,gpt-5.4,high,50,sdk,Air purifier with filter door — wide box dual-bay
row_0006,articulated_task_lamp,Articulated task lamp,"A desk task lamp with a weighted rectangular base, two hinged arm segments on revolute joints, and a tilting reflector shade.",openai,gpt-5.4,high,50,sdk,Articulated task lamp — two-segment desk arm
row_0007,articulated_task_lamp,Articulated task lamp,A clamp-mount task lamp with a single spring-balanced arm on a revolute shoulder joint and a pivoting cylindrical shade at the tip.,openai,gpt-5.4,high,50,sdk,Articulated task lamp — clamp-mount single arm
row_0008,articulated_task_lamp,Articulated task lamp,"A floor-standing task lamp with a heavy disc base, a vertical column, and a two-segment arm on revolute joints with a cone shade.",openai,gpt-5.4,high,50,sdk,Articulated task lamp — floor-standing two-segment arm
row_0009,articulated_task_lamp,Articulated task lamp,A wall-mounted task lamp with a folding arm on two revolute joints and a rotating cylindrical shade at the tip.,openai,gpt-5.4,high,50,sdk,Articulated task lamp — wall-mounted folding arm
row_0010,articulated_task_lamp,Articulated task lamp,A drafting-table lamp with a scissor-arm on paired revolute joints and a swiveling rectangular shade head.,openai,gpt-5.4,high,50,sdk,Articulated task lamp — drafting scissor-arm
row_0011,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A refractor telescope on a wooden alt-azimuth tripod with an altitude revolute axis and an azimuth revolute axis for two-axis pointing.,openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — refractor alt-az
row_0012,astronomical_telescope_on_tripod,Astronomical telescope on tripod,"A Newtonian reflector on a metal equatorial mount with a polar axis and a declination revolute axis, on a three-leg tripod.",openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — Newtonian equatorial
row_0013,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A Maksutov-Cassegrain telescope on a compact alt-az mount with two revolute axes and a folding aluminium tripod.,openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — Maksutov-Cassegrain alt-az
row_0014,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A wide-aperture Dobsonian reflector with a rocker box on two revolute axes for altitude and azimuth pointing.,openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — Dobsonian rocker box
row_0015,astronomical_telescope_on_tripod,Astronomical telescope on tripod,A long refractor telescope on a cast-iron alt-az mount with a fine-focus knob on a revolute joint and a three-leg tripod.,openai,gpt-5.4,high,50,sdk,Astronomical telescope on tripod — long refractor cast-iron mount
row_0016,barrier_gate,Barrier gate,A parking barrier gate with a rectangular control housing and a counterweighted horizontal boom arm that lifts on a revolute hinge.,openai,gpt-5.4,high,50,sdk,Barrier gate — parking counterweighted boom
row_0017,barrier_gate,Barrier gate,A toll booth barrier gate with a striped horizontal pole hinged at one end to a yellow housing on a revolute joint.,openai,gpt-5.4,high,50,sdk,Barrier gate — toll booth striped pole
row_0018,barrier_gate,Barrier gate,A security barrier gate with a flat housing and a folding boom arm with revolute joints at the housing pivot and the arm midpoint.,openai,gpt-5.4,high,50,sdk,Barrier gate — security folding midpoint boom
