row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,label,design_audit
air_conditioning_machine_001,air_conditioning_machine,Air conditioning machine,"A ceiling-suspended cassette air conditioning machine with a square panel, a central intake grille, and four outlet flaps around the perimeter. The four outlet flaps rotate on their own horizontal hinges at the panel edges, and the small service buttons on one side of the panel articulate independently as prismatic push controls. Commercial ceiling-unit scale.",openai,gpt-5.4,high,160,,cassette panel four flaps,false
air_conditioning_machine_002,air_conditioning_machine,Air conditioning machine,"A wall-mounted mini-split air conditioning machine with a long indoor body, a full-width lower discharge flap, and two small mode buttons near one end. The lower discharge flap rotates on a full-width horizontal hinge at the outlet lip, and the two buttons depress independently as small prismatic controls in the front shell. Residential indoor-unit scale.",openai,gpt-5.4,high,160,,mini split buttons,false
air_conditioning_machine_003,air_conditioning_machine,Air conditioning machine,"A window air conditioning machine with a rectangular body, a front outlet grille, and a side control pod with two rotary knobs. The horizontal outlet flap rotates on a hinge at the lower edge of the front grille, and the two control knobs rotate continuously on their short front-facing shafts. Apartment window-unit scale.",openai,gpt-5.4,high,160,,window unit knobs,false
air_conditioning_machine_004,air_conditioning_machine,Air conditioning machine,"A portable room air conditioning machine with a tall wheeled body, a top outlet grille, and a front control panel with three buttons and one dial. The top outlet flap rotates on a horizontal hinge at the front edge of the discharge opening, the front dial rotates continuously on its local axis, and the three buttons depress independently as small prismatic controls. Small apartment floor-unit scale.",openai,gpt-5.4,high,160,,portable floor unit,false
air_conditioning_machine_005,air_conditioning_machine,Air conditioning machine,"A through-wall air conditioning machine with a broad front fascia, a lower discharge flap, and a hinged filter access door across the intake area. The discharge flap rotates on a horizontal hinge at the outlet lip, and the filter access door rotates upward on a top hinge above the intake grille. Hotel PTAC scale.",openai,gpt-5.4,high,160,,through wall filter door,false
air_conditioning_machine_006,air_conditioning_machine,Air conditioning machine,"A floor-console air conditioning machine with a low rectangular body, a top discharge slot, and two small rotary controls on one side of the front panel. The top discharge flap rotates on a horizontal hinge at the outlet edge, and the two rotary controls rotate continuously on their short axes in the front fascia. Floor-mounted room-unit scale.",openai,gpt-5.4,high,160,,floor console controls,false
air_conditioning_machine_007,air_conditioning_machine,Air conditioning machine,"A ceiling cassette air conditioning machine with a square panel, four corner louvers, and a narrow hinged service hatch near one edge. Each corner louver rotates on its own hinge at the edge of the discharge opening, and the service hatch rotates downward on a short hinge line in the panel frame. Suspended commercial-unit scale.",openai,gpt-5.4,high,160,,cassette service hatch,false
air_conditioning_machine_008,air_conditioning_machine,Air conditioning machine,"A ductless mini-split air conditioning machine with a long wall body, a lower outlet flap, and two vertical direction vanes visible behind the opening. The lower outlet flap rotates on a horizontal hinge along the outlet edge, and the two vertical vanes pivot independently on their own vertical hinges behind the flap. Residential wall-unit scale.",openai,gpt-5.4,high,160,,mini split vanes,false
air_conditioning_machine_009,air_conditioning_machine,Air conditioning machine,"A portable air conditioning machine with a rounded rectangular body, rear transport wheels, and a front outlet door with a small control knob above it. The outlet door rotates on a horizontal hinge at the front discharge opening, the control knob rotates continuously on its front shaft, and the rear transport wheels spin continuously on their axle. Small room cooling-unit scale.",openai,gpt-5.4,high,160,,portable knob wheels,false
air_conditioning_machine_010,air_conditioning_machine,Air conditioning machine,"A window air conditioning machine with a boxy body, a front vent with adjustable louvers, and a right-side slider bank for fan and temperature. The main vent flap rotates on a horizontal hinge at the lower edge of the grille, and the two slider levers translate prismatically along their short guided slots in the control pod. Window-mounted apartment scale.",openai,gpt-5.4,high,160,,window sliders,false
