row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
20260410_panini_press_02,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A cafe-style panini press with a rectangular lower grill base, a deep upper cooking platen, and a bent tubular front handle. The upper platen rotates upward on a rear horizontal revolute hinge, a browning-control knob rotates continuously on the right side wall, and a shallow grease drawer slides prismatically out from the front edge below the grill plate. Compact countertop appliance scale.",openai,gpt-5.4,high,100,,sdk,Panini cafe press hinge knob grease drawer,false
20260410_panini_press_03,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A compact sandwich press with rounded side cheeks, a ribbed lower grill plate, and a floating upper lid carried on short rear support arms. The lid rotates on a horizontal revolute hinge at the back of the housing, the floating rear support links rotate on secondary revolute joints as the lid rises, and a small timer dial rotates on the front corner of the body. Small kitchen-appliance scale.",openai,gpt-5.4,high,100,,sdk,Panini compact floating lid timer dial,false
20260410_panini_press_04,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A family-size panini grill with a wide rectangular base, a thick insulated clamshell lid, and a latch tab at the front lip. The lid rotates open on a rear horizontal revolute hinge, the latch tab rotates downward on a small front hinge to release the lid, and a thermostat knob rotates continuously on a short side-face shaft. Medium kitchen counter scale.",openai,gpt-5.4,high,100,,sdk,Panini family grill latch thermostat,false
20260410_panini_press_05,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A stainless-bodied panini press with chamfered side panels, a lower grill tray, and a domed upper platen with a centered handle. The upper platen rotates on a rear horizontal revolute hinge, a temperature dial rotates continuously on the right side panel, and a removable drip tray translates prismatically out from a slot beneath the front apron. Commercial countertop grill scale.",openai,gpt-5.4,high,100,,sdk,Panini stainless press dial drip tray,false
20260410_panini_press_06,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A low-profile sandwich press with a rectangular shell, a top platen that can rest at variable height, and a short carry handle along the front edge. The top platen rotates upward on a back-edge revolute hinge, a side height-stop lever rotates on a small revolute pivot to set the open angle, and a selector knob rotates continuously on the side of the base. Compact domestic appliance scale.",openai,gpt-5.4,high,100,,sdk,Panini low profile height stop lever,false
20260410_panini_press_07,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A deli-counter grill press with a heavy lower plate, a tall rear hinge tower, and a broad insulated lid handle spanning the front. The lid rotates on a stout horizontal revolute joint at the hinge tower, a grease drawer slides prismatically from the base front, and a round heat-control knob rotates on the left side of the housing. Rugged countertop food-service scale.",openai,gpt-5.4,high,100,,sdk,Panini deli grill heavy hinge drawer,false
20260410_panini_press_08,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A two-sandwich clamshell press with a cast lower frame, a smooth upper heated lid, and a front latch strap bridging the lid and base. The upper lid rotates on a rear horizontal hinge, the latch strap rotates on a small hinge at the base lip to unlatch the press, and a browning knob rotates continuously on the right front corner. Small breakfast-appliance scale.",openai,gpt-5.4,high,100,,sdk,Panini two sandwich latch strap knob,false
20260410_panini_press_09,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A brushed-metal panini maker with a rectangular base, ribbed grill plates, and a floating top lid supported by articulated side arms. The lid rotates on a rear horizontal revolute hinge, each side support arm rotates on its own revolute pivot as the lid adjusts to sandwich thickness, and a timer knob rotates on a small front-face shaft. Realistic kitchen-product scale.",openai,gpt-5.4,high,100,,sdk,Panini brushed metal floating arms timer,false
20260410_panini_press_10,panini_press_with_clamshell_lid,Panini press with clamshell lid,"A countertop grill press with a rounded base shell, a rectangular lower plate, and a tall top lid with a forward loop handle. The clamshell lid rotates open on a rear revolute hinge, a side release lever rotates on a short pivot near the hinge bracket, and a grease tray slides prismatically forward from the base under the cooking surface. Compact kitchen utility scale.",openai,gpt-5.4,high,100,,sdk,Panini rounded shell release lever tray,false
20260410_camcorder_02,camcorder_with_flipout_screen,Camcorder with flip-out screen,"A handheld camcorder with a cylindrical lens barrel, a right-side hand strap, and a thin rectangular LCD panel mounted to the left body side. The flip-out LCD panel rotates outward on a vertical side revolute hinge, the zoom ring around the front lens barrel rotates continuously about the optical axis, and a mode dial rotates on the rear top corner of the body. Small handheld consumer-electronics scale.",openai,gpt-5.4,high,100,,sdk,Camcorder zoom ring flip screen mode dial,false
