row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
garden_gate_05,garden_gate,Garden gate,"A cantilever sliding garden gate with a long framed leaf and a rear counterbalance tail. The leaf is carried by two cantilever roller trucks between a guide post and a latch post, with top guide rollers at the front and a latch handle on the leading stile. The gate leaf translates prismatically along the fence line on the roller trucks, and the latch handle rotates on its small pivot at the leading edge. Keep the sliding leaf clipped to the cantilever roller trucks and top guide rollers so it stays captured along the fence line during travel.",openai,gpt-5.4,high,40,sdk,
garden_gate_06,garden_gate,Garden gate,"An arched-top wooden wicket gate between masonry posts. The framed leaf has vertical pickets, a diagonal brace, two strap hinges at one side, a thumb latch at the free edge, and a short closer arm near the top rail. The leaf rotates on a vertical hinge axis at the post, the thumb latch rotates on its own small pivot, and the closer arm rotates on its two support pivots as the gate swings. Keep the gate leaf clipped into the strap hinges at the post so the stile stays supported through the swing.",openai,gpt-5.4,high,40,sdk,
garden_gate_07,garden_gate,Garden gate,"A tubular farm-style pedestrian gate with a support wheel near the free end. The gate has a welded perimeter tube, several horizontal rails, hinge sleeves at one post, a latch loop at the other post, and a small trailing wheel on a swivel bracket under the outer corner. The gate swings on a vertical revolute hinge axis at the post, the support wheel spins on its axle, the wheel fork swivels on a vertical caster pivot, and the latch loop rotates on its small mount. Keep the support wheel clipped into its swivel bracket under the outer corner so it remains captured as the gate swings.",openai,gpt-5.4,high,40,sdk,
garden_gate_08,garden_gate,Garden gate,"A picket garden gate with a lower surface bolt for holding it open. The rectangular leaf hangs from one side post on two hinges, closes against a latch post with a ring latch, and carries a slim vertical drop bolt near the lower rail. The main leaf rotates on a vertical hinge axis, the ring latch rotates on its own pivot, and the drop bolt slides vertically through its guide brackets. Keep the drop bolt clipped through its guide loops on the gate so it stays constrained while sliding up and down.",openai,gpt-5.4,high,40,sdk,
garden_gate_09,garden_gate,Garden gate,"A double-leaf courtyard gate with two narrow framed leaves meeting under a shallow arch. Each leaf is hinged to an outer post, and one meeting stile carries a latch while the other carries a vertical cane bolt that drops into the ground. The two leaves rotate on separate vertical hinge axes at the posts, the latch lever rotates on its small pivot, and the cane bolt slides vertically in its guide loops. Keep the cane bolt clipped through its guide loops on the meeting stile so it remains captured when raised and lowered.",openai,gpt-5.4,high,40,sdk,
garden_gate_10,garden_gate,Garden gate,"A low garden gate with a solid lower panel and an open lattice upper section. The single leaf is mounted between square posts on two side hinges and closes with a compact rotary latch at the free edge. The leaf rotates on a vertical revolute hinge axis at the post, and the latch handle rotates on its own small pivot at the meeting stile. Keep the leaf clipped into the side hinges at the post so the panel does not separate from its support as it swings.",openai,gpt-5.4,high,40,sdk,
glasses_05,glasses,Glasses,"A pair of aviator glasses with teardrop rims and a double bridge. The thin metal front carries two adjustable nose-pad arms and two slender temple arms attached at the outer corners by compact hinges. Each temple folds inward on its own revolute hinge axis, and each nose pad rotates slightly on its small support arm pivot. Keep each temple arm clipped into its hinge block at the outer frame corner so it folds without separating from the front.",openai,gpt-5.4,high,40,sdk,
glasses_06,glasses,Glasses,"A pair of browline glasses with a heavier upper frame bar and thin lower rims. The front frame carries two temple arms on spring hinges at the outer corners, and small nose-pad brackets project from the bridge. Each temple rotates on a side hinge with an additional spring-loaded hinge segment, and each nose pad rotates on its small support joint. Keep each spring-hinge temple clipped to the outer hinge block rather than drifting away from the browline frame during folding.",openai,gpt-5.4,high,40,sdk,
glasses_07,glasses,Glasses,"A pair of wraparound sport glasses with a curved shield-like front and straight temple arms. The front frame has an integrated nosepiece, and each temple joins the frame through a compact outer hinge block. The two temple arms fold on separate revolute hinge axes at the frame corners. Keep the temple arms clipped into the outer hinge blocks of the curved front frame so they stay captured through folding.",openai,gpt-5.4,high,40,sdk,
glasses_08,glasses,Glasses,"A pair of safety glasses with broad side shields and extendable temple arms. The front lens frame carries two hinged temples, and each temple has a telescoping rear section for fit adjustment. Each temple folds on a revolute hinge at the outer corner, and each rear temple segment slides prismatically along the temple axis within its sleeve. Keep each telescoping rear temple section clipped inside its sleeve so the arm extends without the rear segment pulling free.",openai,gpt-5.4,high,40,sdk,
glasses_09,glasses,Glasses,"A pair of half-rim reading glasses with slim wire temples. The upper brow bar carries two lower lens supports, adjustable nose-pad arms near the bridge, and folding temple arms at the outer ends. Each temple rotates on its side hinge, and each nose pad rotates on a small bracket pivot near the bridge. Keep each temple arm clipped into its side hinge at the frame edge so it stays attached during folding.",openai,gpt-5.4,high,40,sdk,
glasses_10,glasses,Glasses,"A pair of thick-frame wayfarer-style glasses with broad temples. The rigid front frame has a straight brow and trapezoidal lens openings, and each temple is attached by a visible barrel hinge at the outer corner. The two temple arms fold inward on separate revolute hinge axes at the frame ends. Keep the broad temples clipped into the visible barrel hinges at the frame ends so the hinges stay in contact through the fold.",openai,gpt-5.4,high,40,sdk,
