row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label,design_audit
branching_tree_with_three_independent_rotary_branches_to15_detail_high_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A three-branch rotary fixture. A central mast rises from a grounded base and carries three radial hub blocks at staggered heights, each with a short arm ending in a pad or fork. Each arm is its own revolute joint about a local supported hub axis, and the three branches should remain mechanically independent.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 15 Detail 1,true
branching_tree_with_three_independent_rotary_branches_to15_detail_high_02,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A compact three-branch inspection tree. A boxed spine supports three side-mounted rotary branches on separate brackets, with the branch lengths and mounting heights intentionally varied so the silhouette does not collapse into symmetry. The three branches are independent revolute joints on their own supported axes.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 15 Detail 2,true
branching_tree_with_three_independent_rotary_branches_to15_detail_high_03,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A pedestal-mounted three-branch tooling tree. A heavy foot and vertical column carry three rotary arms on discrete clamp blocks, and each arm ends in a small rectangular faceplate. Each branch rotates by a revolute joint at its own support block, with no shared linkage between branches.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 15 Detail 3,true
branching_tree_with_three_independent_rotary_branches_to15_detail_high_04,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A wall-backed three-branch rotary bracket. A backplate and short standoff spine support three compact branch arms on separate knuckles, with enough offset between them that each support and arm stays legible. All three branches are separate revolute joints about parallel supported axes.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 15 Detail 4,true
branching_tree_with_three_independent_rotary_branches_to15_detail_high_05,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"An open-frame three-branch motion study. A grounded central post carries three arms on individual hub collars, and the arm tips use different simple end shapes such as pads, forks, or tabs to add believable variation. Each arm is an independent revolute joint carried by its own hub support.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 15 Detail 5,true
branching_tree_with_three_independent_rotary_branches_to15_detail_high_06,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"A boxed industrial three-branch fixture. A stiff column and reinforced side bosses support three short rotary branches with compact end-effectors, keeping the fixed mast visually dominant over the moving arms. The three branches are independent revolute joints about their own grounded support axes.",openai,gpt-5.4,high,50,2.0,sdk,Branching tree with three independent rotary branches Fill to 15 Detail 6,true
branching_tree_with_two_independent_rotary_branches_to15_detail_high_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A two-branch rotary fixture. A central mast rises from a grounded base and carries two radial hub blocks at staggered heights, each with a short arm ending in a pad or fork. Each arm is its own revolute joint about a local supported hub axis, and the two branches should remain mechanically independent.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 15 Detail 1,true
branching_tree_with_two_independent_rotary_branches_to15_detail_high_02,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A compact two-branch inspection tree. A boxed spine supports two side-mounted rotary branches on separate brackets, with the branch lengths and mounting heights intentionally varied so the silhouette does not collapse into symmetry. The two branches are independent revolute joints on their own supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 15 Detail 2,true
branching_tree_with_two_independent_rotary_branches_to15_detail_high_03,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A pedestal-mounted two-branch tooling tree. A heavy foot and vertical column carry two rotary arms on discrete clamp blocks, and each arm ends in a small rectangular faceplate. Each branch rotates by a revolute joint at its own support block, with no shared linkage between branches.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 15 Detail 3,true
branching_tree_with_two_independent_rotary_branches_to15_detail_high_04,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"A wall-backed two-branch rotary bracket. A backplate and short standoff spine support two compact branch arms on separate knuckles, with enough offset between them that each support and arm stays legible. All two branches are separate revolute joints about parallel supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 15 Detail 4,true
branching_tree_with_two_independent_rotary_branches_to15_detail_high_05,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"An open-frame two-branch motion study. A grounded central post carries two arms on individual hub collars, and the arm tips use different simple end shapes such as pads, forks, or tabs to add believable variation. Each arm is an independent revolute joint carried by its own hub support.",openai,gpt-5.4,high,40,2.0,sdk,Branching tree with two independent rotary branches Fill to 15 Detail 5,true
cantilever_articulated_arm_to15_detail_high_01,cantilever_articulated_arm,Cantilever articulated arm,"A cantilever articulated arm for bench tooling. A grounded column carries a shoulder link, an elbow link, and a short wrist tool plate, with the whole arm projecting to one side of the support. The shoulder and elbow are revolute joints about parallel horizontal axes, and the wrist is a third revolute joint at the tool end.",openai,gpt-5.4,high,40,2.0,sdk,Cantilever articulated arm Fill to 15 Detail 1,true
cantilever_articulated_arm_to15_detail_high_02,cantilever_articulated_arm,Cantilever articulated arm,"A side-mounted cantilever arm. A stiff backplate or post supports two serial links and a compact wrist face, keeping the root support clearly off to one side of the moving chain. Three revolute joints create shoulder, elbow, and wrist motion on supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Cantilever articulated arm Fill to 15 Detail 2,true
cantilever_articulated_arm_to15_detail_high_03,cantilever_articulated_arm,Cantilever articulated arm,"A compact service cantilever arm. A single column base carries an upper link, a forelink, and a small terminal tool bracket with visible pin bosses at each break in the chain. The arm is a three-joint revolute mechanism with shoulder, elbow, and wrist pivots.",openai,gpt-5.4,high,40,2.0,sdk,Cantilever articulated arm Fill to 15 Detail 3,true
cantilever_articulated_arm_to15_detail_high_04,cantilever_articulated_arm,Cantilever articulated arm,"An open-frame cantilever arm assembly. A grounded pedestal supports a long first link, a shorter second link, and a wrist plate, with the links sized to read as a practical bench arm rather than a humanoid robot. The shoulder and elbow revolve in one vertical plane, and the wrist adds a third revolute axis at the end.",openai,gpt-5.4,high,40,2.0,sdk,Cantilever articulated arm Fill to 15 Detail 4,true
cantilever_articulated_arm_to15_detail_high_05,cantilever_articulated_arm,Cantilever articulated arm,"A boxed industrial cantilever arm. A reinforced root block carries two articulated arm links and a compact end plate, using clear clevis supports at each hinge. The mechanism uses three serial revolute joints carried by the root, the upper link, and the forelink.",openai,gpt-5.4,high,40,2.0,sdk,Cantilever articulated arm Fill to 15 Detail 5,true
coaxial_rotary_stack_to15_detail_high_01,coaxial_rotary_stack,Coaxial rotary stack,"A coaxial rotary stack. Nested circular stages sit on a common grounded center shaft with a base turntable, a middle ring, and a top flange that all read as separate rigid members. The stages are separate revolute joints about the shared vertical axis.",openai,gpt-5.4,high,40,2.0,sdk,Coaxial rotary stack Fill to 15 Detail 1,true
coaxial_rotary_stack_to15_detail_high_02,coaxial_rotary_stack,Coaxial rotary stack,"A compact coaxial turntable module. A broad base carries stacked rotary rings and a small top faceplate, keeping the lower, middle, and upper stages distinct in thickness and diameter. The stacked stages are independent revolute joints on the same supported axis.",openai,gpt-5.4,high,40,2.0,sdk,Coaxial rotary stack Fill to 15 Detail 2,true
coaxial_rotary_stack_to15_detail_high_03,coaxial_rotary_stack,Coaxial rotary stack,A pedestal-mounted coaxial rotary fixture. A grounded foot supports a vertical spindle with multiple coaxial carriers stepped upward from largest to smallest. Each carrier is a separate revolute joint about the common spindle axis.,openai,gpt-5.4,high,40,2.0,sdk,Coaxial rotary stack Fill to 15 Detail 3,true
coaxial_rotary_stack_to15_detail_high_04,coaxial_rotary_stack,Coaxial rotary stack,"A low-profile coaxial stack with three levels. A squat base housing supports a large lower ring, a narrower middle stage, and a compact top flange with clear separation between each rotating tier. The lower, middle, and upper tiers are independent revolute joints on the same vertical axis.",openai,gpt-5.4,high,40,2.0,sdk,Coaxial rotary stack Fill to 15 Detail 4,true
coaxial_rotary_stack_to15_detail_high_05,coaxial_rotary_stack,Coaxial rotary stack,An open-frame coaxial rotary assembly. A fixed base and exposed central shaft support concentric rotary members with simple collars and spacing that make the stacked kinematics easy to read. Each concentric member rotates by its own revolute joint about the shared centerline.,openai,gpt-5.4,high,40,2.0,sdk,Coaxial rotary stack Fill to 15 Detail 5,true
dual_independent_finger_chains_to15_detail_high_01,dual_independent_finger_chains,Dual independent finger chains,"A dual-finger mechanism with two independent finger chains on a shared palm block. The grounded palm supports two side-by-side fingers, each built from three rigid phalanx links with visible pin knuckles and a simple fingertip pad. Each finger has three revolute joints bending in its own plane, and the two fingers remain mechanically uncoupled.",openai,gpt-5.4,high,50,2.0,sdk,Dual independent finger chains Fill to 15 Detail 1,true
dual_independent_finger_chains_to15_detail_high_02,dual_independent_finger_chains,Dual independent finger chains,A compact parallel finger study assembly. A central palm plate carries two articulated fingers with distinct root knuckles and tapered outer links so each chain reads clearly from base to tip. Both fingers are independent three-joint revolute chains mounted to the same grounded palm.,openai,gpt-5.4,high,50,2.0,sdk,Dual independent finger chains Fill to 15 Detail 2,true
dual_independent_finger_chains_to15_detail_high_03,dual_independent_finger_chains,Dual independent finger chains,"A bench gripper finger pair. A boxed palm body supports two separate digit chains with proximal, middle, and distal links on mirrored sides of the centerline. Each digit uses three revolute joints, with no coupling bar or shared actuator geometry between the two chains.",openai,gpt-5.4,high,50,2.0,sdk,Dual independent finger chains Fill to 15 Detail 3,true
dual_independent_finger_chains_to15_detail_high_04,dual_independent_finger_chains,Dual independent finger chains,An open-frame dual finger rig. A grounded palm block carries two articulated fingers whose link lengths differ slightly so the silhouette does not become perfectly mirrored. Each finger is an independent serial chain of three revolute joints.,openai,gpt-5.4,high,50,2.0,sdk,Dual independent finger chains Fill to 15 Detail 4,true
dual_independent_finger_chains_to15_detail_high_05,dual_independent_finger_chains,Dual independent finger chains,"A service-tool finger pair on a common base. The root body is short and dense, while each finger is a slimmer three-link chain with clear side plates at the hinges. The two fingers mount independently to the base and articulate through their own three revolute joints.",openai,gpt-5.4,high,50,2.0,sdk,Dual independent finger chains Fill to 15 Detail 5,true
dualcolumn_lift_carriage_to15_detail_high_01,dualcolumn_lift_carriage,Dual-column lift carriage,"A dual-column lift carriage. Two vertical guide columns are tied together by a grounded base and top crosshead, while a rectangular carriage spans between them with obvious guide sleeves or blocks. The carriage is one prismatic joint moving along the vertical column axis.",openai,gpt-5.4,high,40,2.0,sdk,Dual-column lift carriage Fill to 15 Detail 1,true
dualcolumn_lift_carriage_to15_detail_high_02,dualcolumn_lift_carriage,Dual-column lift carriage,"A compact twin-post lift module. A heavy foot supports two round posts and an upper tie bar, and a wide moving plate wraps both posts as a single carriage. One prismatic joint lifts the carriage on the grounded columns.",openai,gpt-5.4,high,40,2.0,sdk,Dual-column lift carriage Fill to 15 Detail 2,true
dualcolumn_lift_carriage_to15_detail_high_03,dualcolumn_lift_carriage,Dual-column lift carriage,A wall-backed dual-column carriage. A rigid back frame carries two parallel guides with a front moving platen that reads as one captured sliding body. The platen is one vertical prismatic joint supported by the two fixed columns.,openai,gpt-5.4,high,40,2.0,sdk,Dual-column lift carriage Fill to 15 Detail 3,true
dualcolumn_lift_carriage_to15_detail_high_04,dualcolumn_lift_carriage,Dual-column lift carriage,"A box-frame twin-column lift. A fixed lower base and upper bridge hold the guide columns square, and the moving carriage includes visible overlap on both sides so it feels constrained. The carriage translates by one prismatic joint along the columns.",openai,gpt-5.4,high,40,2.0,sdk,Dual-column lift carriage Fill to 15 Detail 4,true
dualcolumn_lift_carriage_to15_detail_high_05,dualcolumn_lift_carriage,Dual-column lift carriage,"An open industrial lift carriage. Twin uprights, a top tie, and a front tooling plate define the shape, with the moving plate visibly guided at four points. One prismatic joint moves the front carriage along the grounded uprights.",openai,gpt-5.4,high,40,2.0,sdk,Dual-column lift carriage Fill to 15 Detail 5,true
dualrail_gantry_axis_to15_detail_high_01,dualrail_gantry_axis,Dual-rail gantry axis,"A dual-rail gantry axis. Two parallel grounded base rails support a bridge carriage, and a smaller truck rides across that bridge on its own guide path. The bridge is one prismatic joint along the base rails, and the truck is a second prismatic joint along the crossbeam.",openai,gpt-5.4,high,40,2.0,sdk,Dual-rail gantry axis Fill to 15 Detail 1,true
dualrail_gantry_axis_to15_detail_high_02,dualrail_gantry_axis,Dual-rail gantry axis,"A wide gantry positioning module. A fixed base carries twin long rails, a stiff moving beam spans between them, and a compact tool carriage travels on the beam. The moving beam and the beam-mounted truck are two orthogonal prismatic joints.",openai,gpt-5.4,high,40,2.0,sdk,Dual-rail gantry axis Fill to 15 Detail 2,true
dualrail_gantry_axis_to15_detail_high_03,dualrail_gantry_axis,Dual-rail gantry axis,"A bench automation gantry. A grounded rectangular base frame supports a portal-like bridge carriage with a short center shuttle nested into it. The bridge slides on the base rail direction, and the center shuttle slides on the bridge direction as a second prismatic axis.",openai,gpt-5.4,high,40,2.0,sdk,Dual-rail gantry axis Fill to 15 Detail 3,true
dualrail_gantry_axis_to15_detail_high_04,dualrail_gantry_axis,Dual-rail gantry axis,"A wall-backed dual-rail shuttle. A back frame supports two horizontal rails and a moving crosshead, with a small carriage centered on the crosshead face. The crosshead and the centered carriage are stacked prismatic joints on orthogonal horizontal axes.",openai,gpt-5.4,high,40,2.0,sdk,Dual-rail gantry axis Fill to 15 Detail 4,true
dualrail_gantry_axis_to15_detail_high_05,dualrail_gantry_axis,Dual-rail gantry axis,"A low-profile dual-rail gantry assembly. A broad base plate carries two guideways, a shallow moving beam, and a compact cross-slide carriage. One prismatic joint moves the beam across the base, and a second prismatic joint moves the cross-slide across the beam.",openai,gpt-5.4,high,40,2.0,sdk,Dual-rail gantry axis Fill to 15 Detail 5,true
fingerlike_phalanx_chain_to15_detail_high_01,fingerlike_phalanx_chain,Finger-like phalanx chain,"A finger-like phalanx chain. A grounded knuckle block carries three tapered phalanx links with clear side cheeks and pin joints, ending in a blunt fingertip pad. The chain has three serial revolute joints bending in one plane.",openai,gpt-5.4,high,40,2.0,sdk,Finger-like phalanx chain Fill to 15 Detail 1,true
fingerlike_phalanx_chain_to15_detail_high_02,fingerlike_phalanx_chain,Finger-like phalanx chain,A compact articulated finger module. A palm-side root block supports three progressively smaller phalanx segments with boxed knuckles and a simple distal tip. Three revolute joints connect the phalanx links on parallel hinge axes.,openai,gpt-5.4,high,40,2.0,sdk,Finger-like phalanx chain Fill to 15 Detail 2,true
fingerlike_phalanx_chain_to15_detail_high_03,fingerlike_phalanx_chain,Finger-like phalanx chain,A service-gripper finger chain. A rigid root mount carries three flat-sided finger segments with exposed pin bosses and a squared fingertip. The finger uses three serial revolute joints in one bending plane.,openai,gpt-5.4,high,40,2.0,sdk,Finger-like phalanx chain Fill to 15 Detail 3,true
fingerlike_phalanx_chain_to15_detail_high_04,fingerlike_phalanx_chain,Finger-like phalanx chain,"A broad-knuckle finger linkage. A fixed base tab supports a proximal phalanx, a middle phalanx, and a distal phalanx with believable overlap at each hinge. The three phalanx segments are connected by three revolute joints about parallel knuckle axes.",openai,gpt-5.4,high,40,2.0,sdk,Finger-like phalanx chain Fill to 15 Detail 4,true
fingerlike_phalanx_chain_to15_detail_high_05,fingerlike_phalanx_chain,Finger-like phalanx chain,"A low-profile phalanx chain. A root clevis carries three slim finger links with compact hinge barrels and a narrow end pad, keeping the profile distinctly finger-like. The mechanism is a three-joint revolute chain bending in one plane.",openai,gpt-5.4,high,40,2.0,sdk,Finger-like phalanx chain Fill to 15 Detail 5,true
folding_arm_chain_to15_detail_high_01,folding_arm_chain,Folding arm chain,A compact folding arm chain. A grounded base bracket carries three flat or boxed links in series so the arm can pack close to the root and still extend into a straight reach. The chain has three serial revolute joints about parallel axes in one plane.,openai,gpt-5.4,high,40,2.0,sdk,Folding arm chain Fill to 15 Detail 1,true
folding_arm_chain_to15_detail_high_02,folding_arm_chain,Folding arm chain,"A bench-top folding arm chain. A base foot supports a stack of slim links with clear side plates at the joints, and the distal link ends in a compact end pad. There are three revolute joints in sequence, each supported by a local hinge block and aligned to the same motion plane.",openai,gpt-5.4,high,40,2.0,sdk,Folding arm chain Fill to 15 Detail 2,true
folding_arm_chain_to15_detail_high_03,folding_arm_chain,Folding arm chain,"An open-frame folding arm chain. The root support is a simple pedestal, the links step down slightly in size toward the tip, and the end of the chain carries a compact end pad. The mechanism uses three serial revolute joints about parallel supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Folding arm chain Fill to 15 Detail 3,true
folding_arm_chain_to15_detail_high_04,folding_arm_chain,Folding arm chain,A low-profile folding arm chain. A broad mounting plate anchors a flatter set of links with offset knuckles and a compact distal a compact end pad. All three joints are revolute joints bending in one plane from the grounded root.,openai,gpt-5.4,high,40,2.0,sdk,Folding arm chain Fill to 15 Detail 4,true
folding_arm_chain_to15_detail_high_05,folding_arm_chain,Folding arm chain,"A boxed industrial folding arm chain. A reinforced base cheek supports deeper-section links with visible pin bosses, and the final link terminates in a compact end pad. The assembly is a serial chain of three revolute joints about parallel hinge axes.",openai,gpt-5.4,high,40,2.0,sdk,Folding arm chain Fill to 15 Detail 5,true
fourjoint_revolute_chain_to15_detail_high_01,fourjoint_revolute_chain,Four-joint revolute chain,"A compact four-joint revolute chain. A grounded root bracket carries 5 rigid links in series, using hinge blocks between each link and ending in a compact end tab. The chain has four serial revolute joints about parallel axes in one plane.",openai,gpt-5.4,high,40,2.0,sdk,Four-joint revolute chain Fill to 15 Detail 1,true
fourjoint_revolute_chain_to15_detail_high_02,fourjoint_revolute_chain,Four-joint revolute chain,"A bench-top four-joint revolute chain. A base foot supports a stack of slim links with clear side plates at the joints, and the distal link ends in a compact end tab. There are four revolute joints in sequence, each supported by a local hinge block and aligned to the same motion plane.",openai,gpt-5.4,high,40,2.0,sdk,Four-joint revolute chain Fill to 15 Detail 2,true
fourjoint_revolute_chain_to15_detail_high_03,fourjoint_revolute_chain,Four-joint revolute chain,"An open-frame four-joint revolute chain. The root support is a simple pedestal, the links step down slightly in size toward the tip, and the end of the chain carries a compact end tab. The mechanism uses four serial revolute joints about parallel supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Four-joint revolute chain Fill to 15 Detail 3,true
fourjoint_revolute_chain_to15_detail_high_04,fourjoint_revolute_chain,Four-joint revolute chain,A low-profile four-joint revolute chain. A broad mounting plate anchors a flatter set of links with offset knuckles and a compact distal a compact end tab. All four joints are revolute joints bending in one plane from the grounded root.,openai,gpt-5.4,high,40,2.0,sdk,Four-joint revolute chain Fill to 15 Detail 4,true
fourjoint_revolute_chain_to15_detail_high_05,fourjoint_revolute_chain,Four-joint revolute chain,"A boxed industrial four-joint revolute chain. A reinforced base cheek supports deeper-section links with visible pin bosses, and the final link terminates in a compact end tab. The assembly is a serial chain of four revolute joints about parallel hinge axes.",openai,gpt-5.4,high,40,2.0,sdk,Four-joint revolute chain Fill to 15 Detail 5,true
gear_assemblies_to15_detail_high_01,gear_assemblies,Gear Assemblies,"An open spur gear train bench assembly. A grounded side frame holds three parallel shafts with visible bearing support, with a large input gear, an idler, and a smaller output gear all in one plane. Each shaft is its own revolute joint about a supported bearing axis.",openai,gpt-5.4,high,40,2.0,sdk,Gear Assemblies Fill to 15 Detail 1,true
gear_assemblies_to15_detail_high_02,gear_assemblies,Gear Assemblies,"A right-angle gear assembly. A base bracket supports a vertical shaft with a bevel gear and a horizontal shaft with the mating bevel gear, plus clear bearing blocks on both shafts. The vertical and horizontal shafts are separate revolute joints about their own supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Gear Assemblies Fill to 15 Detail 2,true
gear_assemblies_to15_detail_high_03,gear_assemblies,Gear Assemblies,"A compact reduction gearbox shown open. A grounded housing base exposes two or three parallel shafts, each carrying one obvious gear and supported by simple end plates or bearing bosses. Each shaft is modeled as its own revolute joint, with the gears rigid to their shafts.",openai,gpt-5.4,high,40,2.0,sdk,Gear Assemblies Fill to 15 Detail 3,true
gear_assemblies_to15_detail_high_04,gear_assemblies,Gear Assemblies,"A two-stage spur reduction rig. A fixed frame supports an input shaft, an intermediate shaft, and an output shaft with stacked gear pairs and explicit shaft spacing. The input, intermediate, and output shafts are individual revolute joints about their supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Gear Assemblies Fill to 15 Detail 4,true
gear_assemblies_to15_detail_high_05,gear_assemblies,Gear Assemblies,A bevel-to-spur transfer assembly. A grounded base holds a vertical input shaft that turns through a bevel pair into a horizontal shaft which then carries a spur gear stage. The shafts on both stages are separate revolute joints on clearly supported axes.,openai,gpt-5.4,high,40,2.0,sdk,Gear Assemblies Fill to 15 Detail 5,true
joystick_mechanism_to15_detail_high_01,joystick_mechanism,Joystick mechanism,"A gimballed joystick mechanism. A grounded base frame carries an outer yoke, an inner yoke, and a central control stick rigid to the inner member. The outer and inner yokes form two orthogonal revolute joints about intersecting supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Joystick mechanism Fill to 15 Detail 1,true
joystick_mechanism_to15_detail_high_02,joystick_mechanism,Joystick mechanism,"A low-profile console joystick. A shallow base cup supports a cardan-style outer ring, an inner trunnion, and a short upright lever, keeping the support geometry compact and easy to read. Two orthogonal revolute joints support the lever through the nested gimbal.",openai,gpt-5.4,high,40,2.0,sdk,Joystick mechanism Fill to 15 Detail 2,true
joystick_mechanism_to15_detail_high_03,joystick_mechanism,Joystick mechanism,"A heavy-duty joystick gimbal. A boxed base supports an outer fork, an inner cradle, and a tall central stick with a simple collar near the root. The fork and cradle are connected by two perpendicular revolute joints centered on the stick pivot point.",openai,gpt-5.4,high,40,2.0,sdk,Joystick mechanism Fill to 15 Detail 3,true
joystick_mechanism_to15_detail_high_04,joystick_mechanism,Joystick mechanism,"A compact industrial control stick assembly. A grounded circular or square base carries a nested gimbal set and a rigid handle, with both gimbal levels visibly supported by side cheeks. The two gimbal levels are orthogonal revolute joints about intersecting axes.",openai,gpt-5.4,high,40,2.0,sdk,Joystick mechanism Fill to 15 Detail 4,true
joystick_mechanism_to15_detail_high_05,joystick_mechanism,Joystick mechanism,"An open-frame joystick study rig. A fixed base ring supports an outer yoke and an inner yoke with generous spacing, while the stick stays rigid to the innermost frame. Two revolute joints provide pitch and roll motion through the nested supports.",openai,gpt-5.4,high,40,2.0,sdk,Joystick mechanism Fill to 15 Detail 5,true
lever_chain_to15_detail_high_01,lever_chain,Lever chain,"A compact lever chain. A grounded root bracket carries 4 rigid links in series, using offset pin joints between each link and ending in a small end tab. The chain has three serial revolute joints about parallel axes in one plane.",openai,gpt-5.4,high,40,2.0,sdk,Lever chain Fill to 15 Detail 1,true
lever_chain_to15_detail_high_02,lever_chain,Lever chain,"A bench-top lever chain. A base foot supports a stack of slim links with clear side plates at the joints, and the distal link ends in a small end tab. There are three revolute joints in sequence, each supported by a local hinge block and aligned to the same motion plane.",openai,gpt-5.4,high,40,2.0,sdk,Lever chain Fill to 15 Detail 2,true
lever_chain_to15_detail_high_03,lever_chain,Lever chain,"An open-frame lever chain. The root support is a simple pedestal, the links step down slightly in size toward the tip, and the end of the chain carries a small end tab. The mechanism uses three serial revolute joints about parallel supported axes.",openai,gpt-5.4,high,40,2.0,sdk,Lever chain Fill to 15 Detail 3,true
lever_chain_to15_detail_high_04,lever_chain,Lever chain,A low-profile lever chain. A broad mounting plate anchors a flatter set of links with offset knuckles and a compact distal a small end tab. All three joints are revolute joints bending in one plane from the grounded root.,openai,gpt-5.4,high,40,2.0,sdk,Lever chain Fill to 15 Detail 4,true
lever_chain_to15_detail_high_05,lever_chain,Lever chain,"A boxed industrial lever chain. A reinforced base cheek supports deeper-section links with visible pin bosses, and the final link terminates in a small end tab. The assembly is a serial chain of three revolute joints about parallel hinge axes.",openai,gpt-5.4,high,40,2.0,sdk,Lever chain Fill to 15 Detail 5,true
linear_carriage_with_independent_rotary_endeffector_to15_detail_high_01,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,"A linear carriage with an independent rotary end-effector. A grounded rail body carries one sliding carriage, and the carriage supports a short spindle or tool face on its own compact bearing housing. The carriage is a prismatic joint along the rail, and the carried spindle is a separate revolute joint about its own supported axis.",openai,gpt-5.4,high,40,2.0,sdk,Linear carriage with independent rotary end-effector Fill to 15 Detail 1,true
linear_carriage_with_independent_rotary_endeffector_to15_detail_high_02,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,"A bench transfer axis with a rotary tool nose. A fixed guide rail supports a moving saddle, while the saddle carries a short cylindrical output stage with clear local support. One prismatic joint positions the saddle, and one revolute joint spins the tool nose on the saddle.",openai,gpt-5.4,high,40,2.0,sdk,Linear carriage with independent rotary end-effector Fill to 15 Detail 2,true
linear_carriage_with_independent_rotary_endeffector_to15_detail_high_03,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,A wall-backed linear axis with a turning head. A rigid backplate carries a horizontal or vertical guide stage and a moving carriage with a small rotary face on its front. The guide stage is prismatic and the faceplate is an independent revolute joint carried by the moving carriage.,openai,gpt-5.4,high,40,2.0,sdk,Linear carriage with independent rotary end-effector Fill to 15 Detail 3,true
linear_carriage_with_independent_rotary_endeffector_to15_detail_high_04,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,"A low-profile shuttle with a rotary spindle. A broad base supports a shallow sliding carriage, and the carriage carries a compact spindle package at one end. The shuttle translates on a prismatic axis, and the spindle rotates on its own revolute axis.",openai,gpt-5.4,high,40,2.0,sdk,Linear carriage with independent rotary end-effector Fill to 15 Detail 4,true
linear_carriage_with_independent_rotary_endeffector_to15_detail_high_05,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,A service fixture combining a slide and a rotary output. A grounded guide body carries a moving block with a small rotary flange mounted to the block through a short bearing housing. The moving block is a prismatic joint and the flange is a revolute joint on the block.,openai,gpt-5.4,high,40,2.0,sdk,Linear carriage with independent rotary end-effector Fill to 15 Detail 5,true
mastmounted_fork_carriage_to15_detail_high_01,mastmounted_fork_carriage,Mast-mounted fork carriage,A mast-mounted fork carriage. A grounded mast with two guide rails carries a front carriage with a load backrest and paired forks projecting forward. The carriage is one vertical prismatic joint on the mast guides.,openai,gpt-5.4,high,40,2.0,sdk,Mast-mounted fork carriage Fill to 15 Detail 1,true
mastmounted_fork_carriage_to15_detail_high_02,mastmounted_fork_carriage,Mast-mounted fork carriage,"A compact forklift-style mast module. Two upright channels and a top crosshead support a moving fork carriage, with the forks rigid to the front of the carriage. One prismatic joint lifts the carriage along the mast axis.",openai,gpt-5.4,high,40,2.0,sdk,Mast-mounted fork carriage Fill to 15 Detail 2,true
